Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301080237,Humanoid,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Galio,5,9,6,1.22,14,False,3152,3157,1057,1082,3020,3211,3340,10541,22646,33808,1110,293,45,168,0,168,17,0,7,2,0,27.15,8100,8400,8112,8143,8141,8106,8451,8473,5011,5008,5008,4,12,-1,166,72,555,107,119,11,-1,234,157,19,True,0,False,0,0,0,False,0,False,3,True,37,4,1,1,1,8,84,0,1,66,388.1930440448725,1629.378446135
EUW1_7300997976,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Zed,6,1,3,9.0,13,True,3071,1036,3158,1036,6692,1054,3340,8827,15800,13450,1557,338,5,145,0,145,10,0,4,0,0,18.216666666666665,8100,8400,8112,8143,8141,8106,8451,8444,5011,5008,5008,4,14,526,72,266,31,42,555,107,72,526,800,32,True,1,True,0,0,0,False,0,False,8,True,15,0,0,0,0,0,8,0,4,78,484.1589808829912,1093.984260545
EUW1_7300106713,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Aurora,11,8,9,2.5,15,False,4645,3157,0,3020,3118,3089,3363,14680,31500,31314,4932,472,12,185,4,189,22,1,9,3,1,29.833333333333332,8100,8200,8112,8143,8141,8106,8226,8237,5011,5008,5005,4,12,68,117,412,555,901,119,126,143,77,526,29,True,1,False,0,0,1,True,0,False,5,True,35,4,1,0,2,10,21,0,3,69,491.9655078881218,1790.489948485
EUW1_7300077270,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Galio,1,5,10,2.2,15,False,3152,3157,1057,1082,3020,1056,3340,9393,19563,28702,3255,616,37,206,0,206,21,1,10,3,1,26.066666666666666,8200,8400,8230,8226,8210,8237,8444,8451,5011,5008,5008,4,12,68,412,203,901,119,42,800,30,77,81,23,False,2,False,0,0,0,False,0,False,2,False,35,2,1,0,1,10,13,0,0,81,360.3009256725961,1564.274446972
EUW1_7299612798,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Aurora,6,3,7,4.33,14,True,4646,0,6655,1082,3020,1056,3340,9767,20654,12559,2288,412,5,171,0,171,26,2,10,1,2,22.45,8100,8200,8112,8143,8141,8106,8226,8237,5011,5008,5005,4,12,42,77,800,58,72,800,117,62,68,107,30,False,1,True,1,1,0,False,0,False,6,True,18,1,0,0,0,1,29,0,1,76,434.91668435467204,1347.4327777590001
EUW1_7299553201,Humanoid,Fnatic,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Ahri,2,9,3,0.56,14,False,1052,0,3111,3118,1082,6653,3363,9657,24348,27367,3942,512,33,195,0,195,17,0,10,2,0,27.6,8100,8300,8112,8139,8141,8106,8313,8347,5011,5008,5005,4,12,72,58,60,800,42,62,117,42,72,81,16,False,2,True,0,0,0,False,0,False,3,True,34,1,1,0,1,8,23,0,0,69,349.8848167411674,1656.106567772
EUW1_7298820594,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,TOP,MIDDLE,Ryze,11,4,10,5.25,16,True,2031,2055,3089,3158,3040,6657,3340,11864,26409,22862,4061,504,42,174,34,208,24,2,8,4,1,23.566666666666666,8200,8400,8230,8226,8234,8237,8451,8473,5011,5008,5007,4,12,429,107,777,114,72,429,28,119,800,-1,41,True,3,True,0,0,0,False,1,True,9,True,19,0,1,0,0,4,3,0,1,79,503.2145857556945,1414.5881824570001
EUW1_7298783771,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Smolder,14,11,13,2.45,17,True,3094,3161,3140,3031,3111,3508,3363,17374,51138,33626,9350,647,21,226,31,257,21,1,12,3,0,35.666666666666664,8400,8000,8437,8446,8473,8451,9105,8017,5011,5008,5005,4,12,119,555,28,122,72,72,81,800,92,42,41,False,2,False,0,0,1,False,2,True,9,False,37,3,1,1,1,7,92,0,0,58,487.0801165602713,2140.207782678
EUW1_7298333245,Humanoid,Fnatic,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Hwei,2,1,3,5.0,12,False,2031,2503,1082,3108,3111,1056,3340,7047,11319,6137,309,917,12,150,0,150,6,0,5,0,0,15.433333333333334,8200,8400,8229,8226,8210,8237,8473,8451,5011,5008,5005,4,12,7,555,119,72,41,110,122,76,112,254,6,False,0,False,0,0,0,False,0,False,0,False,23,1,0,0,0,3,26,0,1,104,456.30240840372613,926.636196386
EUW1_7298280536,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Ahri,5,6,7,2.0,15,False,1058,1058,3020,1082,3118,3100,3363,10423,28992,21533,4467,637,17,207,0,207,22,0,9,2,0,27.833333333333332,8100,8200,8112,8139,8141,8106,8226,8237,5011,5008,5005,4,12,111,200,72,96,122,800,78,84,117,92,21,True,3,True,0,0,0,False,0,False,1,False,34,1,1,1,2,11,18,0,1,80,374.3362604626581,1670.712426882
EUW1_7297219477,Humanoid,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Akali,1,6,8,1.5,16,True,3152,2420,3020,1082,4646,1054,3363,10640,18178,32073,2698,545,1,201,0,201,26,2,12,4,2,30.2,8100,8400,8112,8143,8141,8135,8444,8451,5011,5008,5008,4,12,80,-1,119,72,800,-1,72,-1,107,60,33,False,2,False,1,1,1,True,2,True,9,True,19,3,0,0,0,3,10,0,0,67,352.1824903758092,1812.758815412
EUW1_7297141156,Humanoid,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Ryze,6,7,10,2.29,16,False,2031,3089,1052,3040,3170,6657,3363,11952,29847,36044,5800,521,33,202,10,212,34,2,12,8,2,27.733333333333334,8200,8300,8230,8226,8210,8237,8313,8347,5011,5008,5007,4,12,72,110,143,119,2,126,800,60,200,119,22,True,2,True,0,0,0,False,0,False,4,False,36,0,1,1,0,5,5,0,3,91,430.69473810403565,1665.0736440110002
