Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301083378,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Rell,2,8,19,2.62,13,False,3190,2055,3869,3002,3009,1028,3364,8517,11622,28854,2051,572,45,27,0,27,119,21,58,13,20,30.85,8400,8300,8439,8401,8473,8451,8306,8347,5011,5001,5007,14,4,800,107,910,72,42,42,555,897,72,800,27,True,2,True,0,0,0,False,0,False,1,False,38,2,1,0,3,10,56,0,0,11,275.9867493618344,1851.8048944850002
EUW1_7299599025,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Galio,2,13,12,1.08,11,False,3877,3111,2055,3742,3067,1082,3364,7289,13604,31290,841,285,49,24,0,24,75,11,43,5,10,26.55,8400,8300,8439,8401,8473,8451,8306,8347,5011,5001,5005,14,4,119,800,72,234,897,79,-1,526,107,799,23,False,1,True,0,0,0,False,0,False,1,False,43,2,1,1,3,10,115,0,0,8,274.48703793567745,1593.311768102
EUW1_7299528840,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Blitzcrank,3,8,9,1.5,10,False,3877,3002,3190,3009,0,0,3364,7021,9423,23093,1553,339,51,17,0,17,60,11,38,4,11,21.95,8300,8100,8351,8306,8345,8347,8105,8140,5011,5008,5005,14,4,245,38,800,107,126,555,-1,800,27,107,20,True,1,True,0,0,0,False,0,False,2,False,38,1,1,0,0,6,18,0,1,10,319.62965859139666,1318.013304631
EUW1_7299481294,Mikyx,Fnatic,15.3.654.407,CLASSIC,100,MIDDLE,UTILITY,Elise,5,5,3,1.6,9,True,3877,2055,3152,1082,1052,3171,3364,6554,8425,11931,1729,316,41,22,4,26,58,5,25,7,4,20.2,8100,8000,8112,8143,8141,8105,9111,8017,5011,5008,5005,14,4,200,-1,555,62,799,517,119,555,893,126,20,True,2,True,1,1,0,False,0,False,4,True,10,0,0,0,0,1,14,0,0,9,324.4442670584058,1212.191744595
EUW1_7298816640,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Elise,6,13,13,1.46,14,False,3877,4646,2055,3175,1082,3135,3364,9830,26839,31931,2196,482,43,30,0,30,94,12,46,1,11,32.45,8100,8200,8112,8143,8141,8105,8233,8236,5011,5008,5008,14,4,800,72,-1,114,157,32,72,107,81,68,35,False,2,True,0,0,0,False,0,False,6,True,53,2,1,1,1,8,17,0,1,9,302.85918782606734,1947.498495039
EUW1_7298783771,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Leona,1,10,15,1.6,13,False,3190,3877,3109,0,3170,3067,3364,9643,10837,37206,4645,443,79,25,0,25,126,17,58,13,17,35.666666666666664,8400,8300,8439,8463,8473,8451,8306,8347,5011,5001,5007,14,4,72,81,800,92,42,119,555,28,122,72,37,True,3,True,1,1,1,True,1,False,7,True,41,2,0,1,2,9,19,0,0,10,270.34174190135167,2140.207782678
EUW1_7298316662,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,TOP,UTILITY,Sejuani,6,11,14,1.82,13,True,3190,3877,3109,4638,3111,3105,3364,10440,17039,34443,3012,339,38,38,0,38,105,13,46,10,13,28.966666666666665,8400,8100,8439,8463,8473,8451,8106,8143,5011,5001,5005,14,4,28,60,800,893,85,101,254,555,526,72,30,False,2,False,0,0,1,True,1,True,7,False,36,2,1,0,0,5,254,0,2,13,360.23934850583277,1738.9016590760002
EUW1_7298134238,Mikyx,Fnatic,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Pyke,3,9,7,1.11,11,False,0,3179,3869,3009,2021,3134,3364,7808,6418,22733,5102,379,25,46,0,46,79,10,33,12,10,25.366666666666667,8100,8300,9923,8143,8141,8105,8347,8345,5011,5008,5005,14,4,799,82,72,157,800,112,234,72,55,800,16,True,1,False,0,0,0,False,0,False,1,False,35,1,1,0,1,10,7,0,0,25,307.6370990096589,1523.0201795360001
EUW1_7298084799,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Pyke,7,9,15,2.44,14,True,3877,3170,2055,3179,6701,3134,3364,10124,14851,25504,5987,348,26,18,0,18,97,10,44,10,9,27.75,8100,8300,9923,8143,8141,8105,8347,8345,5011,5008,5005,14,4,429,800,-1,72,122,-1,134,893,107,800,36,False,2,True,1,1,1,True,1,True,8,True,29,0,0,0,0,4,22,0,2,7,364.8318379403307,1665.109932886
EUW1_7295925142,Mikyx,Fnatic,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Xayah,10,10,6,1.6,15,False,3031,3006,6675,3508,1037,1053,3363,13950,27509,29997,4283,711,20,216,11,227,25,2,12,8,2,31.533333333333335,8000,8100,8010,9111,9104,8017,8139,8106,5011,5008,5005,21,4,122,77,800,-1,42,893,86,777,122,72,25,False,1,True,0,0,1,True,0,False,3,False,40,4,1,0,1,8,52,0,0,70,442.35558660745556,1892.1922141740001
