Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301080237,Oscarinin,Fnatic,15.3.654.407,CLASSIC,200,TOP,TOP,Fiora,5,7,4,1.29,16,False,1055,3181,3074,3047,3078,0,3340,11505,25064,38872,16164,587,16,227,8,235,17,0,9,4,0,27.15,8000,8400,8005,8009,9104,8299,8446,8473,5011,5008,5008,4,12,-1,166,72,555,107,119,11,-1,234,157,19,True,0,False,0,0,0,False,0,False,3,True,37,4,1,1,1,8,20,0,4,74,423.6720757384465,1629.378446135
EUW1_7300097956,Oscarinin,Fnatic,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Poppy,5,7,7,1.71,14,True,2502,1011,3190,3158,1057,1031,3364,9692,12914,31744,12037,387,45,6,125,131,19,3,3,3,3,25.25,8200,8300,8230,8275,8234,8232,8347,8306,5011,5008,5008,4,11,-1,157,800,72,8,143,31,72,42,-1,31,True,1,False,1,1,0,False,0,False,6,True,27,2,0,0,0,0,7,0,0,0,383.58777229177343,1516.00794233
EUW1_7299680645,Oscarinin,Fnatic,15.3.654.407,CLASSIC,100,TOP,TOP,Ambessa,7,3,6,4.33,16,True,1054,6692,6694,3047,6610,1036,3364,11916,25682,23160,6914,505,11,196,11,207,21,2,6,4,2,22.533333333333335,8400,8300,8437,8401,8473,8451,8345,8304,5011,5008,5008,4,12,-1,55,-1,555,777,72,117,166,800,893,29,False,1,False,1,1,0,False,0,False,4,False,13,2,0,0,0,3,3,0,4,83,528.6373441631328,1352.565217478
EUW1_7299597228,Oscarinin,Fnatic,15.3.654.407,CLASSIC,200,TOP,TOP,Karma,4,6,12,2.67,18,True,4629,3118,2055,3158,3089,3135,3363,14575,28705,40610,12372,882,65,274,3,277,31,3,13,5,2,36.06666666666667,8400,8200,8437,8446,8473,8451,8224,8210,5011,5008,5005,4,12,107,799,7,-1,-1,30,77,72,7,799,34,False,4,True,1,1,1,True,1,True,9,True,28,2,0,0,0,7,41,0,1,87,403.9863700938436,2164.7898312370003
EUW1_7299524491,Oscarinin,Fnatic,15.3.654.407,CLASSIC,200,BOTTOM,TOP,Karma,5,8,16,2.62,18,False,3118,4629,3135,3171,3089,1052,3364,15361,44990,50412,14866,413,85,244,4,248,32,4,8,7,3,40.15,8400,8200,8437,8446,8473,8451,8210,8224,5011,5008,5005,4,12,107,157,799,117,-1,55,-1,122,110,119,46,True,2,True,1,1,0,False,0,False,6,True,43,3,0,3,6,11,46,0,1,61,382.548997707169,2409.2704199960003
EUW1_7299465369,Oscarinin,Fnatic,15.3.654.407,CLASSIC,100,TOP,TOP,Karma,4,8,1,0.62,15,False,1056,3040,3118,3171,1058,1058,3364,10701,22987,29417,4695,526,51,193,0,193,15,2,6,1,2,28.516666666666666,8400,8200,8437,8446,8473,8451,8210,8224,5011,5008,5005,4,12,117,55,800,799,-1,72,893,117,234,897,18,True,2,False,1,1,0,False,0,False,4,True,44,2,0,0,2,9,23,0,3,74,375.1498625355543,1711.5336701820002
EUW1_7299428963,Oscarinin,Fnatic,15.3.654.407,CLASSIC,100,TOP,TOP,Anivia,3,3,5,2.67,15,True,1056,3040,2031,1001,6657,0,3340,8663,12572,22147,3086,494,42,169,4,173,10,0,6,1,0,21.833333333333332,8400,8000,8437,8446,8473,8451,8017,8009,5011,5008,5005,4,12,-1,51,112,38,555,55,62,60,800,119,30,False,2,True,1,1,0,False,3,True,11,True,13,0,0,0,0,5,7,0,1,50,396.6673240009192,1310.477771888
EUW1_7298816640,Oscarinin,Fnatic,15.3.654.407,CLASSIC,200,TOP,TOP,Gangplank,7,11,8,1.36,17,False,3078,3036,6676,3047,3031,6670,3363,17056,35248,43286,5935,543,18,230,24,254,8,2,8,0,2,32.45,8400,8300,8437,8446,8444,8451,8345,8304,5011,5008,5008,4,12,800,72,-1,114,157,32,72,107,81,68,35,False,2,True,0,0,0,False,0,False,6,True,53,2,1,1,1,8,4,0,2,63,525.4953916431682,1947.498495039
EUW1_7298780231,Oscarinin,Fnatic,15.3.654.407,CLASSIC,200,TOP,TOP,Gwen,6,9,5,1.22,17,False,3115,3089,4645,3020,1026,4630,3364,13822,40510,35625,7517,378,11,237,15,252,15,0,5,2,0,30.133333333333333,8000,8300,8010,8009,9105,8299,8345,8304,5011,5008,5008,4,12,107,72,800,200,-1,7,43,32,910,117,29,False,1,False,1,1,0,False,0,False,4,False,40,3,0,1,2,8,15,0,4,70,458.57646517377356,1808.514544498
EUW1_7298206181,Oscarinin,Fnatic,15.3.654.407,CLASSIC,200,TOP,TOP,Poppy,6,6,7,2.17,16,False,6610,3121,2502,3174,3067,3211,3364,12956,46286,57439,15748,957,80,209,6,215,14,3,10,0,3,32.5,8400,8300,8437,8446,8444,8451,8347,8345,5011,5008,5008,4,12,117,-1,800,55,24,799,40,72,555,77,29,False,4,True,1,1,0,False,0,False,6,True,33,0,0,1,2,10,114,0,3,83,398.6352580865116,1950.1946990820002
