Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301116933,Razork,Fnatic,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Lillia,7,5,18,5.0,17,True,3157,0,3009,2502,4633,6653,3364,14522,23707,51762,30905,518,25,30,196,226,31,2,3,4,2,29.066666666666666,8000,8300,8010,9111,9105,8017,8304,8347,5001,5008,5008,4,11,555,420,72,30,799,119,799,234,32,64,31,False,1,False,1,1,0,False,1,True,9,False,31,1,0,1,0,4,8,0,0,11,499.46786238271164,1744.593993807
EUW1_7300106713,Razork,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Karthus,5,6,15,3.33,17,True,6653,2503,3020,4645,0,0,3364,13255,22698,33458,16009,639,21,53,195,248,24,0,4,5,0,29.833333333333332,8100,8200,8128,8126,8140,8106,8224,8236,5001,5008,5008,4,11,119,126,143,77,526,68,117,412,555,901,35,False,4,True,1,1,0,False,2,True,10,False,29,1,0,1,0,5,21,0,0,10,444.19554375212005,1790.489948485
EUW1_7300077270,Razork,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,3,3,16,6.33,15,True,3044,6692,6610,3067,0,3111,3340,11012,16354,34498,20589,586,25,20,157,177,30,5,13,2,5,26.066666666666666,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,42,800,30,77,81,68,412,203,901,119,35,True,2,True,1,1,0,False,1,True,10,True,23,2,0,0,0,2,11,0,1,1,422.39786802454694,1564.274446972
EUW1_7299681093,Razork,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,7,6,8,2.5,14,False,2055,6692,6610,3111,6695,1028,3340,10807,18557,34843,16954,824,23,13,149,162,35,6,15,3,4,28.733333333333334,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,72,35,91,122,84,40,107,800,92,119,28,False,2,True,0,0,0,False,0,False,6,True,32,1,1,0,0,3,22,0,2,7,375.99770754177865,1724.6595760240002
EUW1_7299629236,Razork,Fnatic,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,LeeSin,5,6,10,2.5,14,False,2055,6692,2422,1028,6610,3071,3340,10650,18328,29847,13996,415,21,30,136,166,32,4,12,4,3,24.316666666666666,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,117,72,81,84,42,119,77,42,35,166,29,True,1,False,0,0,0,False,0,False,3,True,39,2,1,0,0,6,18,0,1,6,437.90697298489266,1459.256047196
EUW1_7299575518,Razork,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,1,5,21,4.4,18,True,0,3111,6692,3053,2019,6610,3340,13629,25343,48407,27329,681,38,36,189,225,37,6,18,5,6,32.766666666666666,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,233,910,72,92,119,35,800,799,166,107,32,True,2,True,0,0,2,True,2,True,11,True,28,3,1,0,0,5,21,0,0,5,415.83858099909594,1966.6031255690002
EUW1_7299529960,Razork,Fnatic,15.3.654.407,CLASSIC,100,NONE,JUNGLE,LeeSin,9,2,4,6.5,13,True,1037,6610,3158,1028,1028,6692,3340,9290,15236,19211,12891,414,15,7,126,133,23,3,9,1,3,18.833333333333332,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,84,72,62,800,429,62,555,72,107,200,20,True,1,False,0,0,0,False,2,True,8,True,4,2,0,0,0,0,18,0,2,5,492.8651376235213,1130.982876853
EUW1_7299496656,Razork,Fnatic,15.3.654.407,CLASSIC,200,NONE,JUNGLE,LeeSin,12,5,5,3.4,12,True,0,6692,6610,1028,0,3111,3340,9828,18670,26293,14115,441,17,8,106,114,27,4,10,1,4,19.083333333333332,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,62,72,-1,799,117,166,68,72,84,800,26,True,1,False,0,0,0,False,0,False,4,False,12,1,1,0,0,1,28,0,0,4,514.9261044108982,1145.209869882
EUW1_7299434912,Razork,Fnatic,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,LeeSin,5,4,2,1.75,15,False,2055,6692,6610,3111,2019,1038,3340,10783,11981,35141,18698,555,15,13,172,185,26,6,15,1,5,25.833333333333332,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,72,110,800,-1,555,7,62,166,107,893,10,False,1,False,0,0,0,False,0,False,5,False,24,2,1,0,1,8,11,0,1,1,417.3539558714183,1550.1980512240002
EUW1_7298816640,Razork,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Pantheon,10,10,7,1.7,16,False,3047,6610,3071,3053,2502,0,3364,13638,28545,58185,20671,641,34,23,179,202,29,1,3,5,1,32.45,8000,8300,8010,9111,9105,8017,8304,8347,5001,5008,5005,4,11,800,72,-1,114,157,32,72,107,81,68,35,False,2,True,0,0,0,False,0,False,6,True,53,2,1,1,1,8,33,0,0,3,420.19588793500577,1947.498495039
EUW1_7298783771,Razork,Fnatic,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Galio,4,6,14,3.0,17,False,3152,3157,4633,3111,1056,1058,3363,13125,25036,39507,4019,463,58,217,1,218,13,0,9,3,0,35.666666666666664,8200,8400,8230,8226,8210,8237,8444,8451,5011,5008,5008,4,12,72,81,800,92,42,119,555,28,122,72,37,True,3,True,1,1,1,True,1,False,7,True,41,2,0,1,2,9,20,0,0,69,367.9723672592761,2140.207782678
