Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300906293,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,200,TOP,TOP,Urgot,9,5,11,4.0,18,True,3181,3009,3071,3053,3161,2021,3363,18102,37417,34462,6682,514,44,262,24,286,40,3,15,4,3,33.55,8000,8300,8005,8009,9103,8017,8304,8345,5001,5008,5008,4,12,27,157,876,72,122,-1,122,429,897,432,41,True,1,False,1,1,0,False,2,True,11,True,38,3,0,1,0,3,14,0,1,71,539.4728789478087,2013.301656134
EUW1_7300866885,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,200,NONE,JUNGLE,LeeSin,13,1,4,17.0,12,True,6692,3111,6610,0,2021,1028,3340,10687,19798,23817,16009,260,22,7,106,113,18,1,8,2,1,18.85,8000,8300,8010,9111,9104,8299,8347,8304,5011,5008,5005,11,4,107,246,85,420,555,126,30,893,154,61,23,False,2,True,0,0,0,False,0,False,5,True,10,0,1,0,0,0,5,0,2,3,566.8353911748541,1131.311406687
EUW1_7300822247,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,200,NONE,TOP,Anivia,1,1,1,2.0,11,True,2031,6657,0,3070,1056,3009,3340,5883,10030,6218,1352,356,26,140,0,140,11,1,6,2,1,15.416666666666666,8200,8000,8230,8226,8210,8237,8009,8017,5011,5008,5005,4,12,800,42,62,799,420,107,72,432,85,555,10,False,2,True,0,0,0,False,0,False,2,True,1,0,0,0,0,0,0,0,0,81,381.2401033142596,925.884511026
EUW1_7299805778,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,200,TOP,TOP,Anivia,3,6,4,1.17,12,False,3009,3040,0,6657,1056,0,3340,7582,14949,18756,3021,480,51,135,4,139,16,1,8,2,1,20.016666666666666,8200,8000,8230,8226,8210,8237,8009,8017,5011,5008,5005,4,12,107,84,119,420,555,799,126,-1,893,432,11,True,2,True,0,0,0,False,0,False,2,False,19,1,1,0,0,5,4,0,1,44,378.68183761287776,1201.411681297
EUW1_7299751510,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Anivia,2,4,0,0.5,13,True,1056,3802,3070,6657,3009,1052,3363,6716,12618,17607,2661,414,52,149,0,149,19,1,8,4,1,20.866666666666667,8200,8000,8230,8226,8210,8237,8009,8017,5011,5008,5005,4,12,420,107,72,119,246,800,268,432,799,126,20,True,1,True,1,1,0,False,0,False,3,True,6,1,0,0,0,1,17,0,0,60,321.665548506804,1252.858437452
EUW1_7299670928,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Urgot,7,8,6,1.62,18,False,6665,3143,3173,3071,3181,3053,3363,18695,24983,58598,11374,827,38,314,8,322,42,3,16,11,2,40.833333333333336,8000,8400,8021,9111,9103,8017,8444,8451,5011,5008,5008,4,12,800,34,119,420,78,107,119,517,112,77,30,True,2,False,1,1,1,True,1,True,9,True,43,3,0,1,1,8,29,0,2,78,457.7148299371063,2450.704234401
EUW1_7299605280,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,NONE,TOP,Anivia,5,1,5,10.0,13,True,1056,6657,3040,1052,0,3009,3340,7788,18053,11345,2486,726,49,136,4,140,9,0,6,0,0,18.25,8200,8000,8230,8226,8234,8237,8009,8014,5011,5008,5005,4,12,143,166,420,517,72,122,799,200,107,-1,26,False,2,True,0,0,0,False,0,False,4,True,9,0,0,0,0,0,4,0,3,76,426.4331610931129,1095.8134452030001
EUW1_7298415578,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Warwick,13,3,9,7.33,18,True,3053,6631,3173,3181,6333,0,3340,16735,27760,47101,28978,656,40,231,4,235,33,3,12,2,3,29.45,8000,8400,8008,8009,9104,8299,8444,8453,5011,5008,5008,4,21,39,420,62,119,555,72,800,-1,-1,887,42,True,2,False,0,0,1,True,2,True,11,True,31,2,0,0,0,1,31,0,4,89,568.160992552528,1767.356885372
EUW1_7298358497,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Ambessa,6,3,6,4.0,14,True,6610,6692,3035,2422,3133,0,3340,9900,17399,18281,2853,498,9,158,0,158,14,2,8,2,2,20.3,8400,8300,8437,8401,8444,8451,8304,8345,5011,5008,5008,4,12,800,62,91,119,420,60,234,-1,119,166,32,False,1,False,1,1,0,False,1,True,10,True,14,2,0,0,0,1,9,0,2,65,487.58177358550853,1218.3136680730001
EUW1_7298301378,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,200,NONE,TOP,Ambessa,4,5,3,1.4,12,False,1028,2422,6692,2021,1055,3133,3340,6700,16514,19561,3248,463,9,128,0,128,14,2,8,1,2,19.166666666666668,8400,8300,8437,8401,8473,8451,8304,8345,5011,5008,5008,4,12,893,72,234,119,420,72,143,526,421,-1,13,False,1,True,0,0,0,False,0,False,0,False,23,1,0,0,0,5,12,0,3,68,349.3801628942737,1150.7500732620001
EUW1_7298250486,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Pantheon,1,4,2,0.75,14,False,3111,3071,6610,2021,1055,0,3340,9276,14436,26394,4544,874,15,190,0,190,17,1,10,2,1,27.333333333333332,8000,8300,8005,8009,9105,8017,8345,8304,5011,5008,5008,4,12,112,163,72,420,-1,902,800,60,28,799,11,True,0,False,1,1,0,False,0,False,3,True,27,3,0,1,0,6,29,0,1,71,339.2855543044236,1640.515938016
EUW1_7298178229,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Pantheon,4,10,4,0.8,14,False,1055,6610,1029,3111,3071,0,3340,8386,19296,27991,2687,278,30,140,0,140,22,2,11,1,2,24.633333333333333,8000,8300,8010,8009,9105,8017,8345,8304,5011,5008,5008,4,12,119,72,24,420,60,77,81,800,-1,72,22,True,0,False,1,1,0,False,0,False,1,False,30,4,0,0,0,7,22,0,1,61,340.3796733242928,1478.3869043880002
EUW1_7297236588,Broken-Blade,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,JUNGLE,Pantheon,3,10,3,0.6,15,False,3071,6610,3111,2021,0,0,3340,8934,23689,35840,2576,470,25,172,0,172,18,0,10,1,0,29.166666666666668,8000,8300,8010,8009,9105,8017,8345,8304,5001,5008,5008,4,12,76,429,119,420,910,126,166,-1,-1,799,28,False,0,False,1,1,0,False,0,False,2,False,40,2,0,0,2,10,23,0,1,51,306.24755290033573,1750.3894329670002
