Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301025491,Caps,G2 Esports,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Aurora,4,10,4,0.8,11,False,2031,3020,1056,6655,1082,3145,3340,6625,13032,21019,1803,242,5,102,0,102,12,1,6,0,1,18.95,8100,8200,8112,8143,8137,8106,8226,8237,5011,5008,5005,12,4,107,72,246,12,17,119,35,555,126,-1,11,False,0,False,0,0,0,False,0,False,0,False,35,1,1,0,1,7,52,0,0,66,349.3837310305308,1137.812380654
EUW1_7300906293,Caps,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Aurora,8,12,14,1.83,17,True,1056,4645,3020,6655,3089,0,3364,12689,43149,37713,6543,427,15,199,0,199,26,5,7,6,5,33.55,8100,8200,8112,8143,8137,8106,8226,8237,5011,5008,5005,12,4,27,157,876,72,122,-1,122,429,897,432,41,True,1,False,1,1,0,False,2,True,11,True,38,3,0,1,0,3,9,0,5,62,378.16133002802064,2013.301656134
EUW1_7300866885,Caps,G2 Esports,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Galio,4,3,7,3.67,13,True,2031,3147,3020,6664,1082,3108,3364,8264,13701,17745,2185,258,35,163,0,163,11,1,5,2,1,18.85,8200,8400,8230,8226,8210,8237,8444,8451,5011,5008,5008,12,4,107,246,85,420,555,126,30,893,154,61,23,False,2,True,0,0,0,False,0,False,5,True,10,0,1,0,0,0,2,0,0,75,438.3350978011918,1131.311406687
EUW1_7300796172,Caps,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Yone,5,6,8,2.17,17,False,6631,0,6673,3006,3153,1038,3364,14835,28225,34192,9433,504,25,264,24,288,22,4,10,1,4,29.6,8000,8400,8008,9101,9104,8299,8444,8451,5011,5008,5005,12,4,897,246,35,119,110,555,107,59,893,799,22,True,2,True,0,0,0,False,0,False,3,False,31,2,1,1,2,10,15,0,1,92,501.12744546500994,1776.21042516
EUW1_7299839600,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Aurora,8,4,13,5.25,17,True,1058,4645,6655,1056,3175,1058,3364,12789,31493,23912,5674,490,8,215,0,215,23,2,10,1,2,27.583333333333332,8100,8200,8112,8143,8137,8106,8226,8237,5011,5008,5005,12,4,119,800,246,72,107,119,68,7,107,800,43,True,3,True,1,1,0,False,1,True,10,True,20,0,0,1,0,3,16,0,1,74,463.45183598298036,1655.795416483
EUW1_7299751510,Caps,G2 Esports,15.3.654.407,CLASSIC,100,TOP,MIDDLE,Taliyah,6,0,5,11,15,True,6653,1056,3040,3020,4630,1026,3363,9998,17043,9349,1280,0,17,206,4,210,9,1,7,1,1,20.866666666666667,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,420,107,72,119,246,800,268,432,799,126,20,True,1,True,1,1,0,False,0,False,3,True,6,1,0,0,0,1,10,0,3,93,478.8235814435208,1252.858437452
EUW1_7299718166,Caps,G2 Esports,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Annie,0,0,0,0,5,False,1056,1001,1082,2031,0,0,3340,1779,2631,1585,196,0,11,37,2,39,1,0,1,0,0,5.5,8200,8100,8214,8224,8210,8237,8126,8106,5011,5008,5005,12,4,799,107,246,150,555,72,800,60,254,-1,4,True,0,False,0,0,0,False,0,False,0,False,3,0,0,0,0,0,1,0,0,37,323.0726427694989,330.43259867200004
EUW1_7299671210,Caps,G2 Esports,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Corki,0,4,0,0.0,12,False,2031,3078,3133,1055,3070,1001,3340,6508,8655,15251,1572,400,0,165,0,165,10,1,4,2,1,17.833333333333332,8000,8300,8010,8009,9104,8017,8345,8316,5011,5008,5005,12,4,119,62,-1,897,246,145,72,126,107,799,10,False,0,False,0,0,0,False,0,False,2,True,24,2,0,0,1,9,14,0,0,82,364.61092924650586,1071.094266396
EUW1_7299624096,Caps,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Aurora,11,4,5,4.0,15,True,3020,4645,1056,6655,1026,4630,3364,11203,23739,20878,5458,830,8,186,0,186,18,3,7,1,3,23.516666666666666,8100,8200,8112,8143,8137,8106,8237,8226,5011,5008,5005,12,4,799,69,246,429,-1,800,76,60,77,429,33,True,2,True,0,0,0,False,1,True,6,True,18,0,1,0,0,3,1,0,3,87,476.2271172931956,1411.5920609260002
EUW1_7298505991,Caps,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Aurora,9,4,12,5.25,16,True,1058,6655,3020,3135,1058,4645,3364,14081,29591,22433,4681,816,8,200,0,200,33,4,7,8,2,28.066666666666666,8100,8200,8112,8143,8137,8106,8237,8226,5011,5008,5005,12,4,246,72,799,91,200,81,58,429,163,72,32,True,2,False,1,1,1,True,2,True,10,False,30,2,0,0,0,3,7,0,1,85,501.46970220489953,1684.8554191760002
EUW1_7298448399,Caps,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,AurelionSol,7,9,13,2.22,15,True,2055,6653,1056,3020,2503,3116,3340,12008,24644,31094,1915,338,27,161,4,165,22,5,12,3,4,28.85,8200,8400,8229,8226,8233,8237,8473,8451,5011,5008,5008,12,4,81,20,107,24,246,893,60,107,166,157,41,False,2,True,0,0,1,True,2,True,9,True,34,1,1,0,0,5,20,0,2,62,415.9795920032,1732.0436821170001
EUW1_7298374435,Caps,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Corki,6,6,13,3.17,18,True,1037,3078,1038,3042,3094,3047,3363,16010,28903,34470,5864,734,2,272,20,292,50,6,14,15,5,38.233333333333334,8000,8300,8010,8009,9104,8017,8345,8316,5011,5008,5005,12,4,-1,60,122,246,81,101,119,111,-1,799,32,False,4,True,0,0,1,False,2,False,9,False,45,1,1,1,1,8,60,0,0,83,418.6138474434797,2294.756285964
EUW1_7298256424,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,9,6,15,4.0,17,True,3040,1052,3157,3170,6653,1058,3363,14555,42145,30109,4103,469,48,229,4,233,23,3,12,3,3,29.633333333333333,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,78,246,897,555,432,72,800,-1,-1,166,46,False,1,False,1,1,1,True,2,True,10,True,26,1,0,0,0,1,18,0,2,74,491.13154923421797,1778.1469024550001
EUW1_7298193025,Caps,G2 Esports,15.3.654.407,CLASSIC,100,TOP,TOP,Sivir,2,3,7,3.0,14,True,0,3006,1055,3031,3032,0,3363,9589,18913,14986,4084,494,0,204,8,212,16,2,8,2,2,22.866666666666667,8000,8300,8008,8009,9103,8017,8304,8345,5011,5008,5005,21,4,555,119,78,800,246,-1,-1,800,72,799,20,True,1,True,0,0,0,False,0,False,3,False,15,1,1,0,0,4,19,0,0,71,419.2002339524803,1372.477037734
EUW1_7298135271,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Yone,2,8,8,1.25,16,True,6631,2031,3006,3153,1055,1036,3340,10304,14737,22929,4959,227,18,196,12,208,16,1,7,0,1,24.8,8000,8400,8008,9101,9104,8017,8444,8451,5011,5008,5005,12,4,24,246,526,42,-1,72,-1,107,166,897,37,True,0,False,1,1,0,False,2,True,11,True,22,1,0,0,0,4,47,0,1,74,415.3990713853524,1488.3593357000002
EUW1_7297357867,Caps,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Taliyah,11,8,14,3.12,18,True,4630,3170,3157,3040,6653,3089,3363,18145,41755,31749,2408,453,57,268,20,288,21,2,13,1,2,37.25,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,555,72,799,246,107,143,72,117,90,119,45,False,2,False,0,0,1,True,3,True,11,True,33,4,1,1,1,7,49,0,1,86,486.99780912794023,2235.552921582
EUW1_7297309276,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Yone,1,7,5,0.86,17,False,6631,6673,1054,3153,3006,0,3364,11971,19107,41969,11776,904,20,281,16,297,31,3,8,8,3,31.35,8000,8400,8021,9101,9104,8017,8444,8451,5011,5008,5005,12,4,254,110,246,429,800,55,72,800,119,86,20,True,2,False,1,1,0,False,0,False,2,False,43,3,0,1,1,8,27,0,0,89,381.80042541187976,1881.358809318
EUW1_7297273010,Caps,G2 Esports,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Taliyah,4,4,8,3.0,13,True,2031,3009,1056,3040,6653,1052,3363,8413,11934,13663,1069,453,12,154,0,154,9,1,5,0,1,18.816666666666666,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,246,81,86,150,555,72,62,526,254,134,26,False,1,False,1,1,0,False,0,False,5,False,8,1,0,0,0,1,13,0,0,80,446.7605515478394,1129.992897204
EUW1_7297177414,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,3,9,9,1.33,14,False,2055,1056,6653,3040,3009,0,3363,8187,19273,20257,1505,413,40,150,3,153,19,3,9,1,2,24.65,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,107,72,53,126,246,800,72,35,69,-1,24,True,1,False,0,0,0,False,0,False,4,False,30,2,1,0,1,8,8,0,0,74,332.102670703437,1479.224727044
EUW1_7297120721,Caps,G2 Esports,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Yone,9,2,3,6.0,12,True,0,1037,1055,3153,3006,6670,3340,7993,18373,14836,4053,490,11,119,1,120,18,3,8,1,3,15.333333333333334,8000,8400,8008,9101,9104,8299,8444,8451,5011,5008,5005,12,4,24,117,800,107,246,234,24,72,42,800,27,True,1,True,0,0,0,False,0,False,4,True,7,0,0,0,0,0,4,0,4,76,521.1286642017666,920.385334056
EUW1_7297067620,Caps,G2 Esports,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Corki,6,5,7,2.6,14,True,2055,6670,3042,1055,3078,3047,3363,10352,20616,22352,4161,305,0,156,8,164,17,3,8,2,2,21.483333333333334,8000,8300,8010,8009,9104,8017,8345,8316,5011,5008,5005,12,4,60,893,246,114,107,122,28,117,777,800,24,False,3,True,1,1,0,False,0,False,5,True,14,0,0,0,0,1,34,0,3,81,481.81864035498654,1289.195165345
EUW1_7297030732,Caps,G2 Esports,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Taliyah,5,2,4,4.5,11,True,2055,3111,1056,3147,3040,0,3340,6696,9882,7928,890,641,14,118,4,122,17,6,8,2,4,15.283333333333333,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,122,800,117,246,429,35,777,72,26,62,19,True,1,True,0,0,0,False,0,False,3,True,8,1,0,0,0,0,50,0,4,74,437.85706359064716,917.6038028160001
EUW1_7296948092,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,11,12,11,1.83,18,True,3009,1056,3040,6653,3135,1058,3363,15111,38512,30723,1646,403,60,219,21,240,36,4,12,5,4,34.28333333333333,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,555,234,58,42,-1,42,2,72,78,7,37,False,3,False,1,1,0,False,1,True,10,True,38,2,0,1,0,2,14,0,2,90,440.68269907270786,2057.4057193000003
EUW1_7296216977,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,19,7,9,4.0,18,True,3135,3170,6653,3040,3089,3102,3363,19634,47728,29593,2911,465,44,283,16,299,46,7,18,9,7,36.9,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,799,246,555,893,42,555,41,28,72,55,42,False,2,True,1,1,1,False,1,True,8,True,33,3,0,1,0,7,103,0,4,80,531.8813214756336,2214.9391566460004
EUW1_7296171931,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Azir,14,4,8,5.5,18,True,3089,3135,3115,3102,3020,6653,3364,19838,63324,36935,10189,989,15,284,20,304,27,4,5,6,3,33.9,8000,8200,8008,8009,9104,8017,8226,8237,5011,5008,5005,12,4,19,246,64,72,800,119,799,555,800,126,40,False,3,True,1,1,2,True,4,True,11,True,26,1,0,0,0,5,5,0,8,90,585.0521387485873,2034.4953561250002
EUW1_7296066677,Caps,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,6,9,7,1.44,18,True,3089,6653,3009,3040,3135,0,3363,14991,36171,31538,3342,435,56,262,26,288,40,3,14,7,3,36.15,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,107,555,72,246,-1,800,-1,799,893,20,31,False,4,True,1,1,0,False,2,True,10,False,31,1,0,1,0,4,94,0,0,81,414.60631096845896,2169.45173074
EUW1_7296014344,Caps,G2 Esports,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Taliyah,3,1,6,9.0,11,True,2031,2055,3040,3009,1056,3147,3363,7090,9911,5082,400,523,23,138,0,138,10,2,6,1,1,15.2,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,555,246,28,10,72,119,7,112,107,-1,15,True,2,True,0,0,0,False,0,False,3,True,6,0,0,0,0,0,5,0,1,83,466.1012642569529,912.690532208
