Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300983909,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,NONE,BOTTOM,Draven,8,1,3,11.0,10,True,3072,3031,0,1055,0,3006,3363,8885,14973,8823,3930,865,8,124,0,124,14,2,6,3,2,15.166666666666666,8000,8300,8008,8009,9104,8017,8345,8347,5011,5008,5005,4,1,81,72,69,800,799,254,122,432,555,72,19,True,2,True,0,0,0,False,0,False,3,True,6,0,0,0,0,0,59,0,0,68,585.623282833392,910.3596930980001
EUW1_7300906293,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,8,10,13,2.1,17,False,1055,3158,3078,3042,3161,6694,3363,14136,40069,32704,3407,522,4,239,4,243,20,1,10,5,1,33.55,8000,8300,8008,8009,9105,8017,8316,8304,5011,5008,5005,4,21,-1,122,429,897,432,27,157,876,72,122,38,False,3,True,0,0,1,True,0,False,3,False,41,1,1,0,2,11,6,0,0,74,421.2996587952918,2013.301656134
EUW1_7300869723,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,NONE,BOTTOM,Ashe,4,2,5,4.5,12,True,1055,3046,3006,2055,6672,0,3364,8030,11081,6336,1362,323,31,151,0,151,20,2,7,6,1,18.216666666666665,8000,8300,8008,8009,9104,8017,8345,8410,5011,5008,5005,4,21,429,77,55,799,800,429,110,72,81,800,25,True,2,True,0,0,0,False,0,False,5,True,11,0,0,0,0,0,3,0,1,75,440.4501286730654,1093.9355476770002
EUW1_7300814745,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,200,TOP,TOP,Kaisa,6,7,6,1.71,14,False,3087,3006,3124,1055,3115,0,3363,10938,16014,20475,3511,414,0,191,4,195,27,0,8,8,0,24.733333333333334,8000,8300,8008,8009,9103,8017,8345,8347,5011,5008,5005,4,21,72,800,68,429,164,119,72,-1,777,77,20,False,2,True,0,0,0,False,0,False,4,False,35,1,1,0,1,9,10,0,2,66,441.98419688485393,1484.9234428250002
EUW1_7299751510,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Caitlyn,3,5,0,0.6,11,False,1055,6676,3006,1037,1018,0,3363,7015,9599,12290,1687,552,10,147,0,147,13,0,5,4,0,20.866666666666667,8000,8200,8008,8009,9103,8017,8233,8236,5011,5008,5005,4,21,800,268,432,799,126,420,107,72,119,246,6,False,1,False,0,0,0,False,0,False,1,False,20,1,1,0,0,3,28,0,0,65,335.96265927679974,1252.858437452
EUW1_7299682990,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,TOP,BOTTOM,Aphelios,9,4,2,2.75,15,False,3036,3032,3031,3009,6673,1053,3363,16394,34977,23954,10139,769,13,266,20,286,32,0,9,13,0,29.2,8000,8300,8005,8009,9103,8017,8347,8304,5011,5008,5005,4,21,60,254,429,203,42,78,893,234,42,150,16,False,2,False,1,1,0,False,0,False,6,False,30,2,0,1,1,9,49,0,0,83,561.1465653482658,1752.9413043400002
EUW1_7299624096,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Jinx,8,3,8,5.33,14,True,3006,3046,1083,3036,1055,3032,3363,12906,25749,16062,5166,562,30,198,20,218,19,1,9,3,1,23.516666666666666,8000,8300,8008,8009,9103,8017,8345,8347,5011,5008,5005,4,1,799,69,246,429,-1,800,76,60,77,429,33,True,2,True,0,0,0,False,1,True,6,True,18,0,1,0,0,3,5,2,3,63,548.5813414806709,1411.5920609260002
EUW1_7298316417,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,15,6,16,5.17,18,True,3042,3161,3072,3158,3133,3078,3363,16914,44024,33739,8006,861,4,266,7,273,21,2,11,8,2,33.85,8000,8300,8005,8009,9105,8017,8316,8304,5011,5008,5005,4,1,157,134,107,429,58,72,143,62,-1,800,51,False,2,True,1,1,1,True,2,True,10,False,36,2,0,0,0,5,32,0,0,93,499.58348244511393,2031.4744770640002
EUW1_7298208841,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Caitlyn,13,8,8,2.62,18,True,3072,3172,3031,6676,3094,3036,3363,24471,43548,38621,13731,720,29,372,30,402,31,1,15,6,1,49.11666666666667,8000,8200,8008,8009,9103,8017,8233,8236,5011,5008,5005,4,21,200,893,62,201,429,77,64,-1,42,78,41,True,3,False,1,1,2,False,2,False,10,True,38,3,0,2,3,10,61,0,2,74,498.2003298458312,2947.1425345440002
EUW1_7298130715,Hans-sama,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Sivir,3,6,13,2.67,16,False,3032,6675,3031,1055,3006,3036,3363,14216,46529,27389,6123,665,1,263,10,273,36,1,13,11,1,33.03333333333333,8000,8300,8008,8009,9103,8017,8345,8304,5011,5008,5005,4,21,555,166,429,55,72,-1,555,107,800,166,24,True,3,True,0,0,0,False,0,False,5,True,38,1,1,2,3,10,38,0,0,78,430.2225930803397,1982.678954963
