Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300975523,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Leona,3,7,14,2.43,12,True,3222,3877,3190,2055,0,3174,3364,8640,10546,22781,2693,643,60,19,0,19,101,12,51,12,11,29.783333333333335,8400,8300,8439,8446,8473,8451,8306,8347,5011,5010,5007,4,14,12,234,58,91,126,78,72,234,77,112,33,False,2,False,1,1,1,True,2,True,9,True,18,2,0,0,0,2,39,1,0,10,289.94398490020455,1787.9731855480002
EUW1_7300889034,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Rakan,1,6,13,2.33,13,False,0,3869,3190,3107,1028,3158,3364,7967,7945,31447,12831,600,27,26,0,26,109,11,61,8,11,33.46666666666667,8400,8100,8465,8463,8444,8451,8141,8106,5011,5010,5007,4,7,777,40,20,166,897,110,119,800,24,254,18,False,1,True,0,0,0,False,0,False,3,False,32,4,1,1,3,8,39,0,0,11,238.03529654025917,2008.2666175640002
EUW1_7300827286,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Alistar,2,5,8,2.0,10,False,3067,3869,3190,2055,1031,3009,3364,6349,5362,19732,5136,353,39,21,0,21,61,4,26,7,2,23.983333333333334,8400,8300,8439,8463,8473,8451,8306,8347,5011,5010,5007,4,14,7,-1,-1,119,122,555,800,-1,77,60,11,True,1,True,0,0,0,False,0,False,2,False,26,1,0,0,1,8,8,0,0,8,264.7041555453134,1439.129557426
EUW1_7299766269,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Gragas,5,5,15,4.0,11,True,3109,3876,3190,2055,3171,0,3364,7658,10298,21248,6504,291,54,17,0,17,58,8,26,5,6,22.083333333333332,8400,8300,8439,8463,8473,8451,8345,8347,5011,5001,5007,4,14,78,166,60,39,72,78,166,20,77,58,28,True,2,True,1,1,0,False,0,False,6,True,14,0,0,0,0,2,41,0,1,6,346.69227281643657,1325.400898806
EUW1_7299704261,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,JUNGLE,UTILITY,Karma,3,5,16,3.8,12,True,6617,3876,2055,3107,3171,1052,3364,9038,14780,25371,8098,427,45,31,0,31,107,10,44,12,9,30.416666666666668,8200,8300,8229,8224,8234,8237,8345,8347,5011,5008,5008,4,7,166,799,80,76,800,555,64,-1,7,107,29,True,2,True,1,1,1,True,2,True,9,True,16,1,0,0,0,2,23,0,1,14,297.10903095629624,1825.2005752680002
EUW1_7299663217,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,NONE,UTILITY,Elise,2,4,1,0.75,7,False,3002,3877,2031,2055,0,1001,3364,4118,6474,10650,720,386,15,12,0,12,33,2,8,6,1,15.183333333333334,8100,8300,8112,8143,8141,8105,8345,8347,5011,5008,5008,4,14,166,429,72,77,-1,89,58,72,157,166,7,True,1,True,0,0,0,False,0,False,0,False,18,0,0,0,0,0,28,0,1,6,271.1511247020926,911.2293001950001
EUW1_7299605280,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,NONE,UTILITY,Poppy,5,3,7,4.0,8,True,3067,3877,3190,2055,3170,0,3364,6066,7470,8397,521,358,13,16,0,16,46,4,21,6,3,18.25,8400,8100,8439,8446,8473,8451,8143,8141,5011,5008,5008,4,14,143,166,420,517,72,122,799,200,107,-1,26,False,2,True,0,0,0,False,0,False,4,True,9,0,0,0,0,0,7,0,0,9,332.18222288403933,1095.8134452030001
EUW1_7298448399,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Pyke,8,9,11,2.11,13,False,3179,3869,3814,2055,3009,3134,3364,10218,13914,28912,6739,302,42,25,0,25,109,9,40,20,8,28.85,8100,8400,9923,8126,8141,8105,8473,8463,5011,5008,5008,4,14,893,60,107,166,157,81,20,107,24,246,34,True,1,False,1,1,0,False,0,False,5,False,41,2,0,1,2,9,16,0,1,6,353.9895768719032,1732.0436821170001
EUW1_7298392052,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Galio,5,6,25,5.0,14,True,3109,3869,3190,3107,2055,3111,3364,9190,11451,21764,3971,309,39,22,0,22,65,6,28,7,4,23.883333333333333,8400,8200,8439,8463,8473,8451,8275,8232,5011,5010,5007,4,14,119,35,72,234,157,163,24,-1,800,107,41,True,2,True,1,1,0,False,2,True,10,True,14,0,0,0,0,2,46,0,1,8,384.6680171072596,1433.497915756
EUW1_7298316417,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Elise,8,10,25,3.3,15,True,0,3877,3190,3107,3165,3111,3364,11334,18315,36425,6469,500,68,15,0,15,114,13,53,8,13,33.85,8100,8300,8112,8143,8141,8105,8345,8347,5011,5008,5008,4,14,157,134,107,429,58,72,143,62,-1,800,51,False,2,True,1,1,1,True,2,True,10,False,36,2,0,0,0,5,22,0,0,10,334.7685714351826,2031.4744770640002
EUW1_7298256424,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Elise,8,11,8,1.45,13,False,3222,3877,3152,2055,3002,3158,3364,10457,17602,32910,3490,390,56,16,0,16,106,12,45,11,10,29.633333333333333,8100,8300,8112,8143,8141,8105,8345,8347,5011,5008,5008,4,14,72,800,-1,-1,166,78,246,897,555,432,26,True,1,True,0,0,0,False,0,False,1,False,46,1,1,1,2,10,30,0,0,3,352.88070383972655,1778.1469024550001
EUW1_7298186140,Labrov,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,UTILITY,Leona,1,5,22,4.6,15,True,3222,3877,3190,2055,3067,3174,3364,9479,11880,24237,3520,497,58,27,0,27,124,12,51,17,10,33.38333333333333,8400,8300,8439,8463,8473,8451,8306,8347,5011,5010,5007,4,14,110,-1,166,7,234,555,-1,81,72,800,46,True,2,False,0,0,1,True,2,True,10,True,30,3,1,0,0,3,31,0,0,9,283.92922848102626,2003.1817735410002
EUW1_7298135271,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Gragas,0,6,12,2.0,12,False,3067,3869,3190,2055,0,3047,3364,6243,8438,26074,5625,701,35,13,0,13,63,11,33,2,9,24.8,8400,8300,8439,8463,8473,8451,8345,8347,5011,5001,5007,4,14,72,-1,107,166,897,24,246,526,42,-1,22,False,1,True,0,0,0,False,0,False,4,False,37,0,1,0,2,11,21,0,0,11,251.68409803197565,1488.3593357000002
EUW1_7297329083,Labrov,G2 Esports,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Blitzcrank,1,6,4,0.83,10,False,3002,3869,2031,2055,0,3009,3364,5464,3854,14851,686,367,27,23,0,23,59,7,26,9,6,22.283333333333335,8300,8400,8351,8306,8345,8347,8473,8451,5011,5010,5007,4,14,166,-1,800,897,81,555,72,234,60,800,11,True,1,True,0,0,0,False,0,False,2,False,35,2,1,0,1,10,16,0,0,9,245.11932237950504,1337.558430045
