Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301025491,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Pantheon,12,1,7,19.0,13,True,3071,2502,2055,3111,6610,0,3364,10621,16684,22803,15218,266,21,9,149,158,15,2,1,2,1,18.95,8000,8300,8010,9111,9105,8014,8304,8347,5001,5008,5008,4,11,119,35,555,126,-1,107,72,246,12,17,35,True,1,True,1,1,0,False,1,True,7,True,11,0,0,0,0,0,8,0,0,1,560.0927873945258,1137.812380654
EUW1_7300983909,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Sion,0,3,4,1.33,9,False,1102,3084,3105,2422,0,0,3364,4988,3548,18601,7100,429,9,7,95,102,12,2,4,1,2,15.166666666666666,8400,8300,8439,8401,8429,8451,8304,8410,5001,5001,5007,4,11,254,122,432,555,72,81,72,69,800,799,6,False,0,False,0,0,0,False,0,False,0,False,19,2,0,0,0,3,0,0,0,0,328.755259463313,910.3596930980001
EUW1_7300906293,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,6,5,16,4.4,17,False,6610,3071,3105,3047,3053,1011,3364,13643,26827,44828,18572,774,38,39,199,238,46,4,5,13,4,33.55,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,-1,122,429,897,432,27,157,876,72,122,38,False,3,True,0,0,1,True,0,False,3,False,41,1,1,0,2,11,15,0,1,5,406.60350391030283,2013.301656134
EUW1_7300869723,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Nocturne,3,6,4,1.17,11,False,0,3077,1042,1001,3073,3044,3363,6887,6889,24200,11383,369,51,5,104,109,13,2,9,0,2,18.216666666666665,8000,8100,8008,9111,9104,8017,8140,8106,5001,5008,5005,4,11,429,110,72,81,800,429,77,55,799,800,11,False,0,False,0,0,0,False,0,False,0,False,25,2,0,0,0,5,11,0,2,0,377.7449626311408,1093.9355476770002
EUW1_7300822247,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Pantheon,1,2,0,0.5,9,False,1102,6610,2422,1028,1036,0,3364,5060,2598,14515,8542,447,5,6,101,107,13,1,3,2,1,15.416666666666666,8000,8300,8010,9111,9105,8014,8304,8347,5001,5008,5008,4,11,107,72,432,85,555,800,42,62,799,420,1,True,0,False,0,0,0,False,0,False,0,False,10,2,0,0,0,2,1,0,0,2,327.93971928978357,925.884511026
EUW1_7299805778,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Zyra,5,2,5,5.0,14,True,6653,1052,0,3020,3102,0,3364,9574,12575,11974,6094,571,16,11,171,182,20,3,5,0,3,20.016666666666666,8200,8000,8229,8275,8210,8232,9105,8017,5001,5008,5008,4,11,799,126,-1,893,432,107,84,119,420,555,19,False,1,False,1,1,0,False,0,False,5,True,11,2,0,0,0,2,38,0,1,3,478.1408349175125,1201.411681297
EUW1_7299751510,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Gwen,1,4,2,0.75,12,False,1058,3115,0,2422,1058,0,3364,7239,8172,21881,11655,595,6,15,147,162,22,2,4,5,2,20.866666666666667,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,6,11,800,268,432,799,126,420,107,72,119,246,6,False,1,False,0,0,0,False,0,False,1,False,20,1,1,0,0,3,13,0,0,1,346.687111698137,1252.858437452
EUW1_7299692890,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Viego,13,2,9,11.0,16,True,6672,3748,1057,3047,6333,1043,3364,16025,24915,33392,23858,387,20,24,177,201,49,8,8,10,6,30.483333333333334,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,432,163,60,799,72,112,68,-1,72,800,26,False,1,False,0,0,1,True,2,False,10,False,17,2,1,0,1,6,22,0,1,4,525.4038894857887,1830.0335370990001
EUW1_7299627788,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,2,3,15,5.67,16,True,3071,2502,0,3111,6610,0,3364,12002,13252,30096,15328,787,20,22,191,213,54,7,11,15,7,32.15,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,235,800,-1,432,72,897,112,119,800,35,23,False,3,True,0,0,1,True,0,False,7,True,22,2,1,0,0,5,30,0,0,0,373.29596101478256,1929.1013495830002
EUW1_7298490701,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,DrMundo,3,6,8,1.83,14,False,3084,3143,0,3047,2504,1029,3364,11348,17675,58173,40084,501,17,33,168,201,56,5,7,19,5,29.883333333333333,8000,8300,8021,9111,9104,8017,8304,8410,5001,5001,5005,4,11,166,800,76,126,81,30,72,-1,555,60,16,True,2,True,0,0,0,False,0,False,2,False,31,2,1,1,3,10,14,0,0,1,379.69541942863725,1793.3655265210002
EUW1_7298424367,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,XinZhao,7,2,10,8.5,16,True,6610,3748,3091,3047,0,0,3364,12314,23933,44278,30692,550,22,15,182,197,27,2,6,4,2,27.2,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,555,76,-1,126,119,800,72,60,84,234,25,True,1,True,0,0,1,True,1,True,7,True,13,0,1,0,0,5,11,0,0,6,452.6025477148288,1632.4256320040001
EUW1_7298371401,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Vi,1,3,3,1.33,11,False,3044,6610,1037,2422,3067,0,3364,6583,5476,20609,10187,836,10,3,123,126,17,2,5,3,2,19.55,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,800,77,555,85,42,107,72,555,157,143,9,False,1,True,0,0,0,False,0,False,0,False,21,1,0,0,0,5,19,0,0,2,336.4863374466089,1174.006532333
EUW1_7298256424,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Sejuani,3,5,15,3.6,15,True,3084,3143,0,3047,1057,3211,3364,10904,19173,42547,15203,799,38,8,158,166,31,6,9,2,6,29.633333333333333,8400,8100,8439,8463,8429,8451,8143,8106,5001,5001,5005,4,11,78,246,897,555,432,72,800,-1,-1,166,46,False,1,False,1,1,1,True,2,True,10,True,26,1,0,0,0,1,23,0,0,3,367.9378228518199,1778.1469024550001
EUW1_7298193025,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,8,5,5,2.6,13,True,3071,6610,2021,3009,1028,0,3364,9530,18450,24511,11031,324,25,5,129,134,22,3,7,2,3,22.866666666666667,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,555,119,78,800,246,-1,-1,800,72,799,20,True,1,True,0,0,0,False,0,False,3,False,15,1,1,0,0,4,35,0,0,0,416.62368811398784,1372.477037734
EUW1_7298135371,SkewMond,G2 Esports,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Zyra,3,3,3,2.0,15,False,6653,3102,2055,3020,1052,1058,3364,10558,13311,19394,9434,871,17,37,179,216,40,5,6,7,4,24.766666666666666,8200,8000,8229,8275,8233,8232,9105,8017,5001,5010,5008,4,11,110,895,112,40,122,234,69,81,72,107,16,True,1,False,1,1,0,False,0,False,4,False,23,3,0,0,0,5,14,0,1,7,426.11743363862774,1486.681941972
EUW1_7297236588,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Yone,9,9,7,1.78,16,False,3153,1037,6673,3006,3031,3066,3363,13731,33152,37040,6117,414,24,198,12,210,13,1,8,2,1,29.166666666666668,8000,8400,8008,9101,9104,8299,8446,8444,5011,5008,5005,4,12,76,429,119,420,910,126,166,-1,-1,799,28,False,0,False,1,1,0,False,0,False,2,False,40,2,0,0,2,10,19,0,3,71,470.6791980198057,1750.3894329670002
EUW1_7297161931,SkewMond,G2 Esports,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Gwen,4,8,5,1.12,14,False,3089,3145,3115,3020,0,0,3364,10546,16216,31660,13414,446,7,25,136,161,39,3,5,3,3,25.583333333333332,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,6,11,800,42,-1,72,107,-1,4,166,126,799,25,False,1,False,0,0,1,True,0,False,2,False,41,3,1,0,2,10,6,0,0,2,412.1247571473593,1535.372549425
