Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7299704261,Closer,GIANTX,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Zyra,4,0,15,19,17,True,2420,6653,3116,4630,3175,3916,3364,12434,27945,16918,11694,0,46,34,190,224,40,6,8,7,5,30.416666666666668,8200,8000,8229,8275,8210,8232,9105,8017,5001,5008,5008,4,11,166,799,80,76,800,555,64,-1,7,107,29,True,2,True,1,1,1,True,2,True,9,True,16,1,0,0,0,2,13,0,0,1,408.77493690820705,1825.2005752680002
EUW1_7299663217,Closer,GIANTX,15.3.654.407,CLASSIC,100,NONE,JUNGLE,LeeSin,6,0,5,11,10,True,1101,6692,0,1028,3111,2021,3340,7049,9666,13318,10104,0,12,12,94,106,21,3,8,1,3,15.183333333333334,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,89,58,72,157,166,166,429,72,77,-1,18,False,0,False,0,0,0,False,0,False,0,False,7,1,0,0,0,0,4,0,0,0,464.18000797122073,911.2293001950001
EUW1_7298820594,Closer,GIANTX,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,10,3,12,7.33,15,True,3071,6610,2055,2021,3174,1028,3364,11066,18853,27867,13784,567,35,26,131,157,27,4,4,5,3,23.566666666666666,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,429,107,777,114,72,429,28,119,800,-1,41,True,3,True,0,0,0,False,1,True,9,True,19,0,1,0,0,4,9,0,1,5,469.3880310561224,1414.5881824570001
EUW1_7298477723,Closer,GIANTX,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Vi,6,1,6,12.0,12,True,3071,6610,0,1033,2422,1028,3513,8334,10507,19990,11769,651,16,9,134,143,21,3,4,3,3,19.166666666666668,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,117,72,42,266,30,122,22,800,58,-1,24,True,3,True,1,1,0,False,0,False,5,True,12,0,0,0,0,2,7,0,0,5,434.5788441807583,1150.7527337450001
EUW1_7297309276,Closer,GIANTX,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Nidalee,5,8,8,1.62,16,False,3157,6653,2055,3111,4628,0,3364,11740,22852,46902,29159,544,12,45,156,201,59,5,7,16,4,31.35,8000,8200,8010,9111,9105,8017,8210,8232,5001,5008,5005,4,11,254,110,246,429,800,55,72,800,119,86,20,True,2,False,1,1,0,False,0,False,2,False,43,3,0,1,1,8,27,0,1,2,374.43041979076895,1881.358809318
EUW1_7297273010,Closer,GIANTX,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Pantheon,0,4,0,0.0,10,False,3044,6610,0,0,1028,2422,3364,5492,4145,21506,10364,384,9,14,108,122,16,2,4,2,2,18.816666666666666,8000,8300,8010,9111,9104,8014,8304,8347,5001,5008,5005,4,11,72,62,526,254,134,246,81,86,150,555,8,True,1,True,0,0,0,False,0,False,1,True,26,1,1,0,0,5,8,0,0,0,291.6517571729507,1129.992897204
EUW1_7296487917,Closer,GIANTX,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Sejuani,4,2,9,6.5,12,False,3111,3084,0,0,2502,0,3364,7930,12563,31023,12016,562,23,19,100,119,28,5,7,7,5,21.366666666666667,8400,8300,8439,8463,8429,8451,8304,8347,5001,5001,5005,4,11,233,72,58,7,10,119,40,72,234,107,20,False,2,True,0,0,0,False,0,False,2,False,27,1,1,0,0,5,37,0,0,3,370.8388343342873,1283.065034575
EUW1_7296454344,Closer,GIANTX,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,XinZhao,2,3,6,2.67,14,False,3071,6610,0,3174,1028,0,3364,9938,17011,42486,28500,942,28,61,160,221,42,6,7,13,6,27.066666666666666,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,164,800,72,143,60,254,77,112,7,555,12,False,2,True,0,0,0,False,0,False,2,True,27,2,1,0,2,6,14,0,0,8,367.13851285873017,1624.290476094
EUW1_7296126051,Closer,GIANTX,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Vi,2,0,6,8,13,True,3071,6610,0,0,0,3111,3364,7892,5266,14790,11139,0,11,10,154,164,23,3,5,5,3,18.95,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,91,200,799,85,117,126,42,10,72,-1,14,False,3,True,1,1,0,False,0,False,3,True,13,0,0,0,0,2,9,0,0,7,416.143288653008,1137.8899680690001
EUW1_7296066677,Closer,GIANTX,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Corki,5,5,11,3.2,17,False,1038,3094,3047,3078,3042,1053,3363,13732,29367,28722,4571,773,2,253,5,258,38,1,12,13,1,36.15,8000,8300,8010,8009,9104,8017,8304,8316,5011,5008,5005,4,21,800,-1,799,893,20,107,555,72,246,-1,31,True,1,False,0,0,1,True,0,False,4,True,31,4,1,0,2,10,240,0,1,79,379.7972569434398,2169.45173074
