Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7299556397,Jackies,GIANTX,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Syndra,4,5,4,1.6,15,False,3089,0,4629,1052,3020,2503,3363,11907,21078,14492,409,476,38,230,4,234,16,2,12,2,2,27.366666666666667,8300,8200,8369,8304,8313,8347,8233,8237,5011,5008,5005,4,12,119,107,26,99,800,72,112,203,799,81,24,True,0,False,1,1,0,False,0,False,2,True,29,3,0,1,1,8,14,0,1,86,434.8901609573939,1642.8071907190001
EUW1_7299492826,Jackies,GIANTX,15.3.654.407,CLASSIC,100,MIDDLE,UTILITY,Rell,4,5,23,5.4,14,True,3869,3190,1031,3066,3050,3174,3364,9930,12076,19717,1933,489,48,23,0,23,82,5,38,7,5,28.5,8400,8300,8439,8401,8444,8451,8347,8306,5011,5001,5005,4,14,72,42,78,166,92,234,119,800,72,78,35,False,2,True,1,1,1,True,1,True,8,True,22,2,0,0,0,4,6,0,0,9,348.21939951316295,1711.038213413
EUW1_7299457655,Jackies,GIANTX,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Galio,1,4,6,1.75,11,True,1082,6664,2031,3020,1029,0,3340,5693,9617,15197,976,361,24,106,0,106,16,1,6,1,1,17.1,8200,8400,8230,8226,8210,8237,8444,8451,5011,5008,5008,4,12,119,77,-1,99,25,72,-1,799,800,555,20,False,1,False,0,0,0,False,0,False,4,True,14,1,0,0,0,0,8,0,1,69,332.68091721524627,1026.791610017
EUW1_7298847309,Jackies,GIANTX,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Syndra,3,4,4,1.75,13,True,1056,2055,4629,3020,0,2503,3363,8165,16656,10375,328,587,28,153,8,161,21,5,10,2,4,20.633333333333333,8300,8200,8369,8304,8313,8347,8233,8237,5011,5008,5005,4,12,84,114,119,99,800,60,107,-1,555,-1,19,False,3,True,1,1,0,False,1,True,6,True,10,0,0,0,0,0,5,0,0,69,395.5972466975287,1238.3965601910002
EUW1_7298820594,Jackies,GIANTX,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Ambessa,5,6,5,1.67,13,False,1054,1037,3134,6699,1001,3161,3363,9291,17252,24504,3001,483,13,168,0,168,11,3,12,1,3,23.566666666666666,8100,8400,8112,8143,8140,8106,8451,8444,5011,5008,5008,4,12,429,28,119,800,-1,429,107,777,114,72,19,False,0,False,1,1,0,False,0,False,4,False,41,3,0,0,1,9,12,0,0,71,394.0869775129383,1414.5881824570001
EUW1_7298349861,Jackies,GIANTX,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Syndra,5,0,0,5,13,True,1056,3067,3020,2503,3113,3108,3363,8273,14574,6585,1401,0,26,185,0,185,15,3,9,1,3,19.583333333333332,8100,8300,8112,8139,8140,8106,8313,8347,5011,5008,5005,4,12,60,-1,72,238,99,81,78,72,24,107,18,False,1,True,1,1,0,False,0,False,4,True,8,0,0,0,0,2,4,0,1,81,422.29694792834067,1175.5231625170002
EUW1_7298296604,Jackies,GIANTX,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Yone,7,0,8,15,14,True,1054,3006,1018,3153,6673,0,3363,10285,16190,13136,4066,0,18,176,8,184,9,0,6,0,0,18.616666666666667,8000,8400,8008,9101,9104,8017,8451,8444,5011,5008,5005,4,12,89,78,200,99,799,72,41,62,800,55,28,True,1,False,1,1,0,False,2,True,8,True,4,1,0,0,0,2,16,0,3,83,552.4077673914177,1117.212239184
EUW1_7296471990,Jackies,GIANTX,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Ahri,9,2,7,8.0,15,True,3089,2055,4628,3020,3118,3041,3364,13156,33090,16075,5966,1283,32,234,0,234,22,5,7,3,4,26.916666666666668,8100,8200,8112,8139,8140,8106,8226,8210,5011,5008,5005,4,12,99,429,42,35,-1,107,897,800,799,119,21,False,2,True,1,1,0,False,4,True,11,False,9,1,0,1,0,4,45,0,0,82,488.6940537075732,1615.314697429
EUW1_7295724958,Jackies,GIANTX,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Senna,1,5,9,2.0,10,False,3877,3123,1042,3009,1042,3071,3364,6546,15815,19578,7391,524,22,26,0,26,51,3,24,3,3,22.166666666666668,8400,8000,8437,8463,8473,8453,9104,8009,5011,5008,5005,4,7,39,893,59,897,119,119,126,59,800,72,14,True,1,True,0,0,0,False,0,False,1,False,30,0,1,0,2,11,1,0,0,9,295.09208556545224,1331.027178126
EUW1_7295667843,Jackies,GIANTX,15.3.654.407,CLASSIC,200,NONE,TOP,KSante,1,6,1,0.33,11,False,1054,6662,2031,3047,0,3070,3340,5811,15827,21578,2792,308,39,134,0,134,9,0,7,0,0,18.3,8400,8300,8437,8401,8444,8451,8345,8347,5001,5001,5005,4,12,-1,555,119,20,24,72,157,119,92,35,8,False,2,True,0,0,0,False,0,False,0,False,28,0,1,0,0,4,0,0,1,68,317.35506881563316,1098.832022475
