Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7229667307,Jun,GIANTX,14.24.643.5128,CLASSIC,100,NONE,UTILITY,Sylas,5,5,8,2.6,8,True,4645,1082,3871,1052,1052,3020,3364,6431,9831,11349,1724,238,16,25,0,25,35,3,18,5,3,15.166666666666666,8100,8300,8128,8143,8136,8135,8345,8347,5011,5008,5008,14,4,7,121,19,112,22,897,119,84,72,234,26,True,0,False,1,1,0,False,0,False,4,True,16,1,0,0,0,0,19,0,0,18,423.64311962855913,910.876662408
EUW1_7229590314,Jun,GIANTX,14.24.643.5128,CLASSIC,200,BOTTOM,UTILITY,Gragas,9,8,14,2.88,15,True,4629,3118,3871,3119,3024,3158,3364,12207,22364,30170,7077,535,62,51,2,53,94,7,44,4,6,31.783333333333335,8200,8100,8229,8226,8233,8237,8143,8135,5011,5008,5008,14,4,22,7,-1,234,112,78,119,234,75,517,42,True,2,True,0,0,1,True,1,True,9,False,35,3,0,0,0,4,12,0,2,13,383.85123560312144,1908.1140952280002
EUW1_7229478719,Jun,GIANTX,14.24.643.5128,CLASSIC,100,BOTTOM,UTILITY,Nami,1,5,29,6.0,14,False,0,3222,3876,4005,3067,3158,3364,9212,18563,20455,17563,992,68,29,0,29,122,16,59,11,16,32.53333333333333,8200,8000,8214,8226,8233,8237,8009,9105,5011,5008,5008,7,4,555,150,112,19,119,8,119,201,134,234,35,True,1,False,1,1,0,False,1,True,6,True,34,4,0,2,1,9,12,0,0,8,283.08311788435384,1952.6313571340002
EUW1_7229192273,Jun,GIANTX,14.24.643.5128,CLASSIC,200,TOP,UTILITY,Leona,2,8,15,2.12,11,False,2055,3190,3877,1028,1057,3111,3364,7090,10593,21419,1112,333,67,9,0,9,88,15,49,5,14,26.183333333333334,8400,8300,8439,8463,8473,8242,8306,8347,5011,5010,5007,14,4,777,799,22,28,78,114,235,157,62,29,26,False,0,False,0,0,0,False,0,False,1,False,38,4,1,1,2,10,13,0,0,3,270.73739636169825,1571.36978552
EUW1_7228512046,Jun,GIANTX,14.24.643.5128,CLASSIC,200,BOTTOM,UTILITY,Lux,3,7,12,2.14,13,False,2055,3222,3871,3118,3916,3158,3364,9297,20109,20075,1965,444,52,41,0,41,105,12,43,15,10,30.7,8200,8300,8229,8275,8233,8237,8345,8347,5011,5008,5008,7,4,19,22,777,799,104,799,119,104,112,122,22,True,1,False,0,0,0,False,0,False,3,False,37,3,1,2,2,11,57,0,0,15,302.7184729486048,1842.822219243
EUW1_7224048171,Jun,GIANTX,14.24.642.1879,CLASSIC,200,BOTTOM,UTILITY,Braum,0,7,10,1.43,11,False,0,3190,3876,3067,1031,3158,3364,6461,12675,28705,978,742,60,20,0,20,59,10,30,5,8,27.566666666666666,8400,8300,8465,8463,8444,8451,5005,5010,5011,5010,5005,14,4,24,254,799,72,112,51,72,799,58,555,11,True,2,True,0,0,0,False,0,False,2,False,29,2,1,1,2,10,13,0,0,9,234.3104193797827,1654.5584036070002
EUW1_7223974840,Jun,GIANTX,14.24.642.1879,CLASSIC,100,BOTTOM,UTILITY,Hwei,3,8,17,2.5,13,True,3916,0,3871,6653,2503,3020,3364,9899,27219,21615,3869,474,32,38,0,38,115,11,45,14,10,31.183333333333334,8200,8000,8229,8226,8233,8237,5008,5008,5011,5008,5008,7,4,104,893,238,799,81,59,105,110,104,799,38,True,4,True,1,1,1,False,2,True,10,True,29,1,0,1,0,0,24,0,0,15,317.2814996009526,1872.1281317720002
EUW1_7223009702,Jun,GIANTX,14.23.636.9832,CLASSIC,100,MIDDLE,UTILITY,Rumble,4,5,18,4.4,11,True,0,1058,3871,6653,3145,3020,3364,8646,14739,15469,562,517,15,26,0,26,74,7,40,6,7,22.466666666666665,8200,8100,8229,8275,8233,8237,8136,8106,5011,5008,5008,14,4,22,897,799,254,104,51,119,84,104,72,35,True,1,False,1,1,0,False,2,True,10,True,20,1,0,0,0,0,91,0,1,11,384.62267191045544,1348.878411595
EUW1_7222941896,Jun,GIANTX,14.23.636.9832,CLASSIC,100,BOTTOM,UTILITY,Heimerdinger,3,5,18,4.2,15,False,4630,6653,3871,3916,3116,3158,3364,10935,37301,28134,4285,695,67,56,0,56,133,10,56,13,10,37.15,8200,8000,8229,8226,8233,8237,8009,8014,5011,5008,5008,14,4,254,-1,7,799,92,203,799,42,122,78,35,False,3,True,1,1,0,False,1,False,8,True,38,2,0,2,2,9,28,0,0,10,294.2760772574919,2229.601750662
EUW1_7222883268,Jun,GIANTX,14.23.636.9832,CLASSIC,200,BOTTOM,UTILITY,Galio,3,2,17,10.0,12,True,3002,3190,3869,0,0,3111,3364,7591,10896,16610,2696,831,56,24,0,24,70,9,36,5,9,24.883333333333333,8400,8200,8439,8463,8473,8242,8275,8234,5011,5010,5008,14,4,72,254,-1,238,799,157,104,42,150,51,34,False,4,True,0,0,1,True,4,True,11,True,16,0,0,0,0,0,7,0,0,11,304.97684149778485,1493.501240221
