Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7299839600,Lot,GIANTX,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,KSante,3,3,5,2.67,17,True,1054,3065,3047,6662,0,2502,3364,11344,12262,20580,2348,785,21,222,0,222,9,2,5,0,2,27.583333333333332,8400,8300,8437,8401,8444,8451,8304,8345,5001,5001,5005,4,12,119,800,246,72,107,119,68,7,107,800,43,True,3,True,1,1,0,False,1,True,10,True,20,0,0,1,0,3,12,0,2,77,411.084420480239,1655.795416483
EUW1_7299778138,Lot,GIANTX,15.3.654.407,CLASSIC,200,TOP,TOP,Rumble,14,8,9,2.88,18,False,3089,0,4645,3020,6653,4633,3364,15552,41436,39233,3990,477,17,253,8,261,19,4,8,2,4,30.1,8200,8300,8229,8224,8210,8237,8345,8347,5001,5008,5007,4,12,555,119,35,107,800,117,799,166,72,92,44,True,1,False,0,0,0,False,0,False,3,False,36,4,1,1,2,8,100,0,4,88,516.5220618443446,1806.596507791
EUW1_7299721706,Lot,GIANTX,15.3.654.407,CLASSIC,200,NONE,TOP,Poppy,3,0,2,5,13,True,1054,1011,3105,3121,6610,1001,3364,9333,15831,13779,3863,0,25,183,0,183,10,2,5,2,2,18.566666666666666,8400,8200,8437,8446,8444,8451,8226,8237,5011,5008,5008,4,12,27,91,157,800,200,234,122,111,555,-1,18,False,2,True,1,1,0,False,0,False,4,True,7,0,0,0,0,0,2,0,0,89,502.49578716054395,1114.480658837
EUW1_7299645336,Lot,GIANTX,15.3.654.407,CLASSIC,200,TOP,TOP,Camille,1,7,7,1.14,18,True,3074,3133,2422,3078,3053,2019,3364,13632,18701,44855,8676,718,16,313,16,329,18,3,6,5,3,33.516666666666666,8400,8300,8437,8401,8444,8451,8304,8345,5001,5008,5005,4,12,117,107,72,-1,64,81,201,799,517,893,23,False,4,True,0,0,0,False,1,False,8,False,40,1,1,1,2,8,36,0,0,99,406.7158891689925,2011.144620702
EUW1_7299575518,Lot,GIANTX,15.3.654.407,CLASSIC,100,TOP,TOP,KSante,5,4,8,3.25,16,False,3143,3047,3075,1057,6662,6665,3364,13917,21002,31946,4364,753,28,261,0,261,26,3,6,9,3,32.766666666666666,8400,8300,8437,8401,8444,8451,8304,8345,5001,5001,5005,4,12,35,800,799,166,107,233,910,72,92,119,28,False,3,False,1,1,0,False,0,False,5,False,32,2,0,2,2,11,62,0,1,82,424.61216623951293,1966.6031255690002
EUW1_7298845280,Lot,GIANTX,15.3.654.407,CLASSIC,100,NONE,TOP,Gnar,6,0,4,10,13,True,1055,1028,3078,1037,3047,2021,3364,11532,16858,11994,2787,0,20,177,8,185,8,0,5,0,0,17.283333333333335,8400,8300,8437,8446,8473,8451,8345,8347,5011,5008,5005,4,12,-1,62,107,72,-1,800,114,166,126,91,32,True,1,True,0,0,0,False,3,True,11,True,12,1,0,0,0,0,8,0,3,89,666.7255746251002,1037.86712994
EUW1_7298820594,Lot,GIANTX,15.3.654.407,CLASSIC,100,TOP,TOP,Gnar,10,1,8,18.0,16,True,3143,3053,3078,3111,1055,1031,3364,13087,26681,20538,4712,254,31,217,16,233,16,1,6,2,1,23.566666666666666,8400,8300,8437,8446,8473,8451,8345,8347,5011,5008,5005,4,12,429,107,777,114,72,429,28,119,800,-1,41,True,3,True,0,0,0,False,1,True,9,True,19,0,1,0,0,4,12,0,5,73,555.1172520921085,1414.5881824570001
EUW1_7298523261,Lot,GIANTX,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Khazix,4,4,2,1.5,11,False,6698,1036,6692,2422,0,0,3364,7318,7464,18925,10365,569,3,24,108,132,15,0,3,4,0,16.816666666666666,8000,8300,8010,9111,9105,8017,8347,8304,5001,5008,5005,4,11,42,107,119,24,238,555,429,120,72,-1,9,False,0,False,0,0,0,False,0,False,1,False,19,2,0,0,0,3,35,0,0,3,434.92339201081865,1009.678016766
EUW1_7298454190,Lot,GIANTX,15.3.654.407,CLASSIC,100,TOP,TOP,Jayce,6,6,9,2.5,18,True,3142,3042,6609,6695,3158,6692,3364,17210,31273,30436,3801,728,17,329,36,365,22,0,6,5,0,38.6,8200,8300,8230,8226,8233,8236,8345,8347,5001,5008,5005,4,12,897,72,107,166,60,-1,800,107,799,897,38,False,4,False,1,1,1,False,3,True,10,True,29,2,0,1,0,5,5,0,1,83,445.74165840171503,2316.679202456
EUW1_7298418565,Lot,GIANTX,15.3.654.407,CLASSIC,100,NONE,TOP,Rumble,0,2,2,1.0,11,False,1056,2031,3047,2508,3147,1052,3340,5002,9060,8140,1123,468,13,128,0,128,9,0,5,2,0,15.9,8000,8400,8010,9101,9105,8017,8473,8451,5001,5008,5008,4,12,234,72,555,800,107,42,107,72,122,51,10,True,0,False,0,0,0,False,0,False,0,False,26,1,0,0,0,4,0,0,0,80,314.5205263408978,954.227391942
