Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7299668146,Alvaro,KOI,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Akshan,9,6,1,1.67,11,True,3087,3111,6676,1038,0,1055,3363,9113,18264,20330,1244,350,0,106,6,112,14,0,8,4,0,21.516666666666666,8000,8400,8005,8009,9104,8014,8473,8451,5001,5008,5005,4,14,54,21,72,234,800,62,21,72,114,800,25,True,1,False,1,1,0,False,0,False,7,True,16,1,0,0,0,0,117,0,2,55,423.3261097519083,1291.7671670470002
EUW1_7299292122,Alvaro,KOI,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Syndra,1,3,3,1.33,11,True,2031,6655,1052,1056,1052,3020,3363,5582,7158,8200,545,524,16,126,0,126,6,0,5,0,0,15.8,8100,8200,8112,8139,8140,8106,8226,8210,5001,5008,5005,4,12,427,119,799,72,131,77,84,81,24,42,18,True,1,True,0,0,0,False,0,False,3,True,8,0,0,0,0,0,22,0,1,79,353.0176310337419,948.77904948
EUW1_7299239398,Alvaro,KOI,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Xerath,5,9,10,1.67,14,False,1082,1052,4628,3020,6655,1058,3363,9354,30095,23970,341,510,35,168,0,168,17,0,8,1,0,28.366666666666667,8200,8000,8229,8226,8233,8237,8009,8017,5011,5008,5008,4,21,800,56,234,799,72,234,72,23,777,119,32,True,0,False,0,0,0,False,0,False,2,False,44,3,1,0,1,9,32,0,1,68,329.6404135830112,1702.755452882
EUW1_7299215558,Alvaro,KOI,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Xerath,3,1,2,5.0,11,True,1058,1052,1082,6655,3020,1056,3363,6758,10130,5239,424,178,18,147,0,147,7,0,5,0,0,15.233333333333333,8200,8000,8229,8226,8233,8237,8009,8017,5001,5008,5008,4,12,119,234,27,799,72,119,35,39,800,555,14,True,1,True,0,0,0,False,0,False,3,True,2,0,0,0,0,0,4,0,1,83,443.3657429024483,914.6743736860001
EUW1_7299155522,Alvaro,KOI,15.3.654.407,CLASSIC,100,TOP,MIDDLE,Akali,10,10,9,1.9,17,True,3152,3157,0,1052,4645,3020,3364,12853,35824,48119,1980,387,4,178,4,182,20,1,9,2,1,33.983333333333334,8100,8400,8112,8143,8140,8106,8451,8444,5001,5008,5008,4,12,800,72,234,77,876,24,7,-1,42,117,54,False,3,False,0,0,1,False,3,True,9,True,42,2,1,1,0,2,125,0,1,57,378.18684036365903,2039.273822156
EUW1_7299124822,Alvaro,KOI,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Akshan,1,6,0,0.17,9,False,3144,6690,1001,1037,1055,0,3340,3931,9334,13453,793,187,0,64,0,64,6,0,4,0,0,16.116666666666667,8000,8400,8005,8009,9104,8014,8473,8451,5001,5008,5005,4,12,164,234,77,72,800,30,72,800,24,62,5,False,0,False,0,0,0,False,0,False,0,False,28,1,0,0,2,8,24,0,0,46,243.6842492481196,967.9467975450001
EUW1_7299068398,Alvaro,KOI,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Mel,9,8,4,1.62,14,False,2503,3020,1082,4628,1058,1058,3363,10788,41568,26101,1181,415,76,185,0,185,25,1,11,3,1,27.983333333333334,8200,8000,8229,8226,8210,8237,8009,8014,5001,5008,5007,4,12,72,78,234,81,8,119,21,42,84,134,24,True,0,False,0,0,0,False,0,False,3,False,30,4,1,1,2,10,40,0,1,82,385.47937734973823,1679.227872822
EUW1_7298646520,Alvaro,KOI,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Mel,13,2,3,8.0,13,True,1058,2503,1082,4645,3158,1052,3363,10442,20198,12023,427,564,38,163,0,163,9,0,7,0,0,19.316666666666666,8200,8000,8229,8226,8210,8237,8009,8014,5001,5008,5008,4,12,72,119,234,-1,122,143,150,62,72,234,35,True,2,True,1,1,0,False,0,False,4,False,11,0,0,0,0,2,45,0,1,75,540.5285944324182,1159.1442014190002
EUW1_7298625000,Alvaro,KOI,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Syndra,7,4,11,4.5,14,True,1056,3175,6655,1082,4646,1058,3363,10935,23595,20604,2208,971,39,187,0,187,10,1,10,0,1,23.166666666666668,8100,8200,8112,8139,8140,8106,8226,8210,5001,5008,5005,4,12,164,42,234,72,800,119,800,117,121,126,24,False,2,True,1,1,0,False,1,True,9,True,20,1,0,0,0,4,12,0,2,78,471.974821289393,1390.238812001
EUW1_7298597413,Alvaro,KOI,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Sylas,7,12,7,1.17,14,False,3152,0,3175,3145,4646,1056,3364,9990,28398,40170,6365,286,23,154,2,156,22,3,10,4,3,29.4,8100,8000,8112,8143,8140,8105,8009,8017,5001,5008,5008,4,14,72,234,555,429,58,30,200,800,107,897,34,True,0,False,1,1,0,False,0,False,4,True,36,4,0,0,1,8,41,0,2,51,339.64426398509335,1764.955672382
