Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300567843,Elyoya,KOI,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Diana,6,5,16,4.4,16,True,6665,4633,1082,6653,0,3111,3364,12984,22880,25359,11386,652,10,44,153,197,31,4,4,6,3,26.666666666666668,8000,8300,8010,9111,9104,8017,8347,8304,5011,5008,5005,4,11,-1,119,800,69,42,126,62,800,85,59,35,False,3,True,1,1,1,True,0,False,7,True,20,0,0,0,0,2,23,0,2,2,486.65533373145803,1600.811504639
EUW1_7300507675,Elyoya,KOI,15.3.654.407,CLASSIC,200,BOTTOM,JUNGLE,Elise,4,7,8,1.71,11,False,3877,1026,1082,4646,4630,3020,3364,8250,12946,20798,2995,653,36,24,0,24,93,13,43,13,13,29.366666666666667,8100,8300,8112,8143,8141,8105,8306,8347,5011,5008,5008,4,14,62,69,72,117,800,555,119,893,62,111,19,False,1,False,0,0,0,False,0,False,2,False,33,3,1,1,2,8,57,0,0,10,280.8501123601209,1762.6697455580002
EUW1_7299814680,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Talon,16,1,12,28.0,18,True,2055,3814,3071,3171,6695,3142,3364,15164,28695,33205,16302,76,8,41,159,200,33,9,9,7,8,29.366666666666667,8100,8300,8112,8143,8140,8106,8347,8304,5011,5008,5008,4,11,72,-1,800,60,-1,555,897,131,-1,800,38,False,1,False,1,1,1,True,2,True,11,True,18,3,0,0,0,1,13,0,1,5,516.2470886376635,1762.43911593
EUW1_7299762194,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Jax,5,6,2,1.17,14,False,2055,3078,6610,1052,1052,3047,3340,10490,11471,36575,15230,537,14,16,149,165,34,9,12,6,7,28.083333333333332,8000,8300,8008,9111,9104,8017,8347,8345,5011,5008,5005,4,11,107,126,-1,157,72,122,526,234,72,555,19,True,3,True,0,0,0,False,0,False,2,True,25,1,1,1,3,11,18,0,0,0,373.4795556254029,1685.378554496
EUW1_7299692890,Elyoya,KOI,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Nidalee,6,4,4,2.5,15,False,1058,3175,6653,4645,2055,2421,3364,12352,18104,32742,23768,670,8,25,182,207,51,10,11,13,9,30.483333333333334,8000,8200,8010,9111,9105,8017,8210,8232,5011,5008,5005,4,11,112,68,-1,72,800,432,163,60,799,72,17,True,2,True,1,1,0,False,1,True,6,True,26,1,0,1,2,10,10,0,2,2,405.0082987583818,1830.0335370990001
EUW1_7299572175,Elyoya,KOI,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Diana,6,7,15,3.0,16,True,1031,4633,6653,3047,1011,1057,3364,12462,25616,34260,14418,426,18,43,166,209,33,6,7,6,6,28.45,8000,8300,8010,9111,9104,8017,8347,8304,5011,5008,5005,4,11,-1,-1,555,799,112,27,143,117,107,84,41,False,2,False,1,1,0,False,0,False,6,False,28,1,0,1,0,3,14,0,0,8,437.7721110826026,1708.0238688450002
EUW1_7299540702,Elyoya,KOI,15.3.654.407,CLASSIC,100,NONE,UTILITY,Leona,1,5,5,1.2,7,True,3869,3190,2055,1001,1029,2031,3364,4293,3605,9430,173,371,22,12,0,12,35,7,16,5,5,15.616666666666667,8400,8300,8439,8446,8473,8451,8347,8306,5011,5010,5007,4,14,72,800,799,143,20,119,555,234,68,26,17,False,0,False,0,0,0,False,0,False,2,False,13,1,0,0,0,1,6,0,0,8,274.8422590809928,937.2068321300001
EUW1_7298835164,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Diana,7,5,20,5.4,16,True,0,2502,3173,1082,4633,6653,3364,13870,27907,28987,13707,421,12,46,143,189,22,5,6,1,4,26.616666666666667,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,35,777,800,-1,107,893,122,42,84,555,39,True,1,False,1,1,1,True,1,True,9,False,25,2,0,0,0,3,21,0,1,15,520.9124342323871,1597.6064530550002
EUW1_7298453472,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,LeeSin,8,0,11,19,14,True,2055,6692,6610,2021,1028,3047,3340,11504,15801,27942,16831,0,22,29,120,149,22,8,14,1,7,23.75,8000,8300,8010,9111,9104,8017,8304,8347,5011,5008,5005,4,11,86,800,72,119,51,526,555,91,131,72,22,True,0,False,1,1,0,False,3,True,11,False,9,2,0,0,0,1,9,0,1,5,484.1166844041971,1425.887558246
EUW1_7298374435,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Evelynn,12,6,4,2.67,18,False,1026,3100,4646,3175,4630,3089,3363,15984,27102,43779,23686,546,11,24,204,228,39,11,22,3,9,38.233333333333334,8100,8200,8112,8143,8140,8105,8233,8236,5001,5008,5008,4,11,101,119,111,-1,799,-1,60,122,246,81,45,True,1,False,1,1,1,True,1,True,8,True,32,4,0,1,2,9,16,0,3,2,417.94179895212886,2294.756285964
EUW1_7298306613,Elyoya,KOI,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Kayn,7,6,10,2.83,15,False,2055,3161,3111,3071,1036,6699,3364,12423,18365,39532,20841,648,21,16,170,186,29,8,8,4,7,29.466666666666665,8100,8300,8112,8143,8140,8105,8304,8347,5011,5008,5008,4,11,-1,200,800,61,799,72,62,42,800,39,24,True,3,True,0,0,0,False,0,False,4,True,36,1,1,1,1,8,27,0,0,6,421.5087449028519,1768.4782391420001
EUW1_7298250486,Elyoya,KOI,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Leona,1,6,4,0.83,9,False,3869,3190,2055,3111,1028,1029,3364,6302,7237,17198,906,576,32,27,0,27,90,16,43,13,15,27.333333333333332,8400,8100,8439,8463,8473,8451,8106,8140,5011,5010,5007,4,14,112,163,72,420,-1,902,800,60,28,799,11,True,0,False,1,1,0,False,0,False,3,True,27,3,0,1,0,6,58,0,0,17,230.5158594579663,1640.515938016
EUW1_7297279553,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Talon,13,6,9,3.67,17,True,6698,3071,3170,2055,3814,3142,3364,14796,29398,40671,17878,455,4,23,172,195,25,10,8,3,7,29.533333333333335,8100,8300,8112,8143,8137,8135,8304,8347,5011,5008,5008,4,11,92,800,-1,42,119,126,800,30,62,893,41,False,1,False,1,1,1,True,2,True,10,False,25,2,0,0,0,4,10,0,0,2,500.7436797729502,1772.9646438000002
EUW1_7297219477,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Nidalee,15,1,12,27.0,18,True,4630,3175,6653,3089,1026,3157,3364,17408,33337,38827,39451,948,14,21,199,220,48,9,10,9,9,30.2,8000,8200,8010,9111,9105,8017,8210,8232,5011,5008,5005,4,11,80,-1,119,72,800,-1,72,-1,107,60,33,False,2,False,1,1,1,True,2,True,9,True,19,3,0,0,0,3,21,0,1,1,576.1925718866845,1812.758815412
EUW1_7297158379,Elyoya,KOI,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Zac,3,4,6,2.25,14,False,2055,2502,3047,0,3084,0,3364,9135,11341,41649,48694,961,35,23,124,147,25,9,8,5,7,27.5,8400,8300,8439,8463,8429,8453,8345,8347,5011,5001,5005,4,11,799,-1,91,30,-1,119,60,7,58,555,14,False,0,False,0,0,0,False,0,False,2,True,27,3,1,1,2,10,3,0,1,1,332.15049907137694,1650.291415247
EUW1_7297093329,Elyoya,KOI,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Senna,2,11,8,0.91,11,False,3877,3094,0,3009,3073,0,3363,7868,12203,26574,5830,275,33,37,0,37,49,3,22,7,2,25.016666666666666,8400,8000,8437,8463,8444,8451,8009,9104,5011,5008,5005,4,7,107,60,134,799,526,526,800,80,107,119,17,False,0,False,0,0,0,False,0,False,5,False,42,4,1,0,0,5,13,0,0,20,314.45302156918575,1501.3503074930002
EUW1_7296460364,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Ivern,5,1,21,26.0,14,True,3107,2055,3041,6617,0,3170,3364,11066,17204,11729,8966,1165,68,4,137,141,26,7,7,2,5,24.05,8300,8200,8351,8321,8313,8347,8210,8232,5001,5010,5007,4,11,119,58,234,27,-1,77,42,126,7,555,30,True,2,False,1,1,0,False,1,True,9,True,8,1,0,0,0,0,2,0,0,0,459.866143910133,1443.8710713280002
EUW1_7296436759,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,XinZhao,5,5,7,2.4,16,False,6609,3047,3071,6610,2055,0,3364,12379,22392,47503,28583,685,34,22,183,205,39,8,9,8,6,33.13333333333333,8000,8300,8010,9111,9104,8017,8345,8347,5011,5008,5005,4,11,42,119,-1,800,58,56,72,119,62,126,16,True,1,False,1,1,1,True,0,False,3,True,26,4,0,1,1,9,40,0,0,5,373.52634048807437,1988.506852099
EUW1_7296185205,Elyoya,KOI,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Olaf,2,1,4,6.0,10,True,6631,2010,0,1033,1001,1101,3364,6001,3167,13775,10169,597,6,8,104,112,18,3,4,4,3,15.216666666666667,8000,8300,8010,9111,9104,8017,8345,8410,5001,5008,5008,6,11,800,-1,126,72,429,42,526,80,555,60,14,True,1,True,0,0,0,False,0,False,4,True,3,0,0,0,0,0,6,0,1,2,394.32343927094087,913.220325815
EUW1_7296147009,Elyoya,KOI,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Pantheon,7,0,10,17,10,True,2055,1001,1102,6610,1028,3153,3364,8142,14470,16576,11005,0,23,13,95,108,13,3,3,3,1,15.333333333333334,8000,8300,8010,9111,9105,8017,8347,8345,5011,5008,5008,4,11,555,119,-1,55,166,126,526,107,800,799,28,True,0,False,0,0,0,False,0,False,5,True,4,0,0,0,0,0,10,0,0,3,530.506957007505,920.954931115
EUW1_7296074321,Elyoya,KOI,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Evelynn,7,6,6,2.17,17,False,4646,4630,1082,3089,3020,3100,3363,14200,27154,43536,24028,583,13,16,214,230,26,4,9,3,4,36.1,8100,8200,8112,8143,8141,8105,8233,8236,5001,5008,5008,4,11,-1,72,119,24,10,119,107,526,104,800,23,False,0,False,0,0,0,False,2,True,7,False,39,4,1,1,1,8,9,0,3,0,393.2929290924165,2166.462779165
EUW1_7295989788,Elyoya,KOI,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Elise,8,8,6,1.75,12,False,3877,2055,4646,3020,1052,4645,3364,9496,17269,21496,2570,456,27,19,4,23,84,11,35,10,10,26.816666666666666,8100,8000,8112,8143,8141,8135,9111,8014,5011,5008,5008,4,14,119,777,799,28,-1,157,126,72,800,119,24,True,0,False,0,0,0,False,0,False,3,False,34,4,1,1,2,8,26,0,0,5,353.98878952440907,1609.543655102
EUW1_7295352026,Elyoya,KOI,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Braum,0,4,26,6.5,13,True,3190,3869,0,3111,3067,1031,3364,8468,8676,23953,5626,721,52,19,0,19,78,11,45,4,11,29.083333333333332,8400,8300,8465,8463,8444,8451,8345,8347,5011,5010,5007,4,7,107,35,526,893,897,800,-1,126,72,12,34,True,1,True,1,1,1,True,2,True,9,True,16,1,0,0,0,3,11,0,0,8,291.03499993537554,1745.88698563
EUW1_7295328185,Elyoya,KOI,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,7,3,7,4.67,14,False,2055,3067,3111,1028,6610,6692,3340,11005,15273,30294,15177,829,17,14,156,170,37,12,17,5,11,28.533333333333335,8000,8300,8010,9111,9104,8017,8345,8347,5013,5008,5005,4,11,76,800,24,-1,42,39,72,555,429,897,19,False,1,False,0,0,0,False,0,False,3,False,29,3,1,1,2,10,39,0,1,5,385.6897120733229,1712.1035433030002
EUW1_7294405775,Elyoya,KOI,15.2.652.1536,CLASSIC,100,NONE,JUNGLE,Leona,0,0,9,9,7,True,3869,3190,2055,3009,0,0,3364,4656,3242,5688,780,0,17,18,0,18,37,7,17,7,6,15.183333333333334,8400,8300,8439,8463,8473,8242,8306,8347,5011,5008,5005,4,14,84,897,72,526,246,62,72,555,112,126,23,False,1,False,0,0,0,False,0,False,5,True,4,1,0,0,0,0,4,0,0,8,306.50612641413414,911.489765422
