Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300585711,Myrwn,KOI,15.3.654.407,CLASSIC,100,NONE,TOP,Lulu,3,1,9,12.0,13,True,1056,0,6655,1001,1082,3040,3363,8930,19381,10142,664,650,20,137,0,137,9,1,7,1,1,19.683333333333334,8100,8200,8112,8126,8141,8135,8226,8237,5001,5008,5005,4,12,78,555,81,238,119,201,72,42,58,799,21,True,0,False,1,1,0,False,1,True,8,True,4,2,0,0,0,0,16,0,1,63,453.627310914685,1181.182757123
EUW1_7297189805,Myrwn,KOI,15.3.654.407,CLASSIC,200,TOP,TOP,Sylas,9,9,8,1.89,16,True,4645,3152,3175,4646,0,1082,3340,11911,27179,39111,8267,265,21,178,4,182,28,0,11,3,0,30.433333333333334,8100,8300,8112,8143,8141,8135,8345,8347,5011,5008,5008,4,12,72,238,800,62,24,62,78,72,126,555,40,True,3,True,1,1,1,True,2,True,9,True,30,1,0,0,1,6,53,0,1,61,391.31106762164717,1826.4532896110002
EUW1_7295371698,Myrwn,KOI,15.3.654.407,CLASSIC,200,TOP,TOP,Anivia,7,6,7,2.33,18,True,1056,3040,6653,4630,3170,6657,3363,13574,39187,42085,7129,606,69,223,7,230,20,2,13,2,2,30.65,8400,8000,8437,8446,8444,8451,8009,8017,5011,5008,5005,4,12,555,107,201,86,39,111,126,62,7,143,32,True,3,True,1,1,0,False,1,True,9,True,29,1,0,1,0,2,19,0,2,67,442.8120461209783,1839.330043378
EUW1_7295338342,Myrwn,KOI,15.3.654.407,CLASSIC,100,TOP,TOP,Anivia,3,6,5,1.33,17,False,1056,6657,3009,3121,4633,1052,3363,10529,34551,49851,8993,863,105,206,0,206,8,0,9,0,0,29.733333333333334,8400,8000,8437,8446,8473,8451,8009,8017,5011,5008,5005,4,12,78,134,72,39,107,62,800,72,412,92,16,True,1,False,1,1,0,False,0,False,3,False,36,3,0,1,2,10,16,0,1,85,354.0924538169992,1784.125209751
EUW1_7293116871,Myrwn,KOI,15.2.652.1536,CLASSIC,200,TOP,TOP,Varus,14,5,3,3.4,17,False,1037,1043,3302,3124,3181,3174,3363,15258,41244,24726,3811,1159,45,218,16,234,23,2,11,5,2,31.433333333333334,8000,8400,8005,9101,9104,8017,8473,8451,5001,5008,5005,4,12,800,72,234,42,24,154,117,72,799,-1,35,False,3,True,0,0,1,True,0,False,5,True,36,2,1,0,1,8,6,0,7,75,485.23716094267695,1886.74838487
EUW1_7275886404,Myrwn,KOI,15.1.649.4112,CLASSIC,200,TOP,TOP,Jax,13,3,3,5.33,15,True,3158,2021,6662,2502,3121,3110,3340,14325,29796,33247,9170,717,37,174,8,182,22,1,9,3,0,28.2,8400,8300,8437,8446,8444,8451,8345,8316,5001,5008,5005,4,12,876,119,72,84,78,72,799,40,55,107,31,False,1,False,0,0,1,True,1,True,9,False,19,3,1,0,0,4,8,0,1,56,507.70347075092775,1692.951367626
EUW1_7274971283,Myrwn,KOI,15.1.649.4112,CLASSIC,200,BOTTOM,BOTTOM,KSante,5,4,9,3.5,18,True,6617,3107,1011,3065,3174,2502,3364,14895,22830,53856,21068,1152,34,226,0,226,23,5,11,0,5,34.416666666666664,8400,8300,8437,8401,8444,8451,8345,8347,5001,5001,5005,4,12,72,126,112,119,78,40,62,84,119,799,33,True,3,True,1,1,2,True,2,True,10,True,24,2,0,0,0,5,29,0,2,71,432.71837477402687,2065.322212306
EUW1_7274928287,Myrwn,KOI,15.1.649.4112,CLASSIC,200,TOP,TOP,Renekton,6,3,5,3.67,18,True,3174,6701,6694,2504,3078,1031,3364,16890,24409,38185,9812,957,25,267,9,276,28,1,5,6,1,36.083333333333336,8000,8300,8005,9111,9105,8299,8345,8316,5011,5008,5008,4,12,81,429,78,-1,84,112,72,62,81,200,34,True,0,False,1,1,2,True,3,True,13,True,25,4,0,0,0,3,61,0,2,75,467.969504712908,2165.534237101
EUW1_7274851292,Myrwn,KOI,15.1.649.4112,CLASSIC,200,MIDDLE,BOTTOM,KSante,3,6,6,1.5,15,False,3065,3075,3170,1057,1011,1031,3340,10166,17078,35721,4026,703,28,191,0,191,15,0,9,1,0,30.633333333333333,8400,8300,8437,8401,8444,8451,8347,8345,5011,5001,5008,4,12,42,876,72,7,78,42,7,62,72,119,18,True,3,True,0,0,0,False,0,False,2,False,34,1,1,1,2,11,36,0,0,76,331.8235282327838,1838.2310728870002
EUW1_7274820666,Myrwn,KOI,15.1.649.4112,CLASSIC,100,TOP,TOP,Rumble,2,1,11,13.0,17,True,4630,3157,6653,1026,3047,0,3363,11006,25183,22425,4809,1548,16,224,5,229,29,3,11,3,3,25.95,8200,8400,8229,8224,8210,8237,8473,8451,5001,5008,5008,4,12,7,72,119,78,555,893,72,157,555,166,25,False,2,False,1,1,0,False,2,True,9,True,14,1,0,0,0,2,14,0,0,83,423.89797947740385,1557.946816889
