Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301096217,Supa,KOI,15.3.654.407,CLASSIC,100,NONE,BOTTOM,MissFortune,1,1,0,1.0,4,False,1055,2010,1037,1036,0,0,3340,2168,1940,2365,337,332,0,43,0,43,0,0,0,0,0,5.95,8000,8300,8005,8009,9104,8017,8345,8304,5011,5008,5005,21,4,119,35,893,42,72,81,-1,80,119,799,3,False,0,False,0,0,0,False,0,False,0,False,5,0,0,0,0,0,2,0,0,42,364.15990489716603,357.256722855
EUW1_7300598858,Supa,KOI,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Corki,3,6,11,2.33,15,True,1055,3042,3078,3009,3094,1018,3364,11710,25567,23825,3737,624,0,230,8,238,19,1,5,5,1,28.233333333333334,8000,8300,8010,8009,9103,8017,8316,8345,5011,5008,5005,1,4,254,166,526,58,92,35,143,126,72,800,35,True,3,False,1,1,1,True,2,True,10,True,22,1,0,0,0,1,18,2,0,77,414.55039308657183,1694.8974174010002
EUW1_7300551513,Supa,KOI,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Mel,9,0,4,13,13,True,1056,2503,3145,6653,3158,0,3363,10021,17885,9135,2151,0,29,175,7,182,18,3,8,2,3,20.683333333333334,8200,8000,8229,8226,8210,8237,8009,8014,5011,5008,5005,12,4,72,32,84,122,54,-1,119,555,238,240,27,True,3,True,1,1,0,False,2,True,8,True,14,0,0,0,0,1,14,0,1,80,484.230347433761,1241.6970270430002
EUW1_7299704261,Supa,KOI,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Ezreal,11,3,4,5.0,17,True,3078,3042,3171,1055,3161,3035,3363,14521,41258,21863,4257,744,3,235,9,244,37,2,7,11,2,30.416666666666668,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,21,4,166,799,80,76,800,555,64,-1,7,107,29,True,2,True,1,1,1,True,2,True,9,True,16,1,0,0,0,2,16,0,1,78,477.3668418590464,1825.2005752680002
EUW1_7299644804,Supa,KOI,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Kalista,6,6,5,1.83,16,False,3006,3153,1011,3124,3302,3082,3363,13439,23508,23601,6866,694,21,248,8,256,22,0,8,8,0,32.93333333333333,8000,8100,8008,9111,9104,8017,8143,8135,5011,5008,5005,21,4,119,3,799,800,98,164,35,72,119,117,25,False,1,False,1,1,0,False,0,False,4,False,30,4,0,1,2,11,6,0,0,55,407.98424147860186,1976.4017325680002
EUW1_7299572175,Supa,KOI,15.3.654.407,CLASSIC,100,MIDDLE,BOTTOM,Ezreal,7,6,13,3.33,15,False,3078,3042,3158,3161,3133,0,3363,12720,31652,22913,3815,529,2,196,8,204,23,1,9,6,1,28.45,8000,8300,8005,8009,9105,8017,8345,8316,5011,5008,5005,1,4,27,143,117,107,84,-1,-1,555,799,112,28,True,1,True,0,0,1,True,0,False,3,True,41,2,1,0,0,6,11,0,1,58,446.862557359123,1708.0238688450002
EUW1_7299540702,Supa,KOI,15.3.654.407,CLASSIC,100,NONE,BOTTOM,Zeri,7,1,7,14.0,10,True,3006,1055,0,3085,3032,0,3364,8734,12251,10461,2381,476,4,125,4,129,6,0,5,1,0,15.616666666666667,8000,8300,8008,9111,9103,8017,8345,8347,5011,5008,5005,1,4,72,800,799,143,20,119,555,234,68,26,17,False,0,False,0,0,0,False,0,False,2,False,13,1,0,0,0,1,3,0,0,65,559.1801750715968,937.2068321300001
EUW1_7298806008,Supa,KOI,15.3.654.407,CLASSIC,100,MIDDLE,BOTTOM,Corki,10,4,16,6.5,18,True,3033,3094,3031,3078,3042,3047,3363,21028,53165,38087,11701,818,3,346,42,388,52,2,10,22,2,43.083333333333336,8000,8300,8010,8009,9103,8017,8345,8316,5011,5008,5005,21,4,62,-1,86,800,78,555,-1,200,86,126,46,False,4,False,1,1,0,False,1,True,10,False,42,3,0,2,0,6,13,0,1,72,487.9650827704755,2585.671929688
EUW1_7298755901,Supa,KOI,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Zeri,17,4,11,7.0,16,True,1055,3172,3032,3085,6673,3031,3364,17187,42210,19880,8426,530,11,225,14,239,17,0,4,6,0,26.25,8000,8300,8008,9111,9103,8017,8345,8347,5011,5008,5005,21,4,35,72,800,107,58,77,55,35,40,800,40,False,3,True,1,1,0,False,2,True,10,True,21,0,0,0,0,2,5,0,0,75,654.4633019750917,1575.7510128150002
EUW1_7298349861,Supa,KOI,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Vi,5,1,4,9.0,12,True,0,6610,1037,2021,3047,1028,3513,8225,5685,17601,9988,415,12,13,98,111,7,2,4,0,2,19.583333333333332,8000,8300,8010,9111,9104,8017,8347,8304,5001,5008,5005,11,4,60,-1,72,238,99,81,78,72,24,107,18,False,1,True,1,1,0,False,0,False,4,True,8,0,0,0,0,2,3,0,0,0,419.8277846772014,1175.5231625170002
