Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7299733313,jojopyun,KOI,15.3.654.407,CLASSIC,100,TOP,MIDDLE,Aurora,27,5,13,8.0,18,True,2421,3089,3118,3135,4645,3175,3364,20650,68263,31510,8715,619,19,224,11,235,52,12,11,10,10,34.35,8200,8100,8229,8226,8233,8237,8143,8106,5011,5008,5005,4,12,-1,119,60,19,-1,72,103,76,60,122,55,True,1,True,1,1,1,True,1,True,9,True,34,2,0,0,0,4,14,0,6,88,600.8691870457648,2062.033743408
EUW1_7298826551,jojopyun,KOI,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Rell,3,12,11,1.17,11,False,3190,2055,3869,3067,3111,1029,3364,6840,8330,25000,886,300,50,21,0,21,72,11,37,7,8,24.633333333333333,8400,8300,8439,8446,8473,8451,8347,8306,5011,5010,5007,4,14,58,81,60,-1,72,112,110,799,897,800,17,True,1,True,0,0,0,False,0,False,1,False,36,2,1,0,2,8,18,0,0,11,277.5522468172531,1478.738268606
EUW1_7298798750,jojopyun,KOI,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Corki,4,1,4,8.0,11,True,3078,2031,0,3111,1055,3070,3363,7109,10553,8580,1639,557,0,149,0,149,9,1,6,1,1,15.2,8000,8300,8010,9101,9104,8017,8345,8316,5011,5008,5005,4,12,-1,233,800,81,-1,72,126,81,799,143,22,True,0,False,0,0,0,False,0,False,6,True,4,1,0,0,0,0,10,0,1,88,467.41677429341814,912.6437549120001
EUW1_7298424367,jojopyun,KOI,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Aurora,8,4,7,3.75,16,True,3089,4645,0,3118,3020,1082,3364,13441,25793,17512,4688,361,10,219,6,225,24,3,6,6,3,27.2,8100,8200,8112,8143,8141,8106,8226,8237,5011,5008,5005,4,12,555,76,-1,126,119,800,72,60,84,234,25,True,1,True,0,0,1,True,1,True,7,True,13,0,1,0,0,5,13,0,1,77,494.0456325205961,1632.4256320040001
EUW1_7298371401,jojopyun,KOI,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Sylas,5,0,5,10,13,True,3152,3157,0,3020,1082,1056,3364,9555,15727,13615,2724,0,18,171,0,171,20,7,9,1,6,19.55,8000,8400,8010,8009,9105,8017,8444,8451,5011,5008,5008,4,12,107,72,555,157,143,800,77,555,85,42,21,True,1,False,0,0,0,False,0,False,5,True,9,1,0,0,0,0,7,0,1,85,488.37339392662903,1174.006532333
EUW1_7298193025,jojopyun,KOI,15.3.654.407,CLASSIC,200,JUNGLE,BOTTOM,Varus,3,4,4,1.75,14,False,3142,3042,3170,3134,1055,1028,3363,10153,15423,12528,1729,740,11,214,0,214,28,7,14,1,5,22.866666666666667,8200,8300,8229,8226,8233,8237,8345,8347,5011,5008,5005,4,1,-1,-1,800,72,799,555,119,78,800,246,15,False,1,False,1,1,0,False,0,False,4,True,20,1,0,0,0,3,2,1,1,77,443.86189142518623,1372.477037734
EUW1_7297219477,jojopyun,KOI,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Viktor,5,5,4,1.8,16,False,3157,2503,0,6653,3158,1082,3363,12410,34995,21853,1597,486,26,250,4,254,30,9,20,2,9,30.2,8200,8300,8214,8226,8233,8237,8345,8347,5011,5008,5005,4,12,-1,72,-1,107,60,80,-1,119,72,800,19,True,3,True,0,0,0,False,0,False,3,False,33,2,1,1,2,9,11,0,2,72,410.78552303482047,1812.758815412
EUW1_7296007360,jojopyun,KOI,15.3.654.407,CLASSIC,200,TOP,JUNGLE,Hwei,3,11,20,2.09,15,False,0,4628,3869,6655,3158,3916,3364,11537,26424,30642,3220,447,42,39,4,43,141,20,76,14,20,38.583333333333336,8200,8300,8229,8226,8210,8237,8345,8347,5011,5008,5008,4,7,72,800,117,-1,-1,77,107,7,20,60,32,False,1,True,0,0,2,True,0,False,5,False,46,4,1,0,1,9,21,0,0,9,298.96186574758855,2315.542892758
EUW1_7295942438,jojopyun,KOI,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Ahri,11,2,5,8.0,15,True,3089,3118,0,4628,3171,1082,3364,13449,25710,14175,5129,949,18,220,4,224,27,6,7,5,5,23.6,8100,8200,8112,8139,8141,8106,8226,8237,5011,5008,5005,4,12,72,800,-1,53,893,84,555,107,126,7,30,True,1,True,1,1,0,False,3,True,11,True,10,1,0,0,0,1,22,0,2,101,569.4900163229855,1416.9926098820001
EUW1_7295879964,jojopyun,KOI,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Galio,5,6,16,3.5,14,True,6664,0,0,4633,3047,1082,3364,9273,18746,23732,1505,455,41,137,0,137,28,6,10,6,6,23.15,8200,8400,8230,8226,8210,8237,8444,8451,5011,5008,5008,4,12,72,555,35,-1,800,893,-1,60,26,72,33,False,3,True,0,0,0,False,1,True,7,True,20,0,1,0,0,2,6,0,0,80,400.2897500947913,1389.981071585
