Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300997976,Caliste,Karmine Corp,15.3.654.407,CLASSIC,100,NONE,BOTTOM,Ezreal,6,3,11,5.67,12,True,1055,3042,1037,3078,2021,3158,3363,9795,17739,8185,1464,305,0,145,6,151,11,0,6,3,0,18.216666666666665,8000,8300,8008,8009,9105,8017,8304,8316,5011,5008,5005,4,21,526,72,266,31,42,555,107,72,526,800,32,True,1,True,0,0,0,False,0,False,8,True,15,0,0,0,0,0,9,0,1,69,537.2645352499777,1093.984260545
EUW1_7293347712,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Kaisa,7,7,6,1.86,13,False,1055,1026,3108,6672,3124,3006,3363,10727,16455,20589,3373,404,0,194,4,198,24,2,11,5,2,23.166666666666668,8000,8300,8005,8009,9103,8017,8345,8347,5011,5008,5005,4,1,60,517,62,72,30,78,107,110,72,134,25,True,2,True,1,1,0,False,0,False,3,True,36,0,0,0,1,8,19,0,2,67,462.92814873897066,1390.4307039270002
EUW1_7293291321,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Kaisa,9,1,10,19.0,18,True,3124,3089,3115,3087,1082,3006,3363,16716,33743,23437,8372,780,0,301,27,328,27,1,14,9,1,32.65,8000,8300,8005,8009,9103,8017,8345,8347,5011,5008,5005,4,21,893,60,555,526,254,157,-1,72,200,800,33,False,3,True,0,0,2,True,1,True,8,False,15,2,1,0,0,7,16,0,1,81,511.89175917185474,1959.416158599
EUW1_7293256714,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Ezreal,3,4,0,0.75,14,False,1055,3078,2021,3042,3158,1028,3363,10517,21922,21597,4299,608,0,231,0,231,20,1,10,4,1,26.35,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,21,126,800,200,39,72,893,72,-1,555,-1,5,False,0,False,0,0,0,False,0,False,0,False,34,2,1,1,1,9,8,0,1,70,399.0026816727284,1581.5672897190002
EUW1_7293207938,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Corki,4,3,15,6.33,16,True,1055,3009,0,3078,3094,3042,3363,11957,26895,21502,8348,948,1,230,16,246,18,2,12,3,2,26.983333333333334,8000,8300,8010,8009,9103,8017,8304,8316,5001,5008,5005,4,1,72,517,799,81,234,234,72,420,60,777,33,True,4,True,0,0,0,False,1,True,8,True,28,0,1,0,0,3,12,1,1,74,443.0182139753641,1619.396154731
EUW1_7293125360,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,TOP,TOP,KSante,9,3,9,6.0,17,True,6665,1054,0,3174,2502,6662,3363,13106,26875,38061,10793,992,47,191,4,195,20,4,13,0,4,25.983333333333334,8400,8300,8437,8401,8444,8451,8345,8347,5001,5001,5005,4,12,119,-1,114,72,800,51,555,62,72,107,34,True,1,False,1,1,0,False,2,True,10,True,18,3,0,0,0,2,40,0,5,78,504.2017459995346,1559.630997144
EUW1_7293096214,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,6,4,8,3.5,16,False,3161,3078,6694,3042,1053,3158,3363,14801,39492,24730,5621,780,10,298,4,302,25,1,12,7,1,30.55,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,21,58,35,429,72,112,555,72,107,895,234,26,False,1,False,0,0,0,False,0,False,4,False,33,3,1,1,2,11,11,0,0,81,484.27952962312276,1833.784463355
EUW1_7293077730,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Kalista,4,7,4,1.14,14,False,3124,3153,2055,1055,3302,3006,3363,11176,18372,18952,4257,371,16,219,4,223,29,1,9,7,0,26.766666666666666,8000,8400,8008,9111,9104,8299,8473,8451,5011,5008,5005,4,1,105,234,26,799,254,234,27,119,30,107,16,True,1,True,1,1,1,True,0,False,1,False,37,1,0,0,3,11,12,0,0,65,417.43987054856296,1606.410251658
EUW1_7289736050,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,14,0,10,24,18,True,3042,3161,2421,3078,3072,3171,3363,19560,44890,23463,11971,1902,3,322,20,342,41,5,16,9,5,31.766666666666666,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,21,117,24,72,254,800,-1,800,72,-1,86,33,True,1,False,0,0,1,True,2,True,10,True,17,3,1,0,0,4,9,0,1,82,615.5883598640221,1906.484216899
EUW1_7289538906,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,8,2,14,11.0,18,True,0,3161,6694,3171,3042,3078,3363,17318,46323,27890,12300,955,6,282,44,326,35,4,16,9,4,32.71666666666667,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,21,234,112,800,-1,62,119,777,26,799,893,34,True,3,True,0,0,1,True,2,True,11,True,22,2,1,0,0,3,57,0,0,85,529.1005103822189,1963.9401179170002
EUW1_7289477984,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Ezreal,16,4,8,6.0,15,True,1055,3161,6694,3078,3042,3158,3363,15885,39105,22876,4741,527,8,205,12,217,19,2,11,2,2,24.533333333333335,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,21,800,517,111,107,11,122,800,799,555,-1,32,False,2,True,1,1,0,False,2,True,9,True,23,1,0,0,0,2,46,0,1,65,647.2404776955743,1472.5916422320001
EUW1_7289364692,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Ezreal,6,3,4,3.33,18,True,3161,3072,6694,3042,3158,3078,3363,18890,43125,33162,8290,1033,6,367,64,431,37,3,19,7,3,39.65,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,1,107,77,26,72,60,72,84,799,555,114,24,False,4,True,0,0,1,True,5,True,11,False,24,2,1,1,0,8,154,1,0,92,476.20756509819637,2380.122014948
EUW1_7289308555,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Corki,8,2,7,7.5,17,False,3036,1038,3009,3078,3042,3094,3363,16234,41637,28176,7199,1074,8,295,12,307,38,3,15,4,3,33.61666666666667,8000,8300,8010,8009,9103,8017,8304,8316,5011,5008,5005,4,21,234,72,799,526,166,203,800,61,110,-1,21,False,3,False,0,0,0,False,0,False,4,False,19,1,1,1,1,9,31,0,0,71,482.6750729171182,2018.1119325920001
EUW1_7289257395,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,MissFortune,7,5,5,2.4,16,False,1055,3009,3035,3072,3508,3031,3363,14128,26312,19009,5431,570,15,277,12,289,26,3,14,6,3,29.866666666666667,8000,8200,8005,8009,9103,8017,8233,8236,5011,5008,5005,4,21,77,42,800,254,107,800,110,72,200,-1,33,False,1,False,0,0,0,False,0,False,6,True,33,3,1,1,1,7,34,0,0,81,472.81181744156436,1792.9098090220002
EUW1_7289228908,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Corki,5,7,4,1.29,12,False,1055,1018,3144,3078,3009,3042,3363,9219,13707,19114,2317,460,2,159,8,167,15,1,8,2,1,21.816666666666666,8000,8300,8021,8009,9103,8017,8304,8316,5011,5008,5005,4,12,555,-1,254,107,126,-1,799,60,-1,72,16,True,0,False,0,0,0,False,0,False,3,False,37,2,1,0,0,6,23,0,1,53,422.39297600751513,1309.566149033
EUW1_7289099428,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Corki,7,0,6,13,14,True,3009,1055,1038,3078,3042,3094,3363,12716,24360,17317,5769,0,1,207,8,215,20,1,10,5,1,24.666666666666668,8000,8300,8010,8009,9103,8017,8304,8316,5011,5008,5005,4,21,800,104,35,72,234,72,555,92,60,777,22,False,4,True,0,0,0,False,2,True,10,True,9,0,1,0,0,5,13,0,1,85,515.3398654369022,1480.530306763
EUW1_7289082441,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,100,NONE,BOTTOM,Corki,4,2,4,4.0,10,True,1055,3047,3133,3078,1036,3070,3363,7521,14661,9085,1055,537,0,135,1,136,15,1,7,4,1,16.583333333333332,8000,8300,8010,8009,9103,8017,8304,8316,5011,5008,5005,4,21,112,62,-1,107,234,92,35,234,21,800,12,False,2,True,0,0,0,False,0,False,3,True,7,0,0,0,0,0,4,0,0,67,453.17128771302725,995.902727558
EUW1_7289066284,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,NONE,BOTTOM,Varus,5,1,3,8.0,11,True,3142,3070,1055,3009,3134,1036,3363,7517,9819,5933,1287,496,15,135,0,135,8,0,6,0,0,15.25,8100,8000,9923,8139,8141,8135,8009,8017,5011,5008,5005,4,21,8,800,62,37,72,555,35,42,893,72,18,True,1,False,0,0,0,False,0,False,3,True,5,1,0,0,0,0,45,0,2,73,492.8272826301786,915.20053153
EUW1_7288647030,Caliste,Karmine Corp,15.2.652.1536,CLASSIC,200,MIDDLE,BOTTOM,Ezreal,4,4,2,1.5,15,False,3158,1053,1055,3042,3078,3161,3363,11698,22850,21396,4645,796,3,241,10,251,25,2,12,6,2,26.9,8000,8300,8005,8009,9105,8017,8304,8316,5011,5008,5005,4,21,114,112,30,203,72,800,555,117,107,-1,11,False,1,True,0,0,0,False,0,False,1,False,39,2,1,1,2,10,34,0,1,84,434.5927721894857,1615.11666153
