Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300137767,Canna,Karmine Corp,15.3.654.407,CLASSIC,100,TOP,TOP,Aurora,5,1,2,7.0,14,True,1056,3009,6653,4629,1052,1052,3364,10263,15978,13007,4061,842,7,193,0,193,12,1,6,1,1,22.916666666666668,8100,8200,8112,8139,8137,8106,8226,8237,5011,5008,5005,12,4,72,60,-1,800,517,62,799,117,112,119,21,False,0,False,1,1,0,False,1,True,7,True,12,3,0,0,0,2,7,0,0,86,447.6580712884104,1375.667832418
EUW1_7299771792,Canna,Karmine Corp,15.3.654.407,CLASSIC,100,TOP,TOP,Camille,6,6,3,1.5,16,False,3078,3074,3181,3111,2021,1037,3340,13899,23093,33849,8327,780,18,229,9,238,20,2,10,5,2,29.866666666666667,8400,8300,8437,8401,8444,8451,8304,8345,5011,5008,5005,12,4,60,42,-1,555,-1,-1,7,777,107,72,17,True,0,False,1,1,0,False,1,False,8,True,37,4,0,1,1,6,11,0,1,91,465.2153226183901,1792.667746222
EUW1_7298826358,Canna,Karmine Corp,15.3.654.407,CLASSIC,200,TOP,TOP,Ambessa,2,5,5,1.4,16,False,1037,3071,6692,3111,2021,1028,3340,10512,23585,29360,5654,737,17,232,4,236,21,2,12,2,2,29.266666666666666,8400,8300,8437,8401,8444,8451,8304,8345,5011,5008,5008,12,4,72,60,800,117,42,72,800,555,-1,92,17,True,3,True,0,0,0,False,0,False,1,False,19,1,1,1,2,10,16,0,1,83,359.13433671732423,1756.248827605
EUW1_7297572605,Canna,Karmine Corp,15.3.654.407,CLASSIC,200,TOP,TOP,Vi,2,4,3,1.25,12,False,3078,2422,1029,3071,0,0,3340,7556,12789,18334,830,697,22,161,0,161,15,1,8,4,1,21.416666666666668,8400,8300,8439,8401,8444,8451,8304,8345,5011,5008,5005,12,4,107,119,92,-1,-1,53,10,555,893,72,11,False,0,False,0,0,0,False,0,False,2,True,27,3,1,0,0,3,22,0,0,86,352.6705479516862,1285.546987635
EUW1_7297347284,Canna,Karmine Corp,15.3.654.407,CLASSIC,100,NONE,TOP,Aurora,4,0,1,5,13,True,1056,1082,6653,1058,3145,3020,3340,8400,11188,8039,2297,0,3,176,0,176,10,1,7,0,1,18.4,8400,8000,8437,8446,8473,8451,8009,8017,5011,5008,5005,12,4,154,107,800,62,72,84,72,799,126,119,26,True,0,False,1,1,0,False,0,False,4,True,12,1,0,0,0,1,0,0,2,76,456.3853260672659,1104.3981576370002
EUW1_7297305711,Canna,Karmine Corp,15.3.654.407,CLASSIC,100,TOP,TOP,Sylas,6,7,8,2.0,17,False,3121,2502,3157,4633,0,3158,3340,13365,37563,68689,23094,663,55,206,4,210,28,3,15,4,3,34.166666666666664,8400,8300,8437,8446,8444,8451,8345,8347,5011,5008,5008,12,4,119,799,78,51,-1,-1,234,800,555,12,38,True,2,False,1,1,0,False,1,True,7,True,37,2,0,2,1,5,52,0,3,83,390.9831666240525,2050.997526918
EUW1_7297256529,Canna,Karmine Corp,15.3.654.407,CLASSIC,100,TOP,TOP,Aurora,4,6,2,1.0,13,False,4645,0,0,3118,3020,0,3340,8126,15336,17868,2003,747,9,165,0,165,14,1,8,2,1,22.4,8100,8200,8112,8143,8137,8106,8226,8237,5011,5008,5005,12,4,117,800,-1,555,134,81,119,800,42,72,15,False,0,False,0,0,0,False,0,False,0,False,33,3,1,0,0,6,3,0,1,89,362.5596101782102,1344.7760069140002
EUW1_7297201013,Canna,Karmine Corp,15.3.654.407,CLASSIC,100,TOP,TOP,Sylas,6,3,10,5.33,16,True,2055,3152,2421,1082,4645,3020,3340,10490,24551,29834,8456,868,22,163,3,166,23,3,11,4,2,25.233333333333334,8100,8400,8112,8143,8137,8106,8444,8451,5011,5008,5008,12,4,429,800,40,72,-1,81,-1,24,28,555,36,False,0,False,0,0,0,False,1,True,9,False,19,3,1,0,0,3,10,0,2,65,415.66284644478867,1514.2598571980002
EUW1_7297010951,Canna,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Kaisa,5,9,5,1.11,15,False,1055,3087,3020,3508,4645,4630,3363,12474,24880,21434,2324,284,7,235,0,235,8,2,8,0,1,30.233333333333334,8000,8300,8008,9101,9104,8017,8304,8345,5011,5008,5005,21,4,799,-1,110,143,35,897,119,35,517,555,17,False,0,False,0,0,0,False,0,False,2,True,45,4,1,0,2,8,25,0,1,72,412.3559910722741,1815.0659066090002
EUW1_7296976344,Canna,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,TOP,Jax,2,1,0,2.0,8,True,1054,1036,2031,3057,1028,0,3340,3408,3849,6145,393,491,9,48,0,48,2,0,2,0,0,10.016666666666667,8400,8300,8437,8446,8473,8451,8304,8345,5011,5008,5005,12,4,429,7,-1,131,78,117,166,114,64,12,12,False,0,False,0,0,0,False,0,False,0,False,8,0,0,0,0,0,8,0,0,48,340.17394546535974,601.27342625
EUW1_7296908953,Canna,Karmine Corp,15.3.654.407,CLASSIC,200,TOP,TOP,Jax,5,7,5,1.43,16,False,3153,0,3078,3047,3053,1029,3340,12110,30346,31204,5670,567,27,213,0,213,20,5,13,0,5,28.266666666666666,8000,8300,8008,9101,9104,8017,8304,8345,5011,5008,5005,12,4,-1,7,517,81,72,99,-1,107,77,420,20,False,2,True,1,1,0,False,0,False,1,False,37,2,0,1,0,8,26,0,3,76,428.2283895373782,1696.853085447
EUW1_7294080809,Canna,Karmine Corp,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Kalista,5,3,5,3.33,12,False,1055,3124,3006,3153,1043,0,3363,9507,16748,11319,3696,874,11,195,4,199,12,1,7,2,1,21.45,8000,8400,8008,9111,9104,8014,8473,8451,5011,5008,5005,1,4,27,110,84,80,800,117,69,27,7,110,16,True,2,True,0,0,0,False,0,False,3,False,19,0,1,0,0,4,12,0,1,84,443.0019037071864,1287.695554483
EUW1_7294064329,Canna,Karmine Corp,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Pyke,10,6,11,3.5,14,True,3155,3876,3179,3176,3814,0,3364,10691,13713,23258,6794,353,32,32,0,32,84,8,42,8,8,28.416666666666668,8100,8400,9923,8126,8141,8105,8446,8473,5011,5008,5008,14,4,110,126,10,-1,80,800,-1,54,429,91,44,True,1,False,0,0,0,False,1,True,9,True,23,2,1,0,0,4,11,0,0,17,376.1633294549211,1705.4114834860002
EUW1_7294050280,Canna,Karmine Corp,15.2.652.1536,CLASSIC,100,TOP,TOP,Graves,11,9,5,1.78,17,False,6676,3072,3009,6673,3035,6670,3363,14097,36164,30694,7288,338,17,203,28,231,29,5,12,3,3,28.583333333333332,8400,8000,8437,8446,8473,8451,8009,8017,5011,5008,5005,12,4,7,72,40,-1,112,800,10,-1,126,72,36,True,2,False,1,1,0,False,0,False,6,True,39,2,0,1,2,9,55,0,4,91,493.1178563659002,1715.322852753
EUW1_7293291321,Canna,Karmine Corp,15.2.652.1536,CLASSIC,100,TOP,TOP,Jayce,2,6,5,1.17,15,False,1055,0,3170,2502,3071,3121,3363,12270,28519,33823,5731,453,26,228,0,228,43,8,19,8,8,32.65,8400,8300,8437,8446,8473,8451,8345,8347,5011,5008,5008,12,4,157,-1,72,200,800,893,60,555,526,254,15,True,2,False,1,1,0,False,0,False,7,True,33,3,0,2,1,8,3,0,1,74,375.7514371150373,1959.416158599
