Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300124572,Targamas,Karmine Corp,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Pyke,7,5,17,4.8,14,False,3877,2031,3142,4638,3179,3009,3364,10269,13616,21919,7492,259,32,44,0,44,121,9,46,22,8,30.2,8100,8400,9923,8126,8141,8105,8473,8463,5011,5008,5008,4,14,799,-1,-1,800,60,77,800,42,53,72,40,False,1,True,1,1,0,False,0,False,5,False,37,2,0,1,2,10,13,0,1,15,339.96630773514875,1812.4194912280002
EUW1_7299751510,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Pyke,0,6,4,0.67,8,False,3877,2031,3009,0,3134,3133,3364,4823,4673,12814,2149,513,12,18,0,18,54,8,27,7,8,20.866666666666667,8100,8000,9923,8126,8141,8105,9111,9105,5011,5008,5008,4,14,800,268,432,799,126,420,107,72,119,246,6,False,1,False,0,0,0,False,0,False,1,False,20,1,1,0,0,3,7,0,0,11,231.00864723480652,1252.858437452
EUW1_7299718166,Targamas,Karmine Corp,15.3.654.407,CLASSIC,100,NONE,UTILITY,Alistar,0,1,2,2.0,3,False,3865,1028,1001,0,0,0,3364,1374,916,3009,479,313,9,2,0,2,4,1,3,0,1,5.5,8400,8300,8439,8463,8473,8451,8306,8347,5011,5010,5007,4,14,799,107,246,150,555,72,800,60,254,-1,4,True,0,False,0,0,0,False,0,False,0,False,3,0,0,0,0,0,2,0,0,2,249.54757828542168,330.43259867200004
EUW1_7299671210,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,UTILITY,Senna,2,2,13,7.5,9,True,3877,3009,3071,2055,3144,1018,3364,7006,10842,7579,5267,570,18,20,0,20,32,3,12,5,2,17.833333333333332,8400,8000,8437,8463,8473,8453,8009,8017,5011,5008,5005,4,7,145,72,126,107,799,119,62,-1,897,246,24,True,2,True,0,0,0,False,1,True,9,False,10,0,0,0,0,2,25,0,0,11,392.49940048362214,1071.094266396
EUW1_7299624096,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Poppy,1,4,15,4.0,13,True,3877,3111,3190,2055,3067,1029,3364,6983,12726,14282,1496,610,44,37,2,39,74,9,32,10,7,23.516666666666666,8400,8300,8439,8463,8473,8451,8306,8347,5011,5010,5008,4,14,799,69,246,429,-1,800,76,60,77,429,33,True,2,True,0,0,0,False,1,True,6,True,18,0,1,0,0,3,14,0,1,12,296.8430819990219,1411.5920609260002
EUW1_7298826551,Targamas,Karmine Corp,15.3.654.407,CLASSIC,100,JUNGLE,UTILITY,Braum,3,3,23,8.67,12,True,3869,3047,3190,0,3109,0,3364,8036,8731,20413,5481,865,58,19,0,19,77,7,35,7,7,24.633333333333333,8400,8300,8465,8463,8473,8451,8410,8345,5011,5010,5007,4,7,112,110,799,897,800,58,81,60,-1,72,36,False,2,False,1,1,0,False,2,True,8,True,17,1,0,0,0,1,7,0,1,10,326.0864838201317,1478.738268606
EUW1_7297340661,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Elise,1,5,8,1.8,11,False,3877,3020,4646,1052,1052,2055,3364,6108,14622,17137,1883,894,32,31,0,31,79,7,35,10,6,25.283333333333335,8100,8200,8112,8143,8141,8105,8226,8237,5011,5008,5008,4,14,119,107,72,58,42,72,427,555,126,800,13,False,2,True,0,0,0,False,0,False,2,False,29,1,1,0,1,10,13,0,1,15,241.54897997744027,1517.288228095
EUW1_7297290751,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,JUNGLE,Pantheon,3,11,13,1.45,12,True,3877,3111,3067,2055,3084,3044,3364,8248,13940,31801,1153,340,26,24,0,24,90,12,46,9,10,29.083333333333332,8100,8400,8112,8143,8141,8105,8473,8451,5011,5008,5008,4,14,22,427,799,119,69,42,40,893,110,800,31,True,3,True,0,0,1,True,1,True,7,False,25,1,0,0,0,2,38,0,0,15,283.5790736251377,1745.238252415
EUW1_7297236588,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,JUNGLE,BOTTOM,Ornn,4,3,13,5.67,15,True,1054,3084,3143,2422,2504,2055,3364,10631,18965,47809,7566,814,45,148,0,148,21,5,9,2,4,29.166666666666668,8400,8300,8437,8446,8429,8451,8345,8304,5011,5001,5007,4,12,126,166,-1,-1,799,76,429,119,420,910,40,True,2,True,0,0,0,False,2,True,10,True,28,0,1,0,0,2,7,0,0,62,364.4226538883738,1750.3894329670002
EUW1_7297167933,Targamas,Karmine Corp,15.3.654.407,CLASSIC,100,TOP,JUNGLE,Pantheon,4,6,8,2.0,12,False,3877,3084,3047,2055,3067,3044,3364,8180,16890,26328,832,626,28,33,0,33,80,10,38,7,9,28.233333333333334,8100,8400,8112,8143,8141,8105,8473,8451,5011,5008,5008,4,14,28,114,7,107,799,126,234,-1,72,85,25,True,0,False,1,1,0,False,0,False,6,True,34,2,0,1,1,8,14,0,0,11,289.69264893267393,1694.285722986
EUW1_7296995863,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,UTILITY,Braum,0,2,13,6.5,8,True,3869,2031,3047,2055,3109,1029,3364,4737,4204,8673,1335,242,25,18,0,18,27,3,13,5,2,15.633333333333333,8400,8300,8465,8463,8473,8451,8345,8347,5011,5010,5007,4,14,119,107,799,200,85,107,800,72,30,60,22,False,2,True,0,0,0,False,0,False,2,True,8,0,0,0,0,0,14,0,0,13,302.80371574750893,938.720245932
EUW1_7296210717,Targamas,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Elise,6,7,13,2.71,13,True,3877,4646,3157,2055,3175,0,3364,9615,20625,20434,2430,489,27,33,0,33,113,7,39,19,6,30.083333333333332,8100,8200,8112,8143,8141,8105,8226,8237,5011,5008,5008,4,14,799,887,800,72,126,119,126,107,200,234,38,True,4,True,0,0,1,True,4,True,11,True,28,0,1,0,0,4,15,0,0,10,319.5646893553969,1805.4558611280002
