Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300745149,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Azir,7,1,4,11.0,14,True,1056,3115,3111,6653,0,0,3363,10898,16403,10885,1586,517,11,179,11,190,20,3,9,3,3,18.666666666666668,8000,8300,8008,8009,9104,8017,8304,8345,5011,5008,5005,4,12,799,119,555,-1,59,28,893,126,200,110,23,False,2,True,0,0,0,False,0,False,4,True,16,0,0,0,0,1,1,0,4,86,583.2826752131374,1121.09637666
EUW1_7299862009,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Taliyah,12,4,16,7.0,17,True,6653,3040,3089,3135,3171,0,3363,15549,39103,21538,2018,1002,48,230,24,254,31,5,17,2,5,31.416666666666668,8200,8000,8230,8226,8210,8237,8017,9105,5011,5008,5005,4,12,-1,72,800,119,799,68,60,131,799,800,43,False,3,False,0,0,1,True,1,True,11,True,30,1,1,0,0,3,10,0,0,91,494.8919306002505,1885.212364621
EUW1_7299814680,Vladi,Karmine Corp,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Azir,5,6,10,2.5,17,True,3089,3115,6653,3111,4633,1052,3363,15341,28035,22334,2271,726,12,261,20,281,16,2,10,6,1,29.366666666666667,8000,8200,8008,8009,9104,8017,8237,8226,5011,5008,5005,4,12,72,-1,800,60,-1,555,897,131,-1,800,38,False,1,False,1,1,1,True,2,True,11,True,18,3,0,0,0,1,20,0,1,62,522.2914463710532,1762.43911593
EUW1_7299747263,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Viktor,10,7,8,2.57,17,True,2503,6653,3157,3089,3009,4630,3363,16098,37885,24105,3068,427,33,261,0,261,27,2,12,5,2,30.25,8200,8000,8214,8226,8210,8237,9105,8017,5011,5008,5005,4,12,62,72,69,26,800,897,893,-1,166,800,35,True,1,False,1,1,1,True,4,True,11,True,23,1,0,0,0,3,54,0,2,72,532.1014386331073,1815.292894939
EUW1_7299718166,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,TOP,Tristana,2,1,0,2.0,5,True,1055,1038,0,0,0,0,3340,2319,1983,1800,182,269,0,38,0,38,1,0,0,1,0,5.5,8000,8200,8008,9111,9104,8014,8233,8236,5011,5008,5005,4,12,72,800,60,254,-1,799,107,246,150,555,3,False,0,False,0,0,0,False,0,False,0,False,4,0,0,0,0,0,5,0,0,38,421.1258559135967,330.43259867200004
EUW1_7299671210,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Azir,2,1,8,10.0,12,True,1026,3041,3115,1052,3020,1011,3363,8647,13555,11152,1525,1041,6,159,8,167,8,2,7,1,2,17.833333333333332,8200,8000,8214,8226,8233,8237,8017,9104,5011,5008,5005,4,12,145,72,126,107,799,119,62,-1,897,246,24,True,2,True,0,0,0,False,1,True,9,False,10,0,0,0,0,2,22,0,0,75,484.41623253626983,1071.094266396
EUW1_7299605280,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Mel,1,4,2,0.75,11,False,1056,2503,3158,3147,1052,2055,3363,6466,10831,10076,447,623,24,146,0,146,15,4,9,1,3,18.25,8200,8400,8229,8226,8210,8237,8473,8451,5011,5008,5005,4,12,122,799,200,107,-1,143,166,420,517,72,9,True,0,False,0,0,0,False,0,False,0,False,26,2,0,0,0,4,6,0,0,85,354.0884664650834,1095.8134452030001
EUW1_7298577803,Vladi,Karmine Corp,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Sylas,5,8,17,2.75,14,True,3877,3020,3152,4646,1052,2055,3364,10326,21179,28321,6911,447,29,40,1,41,67,5,30,8,4,26.65,8100,8300,8112,8143,8141,8135,8345,8347,5001,5008,5008,4,14,119,42,122,799,-1,-1,62,555,-1,84,36,False,1,False,1,1,1,True,3,True,11,False,20,1,0,0,0,2,12,0,0,18,387.274501753335,1599.79821001
EUW1_7298537749,Vladi,Karmine Corp,15.3.654.407,CLASSIC,100,MIDDLE,JUNGLE,Elise,6,5,16,4.4,11,True,3877,3175,4646,3152,2055,0,3364,8519,21289,16314,2154,671,36,16,0,16,61,6,21,6,5,22.466666666666665,8100,8200,8112,8143,8140,8105,8275,8232,5001,5008,5005,4,14,84,143,119,150,-1,-1,555,234,22,-1,41,False,1,False,1,1,0,False,1,True,9,True,24,2,0,0,0,0,10,0,0,6,378.9547177348744,1348.904568481
EUW1_7298463747,Vladi,Karmine Corp,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,9,5,14,4.6,16,True,1056,3157,3040,3020,3089,0,3363,14015,29695,18271,1363,527,55,199,10,209,26,6,15,4,5,28.366666666666667,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,4,12,119,112,-1,85,117,119,68,64,107,800,37,True,3,False,1,1,1,True,1,True,9,True,17,1,0,0,0,3,19,0,2,79,493.8857323798538,1702.6360970770002
EUW1_7298374435,Vladi,Karmine Corp,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Varus,11,5,16,5.4,18,False,6694,3142,3814,3042,3170,6695,3363,18051,43195,29699,6150,788,44,261,16,277,52,4,18,8,3,38.233333333333334,8200,8300,8229,8226,8233,8237,8345,8347,5011,5008,5005,4,21,101,119,111,-1,799,-1,60,122,246,81,45,True,1,False,1,1,1,True,1,True,8,True,32,4,0,1,2,9,12,0,2,61,471.97771491015374,2294.756285964
EUW1_7298270766,Vladi,Karmine Corp,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Jayce,18,7,13,4.43,17,True,3814,3042,3174,3161,6694,1038,3364,16803,46116,26516,2773,313,26,208,8,216,26,3,7,4,3,27.3,8400,8300,8437,8446,8473,8451,8345,8304,5011,5008,5008,4,12,117,107,143,-1,800,72,81,-1,429,800,47,True,2,False,1,1,0,False,1,True,11,True,29,1,0,0,0,3,60,0,2,78,615.35807292458,1638.3976343170002
