Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300932889,Adam,Rogue,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Ahri,4,10,6,1.0,15,False,4645,3118,3158,4628,2055,0,3363,11106,15594,24576,3284,356,20,219,0,219,8,1,8,0,0,27.05,8100,8200,8112,8139,8140,8106,8226,8210,5011,5008,5005,4,12,427,81,234,164,166,110,526,893,143,72,26,True,1,True,0,0,0,False,0,False,3,False,33,3,1,1,3,11,23,0,1,72,410.5490420597658,1623.171831754
EUW1_7300472336,Adam,Rogue,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Azir,4,2,5,4.5,16,True,3089,3020,3115,1082,4645,1052,3363,12196,22088,16264,2700,1170,7,224,4,228,16,0,7,3,0,25.75,8200,8400,8214,8226,8210,8237,8473,8451,5011,5008,5005,4,12,126,72,166,119,800,897,58,84,42,429,23,True,3,True,1,1,0,False,3,True,11,True,14,0,0,0,0,1,24,0,2,85,473.48649760121174,1545.552793192
EUW1_7299880576,Adam,Rogue,15.3.654.407,CLASSIC,200,BOTTOM,TOP,Smolder,5,13,10,1.15,17,False,3508,3009,3031,3094,6670,3035,3340,13678,31711,34575,6519,543,12,234,20,254,16,0,8,2,0,33.1,8000,8200,8021,8009,9103,8017,8210,8226,5011,5008,5005,4,12,166,91,107,800,119,69,42,119,800,799,33,True,1,False,0,0,0,False,0,False,3,False,51,2,0,1,2,11,30,0,2,79,413.11676037282194,1986.6103483900001
EUW1_7299683705,Adam,Rogue,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Orianna,7,6,8,2.5,17,False,6655,3020,4645,3089,4646,0,3340,14204,25542,21259,1410,741,20,259,0,259,22,0,12,2,0,33.15,8200,8300,8229,8226,8210,8237,8345,8347,5011,5008,5005,4,12,119,555,20,166,164,238,10,117,85,7,24,True,2,False,0,0,0,False,0,False,5,False,33,3,1,1,1,10,27,0,1,77,428.2520649792845,1990.0614144090002
EUW1_7299612617,Adam,Rogue,15.3.654.407,CLASSIC,200,TOP,TOP,Aurora,13,6,7,3.33,18,True,4646,6653,3020,3135,3089,4645,3340,20233,78410,38068,10618,760,15,290,7,297,29,1,13,1,1,36.233333333333334,8100,8000,8112,8143,8141,8106,9105,8014,5011,5008,5005,4,12,62,119,35,-1,166,166,117,238,266,143,39,True,1,True,0,0,2,True,4,True,13,True,37,4,1,0,0,2,36,0,3,95,558.2705297404315,2174.6087179310002
EUW1_7299212920,Adam,Rogue,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Mel,7,4,4,2.75,13,True,1056,6655,4645,3020,1058,0,3340,9891,16354,11220,386,311,29,138,0,138,8,0,5,0,0,18.816666666666666,8200,8300,8214,8226,8210,8237,8345,8347,5011,5008,5005,4,12,254,166,62,72,107,42,72,555,3,799,28,True,0,False,0,0,0,False,0,False,6,True,15,2,0,0,0,0,7,0,3,75,525.2038964949074,1130.060667078
EUW1_7298657014,Adam,Rogue,15.3.654.407,CLASSIC,200,TOP,TOP,Smolder,3,7,8,1.57,17,True,0,3031,3009,1055,3094,3508,3340,12700,34151,25416,10065,439,7,219,5,224,10,0,7,0,0,27.216666666666665,8000,8200,8021,8009,9103,8017,8233,8236,5011,5008,5005,4,12,24,119,201,154,246,157,78,800,30,126,39,True,4,True,1,1,1,True,1,True,10,True,21,0,0,0,0,2,8,0,2,87,466.5621555877509,1633.3437207900001
EUW1_7298646883,Adam,Rogue,15.3.654.407,CLASSIC,200,NONE,MIDDLE,Azir,2,4,1,0.75,11,False,1056,6653,2031,1001,3108,1043,3340,5867,7629,10377,284,411,4,119,0,119,4,0,3,0,0,15.283333333333333,8400,8000,8437,8446,8444,8451,9105,8009,5011,5008,5005,4,12,154,887,555,166,119,800,64,7,254,555,5,False,0,False,0,0,0,False,0,False,0,False,21,0,0,0,0,3,6,0,2,82,383.76976796366114,917.2893217310001
EUW1_7297420479,Adam,Rogue,15.3.654.407,CLASSIC,200,TOP,TOP,Jayce,6,8,4,1.25,16,False,3142,3042,6694,3134,1036,3009,3340,11954,19309,27647,2639,283,12,232,4,236,15,0,9,1,0,27.116666666666667,8400,8300,8437,8446,8473,8451,8316,8345,5011,5008,5008,4,12,800,166,420,72,84,42,35,7,72,800,24,False,0,False,0,0,0,False,0,False,2,False,41,4,1,0,2,10,24,0,3,75,440.6918799755639,1627.620638843
EUW1_7297391350,Adam,Rogue,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Orianna,1,8,5,0.75,15,False,3089,3040,3020,1082,3145,0,3340,10318,27186,22777,2150,436,43,239,0,239,14,0,7,2,0,28.066666666666666,8200,8000,8229,8226,8210,8237,8017,9105,5001,5008,5005,4,12,126,157,166,117,111,800,60,62,59,38,12,False,3,True,1,1,0,False,0,False,4,True,36,1,0,1,1,7,17,0,0,92,367.522748882305,1684.5015938000001
