Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7293223683,Larssen,Rogue,15.2.652.1536,CLASSIC,100,MIDDLE,MIDDLE,Yone,8,3,16,8.0,18,True,3153,3036,6673,3006,3031,0,3363,17631,52392,40883,18826,943,55,294,33,327,18,0,12,4,0,33.93333333333333,8000,8400,8021,9101,9104,8014,8444,8451,5011,5008,5005,4,12,42,799,157,800,555,84,60,7,234,134,37,False,3,False,0,0,1,True,3,True,11,False,32,2,1,0,0,5,39,0,2,72,519.4103079219516,2036.7685770090002
EUW1_7293097869,Larssen,Rogue,15.2.652.1536,CLASSIC,200,MIDDLE,MIDDLE,Aurora,21,5,18,7.8,18,True,3089,3175,3135,3118,1082,3165,3364,16432,62404,23478,6301,842,20,191,4,195,17,2,5,1,1,28.533333333333335,8100,8300,8112,8143,8137,8106,8304,8345,5011,5008,5005,4,12,157,84,42,110,800,7,555,24,42,200,43,False,2,True,1,1,0,False,1,True,10,True,20,1,0,0,0,3,9,0,6,82,575.6522166082486,1712.7813943970002
EUW1_7291903742,Larssen,Rogue,15.2.652.1536,CLASSIC,100,MIDDLE,MIDDLE,Yone,18,5,4,4.4,17,True,1054,3153,6673,3172,3031,0,3364,15005,33890,33340,11758,500,29,215,22,237,12,1,7,0,1,25.833333333333332,8000,8400,8021,9101,9104,8014,8444,8451,5011,5008,5005,4,12,60,24,157,21,555,103,42,72,21,92,34,False,3,False,1,1,0,False,1,True,7,True,31,1,0,0,0,2,89,0,3,83,580.5864426058821,1550.7346395680001
EUW1_7291857238,Larssen,Rogue,15.2.652.1536,CLASSIC,100,MIDDLE,MIDDLE,Yone,2,4,1,0.75,14,False,1054,3006,2031,3153,6673,1018,3340,8950,19691,22344,6378,508,16,220,4,224,14,0,8,1,0,24.383333333333333,8000,8400,8021,9101,9104,8014,8444,8451,5011,5008,5005,4,12,157,119,166,75,555,112,799,72,60,800,9,False,0,False,0,0,0,False,0,False,1,False,22,3,1,0,0,3,28,0,1,85,366.7956934268561,1464.106633301
EUW1_7291790799,Larssen,Rogue,15.2.652.1536,CLASSIC,200,MIDDLE,MIDDLE,Akali,9,5,5,2.8,18,False,3089,3152,3175,3135,4645,3116,3364,18377,29332,40506,2923,1188,2,328,8,336,27,3,7,5,3,37.81666666666667,8000,8400,8010,8009,9104,8014,8444,8451,5011,5008,5008,4,12,72,42,157,555,126,72,7,111,201,126,24,False,3,True,1,1,0,False,1,False,7,True,29,1,0,2,2,7,12,0,3,82,485.861184738335,2269.5168720750003
EUW1_7290626495,Larssen,Rogue,15.2.652.1536,CLASSIC,100,TOP,MIDDLE,Sylas,8,11,13,1.91,18,True,4629,3152,3157,3111,1026,1058,3364,13881,32527,64355,15451,550,36,214,4,218,17,0,3,5,0,35.833333333333336,8000,8400,8010,8009,9105,8017,8444,8451,5011,5008,5008,4,12,107,42,69,800,157,800,234,117,526,78,48,False,4,True,1,1,2,True,3,True,9,False,33,1,0,0,0,3,104,0,3,74,387.31633248677537,2150.360912994
EUW1_7290592580,Larssen,Rogue,15.2.652.1536,CLASSIC,200,NONE,MIDDLE,Yone,1,7,3,0.57,11,False,1054,2031,3153,1018,3006,1036,3363,6450,13126,21696,2666,469,10,144,0,144,7,0,6,0,0,19.966666666666665,8000,8400,8021,9101,9104,8017,8444,8451,5011,5008,5005,4,12,157,72,119,800,42,112,134,117,126,800,9,False,1,True,0,0,0,False,0,False,0,False,24,2,0,0,1,6,34,0,0,89,322.7792995861535,1199.0507756460001
EUW1_7290531807,Larssen,Rogue,15.2.652.1536,CLASSIC,200,TOP,MIDDLE,Jayce,8,5,2,2.0,17,False,3042,3161,3047,3814,1036,6694,3363,14084,22088,25037,2126,561,11,246,20,266,10,1,9,0,1,25.783333333333335,8200,8300,8230,8226,8233,8236,8304,8345,5011,5008,5008,4,12,119,164,555,62,157,30,72,38,350,53,18,True,3,True,0,0,0,False,1,True,5,True,37,1,1,0,1,10,19,0,6,94,545.9699127463722,1547.7831784250002
EUW1_7290452575,Larssen,Rogue,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,3,3,7,3.33,13,True,1055,3078,3042,3174,0,0,3363,10610,21232,12908,3234,673,0,209,4,213,19,2,9,0,2,21.833333333333332,8000,8300,8010,8009,9104,8017,8304,8345,5011,5008,5005,4,12,555,72,799,119,157,56,72,24,112,555,34,True,2,True,1,1,0,False,1,True,9,True,12,0,0,0,0,1,107,0,0,87,485.90870165993505,1310.1970600010002
EUW1_7289120473,Larssen,Rogue,15.2.652.1536,CLASSIC,100,NONE,MIDDLE,Yone,4,1,8,12.0,13,True,3006,6673,2055,3153,0,0,3364,9528,12835,12852,3967,684,15,174,9,183,18,3,7,1,2,18.316666666666666,8000,8400,8021,9101,9104,8017,8444,8451,5011,5008,5005,4,12,42,157,72,62,122,114,-1,800,107,39,34,False,2,True,1,1,0,False,0,False,7,True,14,0,0,0,0,0,11,0,1,81,519.9002871671065,1099.633900154
