Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300906293,Malrang,Rogue,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,7,7,13,2.86,17,True,6610,2021,2055,3047,6333,3071,3340,14326,31097,52512,25149,667,35,13,193,206,41,9,21,1,8,33.55,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5008,11,4,27,157,876,72,122,-1,122,429,897,432,41,True,1,False,1,1,0,False,2,True,11,True,38,3,0,1,0,3,13,0,0,2,426.9668597939536,2013.301656134
EUW1_7300834412,Malrang,Rogue,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Nidalee,4,2,12,8.0,16,True,6653,3157,1058,3171,3916,3057,3363,12150,14759,31941,29746,949,9,23,171,194,19,1,9,3,1,28.133333333333333,8000,8200,8010,9111,9105,8017,8210,8232,5001,5008,5005,11,4,876,62,72,90,800,26,119,122,234,72,28,True,2,False,0,0,1,True,2,True,11,True,16,2,1,0,0,4,42,0,0,5,431.7068742864194,1688.7815255550001
EUW1_7300441905,Malrang,Rogue,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Zac,5,4,11,4.0,15,False,3068,3065,2055,3158,3075,1011,3364,10890,19606,44610,55099,1218,57,21,165,186,29,7,9,6,6,27.783333333333335,8400,8300,8439,8463,8429,8453,8304,8347,5001,5001,5007,11,4,62,42,800,876,58,7,26,222,72,86,27,False,1,False,1,1,0,False,0,False,6,True,34,3,0,1,2,9,24,0,0,4,391.7618152746914,1667.9530444840002
EUW1_7299645336,Malrang,Rogue,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,XinZhao,4,9,7,1.22,16,True,6610,3111,3071,1028,1037,1028,3364,11048,16946,53468,28660,446,29,7,154,161,32,1,8,4,1,33.516666666666666,8000,8300,8010,9111,9104,8017,8304,8347,5011,5008,5005,11,4,117,107,72,-1,64,81,201,799,517,893,23,False,4,True,0,0,0,False,1,False,8,False,40,1,1,1,2,8,27,0,0,1,329.61290397833835,2011.144620702
EUW1_7298998793,Malrang,Rogue,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,6,9,8,1.56,13,False,3158,3078,3044,3053,2022,0,3340,9375,17989,33497,9949,387,28,13,111,124,19,0,9,2,0,24.733333333333334,8000,8300,8010,9111,9104,8017,8304,8347,5011,5008,5005,11,4,81,8,117,39,60,28,800,81,-1,72,25,False,0,False,0,0,0,False,0,False,1,False,41,4,1,0,2,10,13,0,1,2,378.7967391065759,1485.000687428
EUW1_7297958340,Malrang,Rogue,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Sylas,8,6,11,3.17,17,False,4633,3157,0,3020,6653,3102,3364,14600,42303,52850,23154,540,40,35,167,202,44,5,9,10,5,36.93333333333333,8100,8300,8128,8143,8140,8135,8347,8345,5011,5008,5008,11,4,126,72,429,112,68,203,56,7,99,72,36,False,4,True,0,0,0,False,1,True,7,True,40,2,1,2,1,10,16,0,1,1,395.27924672135003,2216.168585841
EUW1_7297731289,Malrang,Rogue,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Corki,6,9,8,1.56,17,False,3042,3078,3036,3009,1038,1037,3363,14132,37530,32305,3502,611,3,245,4,249,20,0,11,1,0,34.583333333333336,8000,8300,8010,8009,9103,8017,8304,8347,5001,5008,5005,12,4,150,800,901,117,72,107,429,799,72,68,25,False,0,False,1,1,0,False,0,False,3,True,46,4,0,2,2,11,80,0,1,67,408.54263157486355,2075.578792368
EUW1_7297264009,Malrang,Rogue,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Elise,6,8,7,1.62,12,True,6653,3157,0,3020,0,0,3513,8754,13395,20778,6682,207,23,10,92,102,28,1,2,4,1,22.516666666666666,8100,8200,8128,8143,8140,8135,8233,8232,5011,5008,5005,11,4,799,126,8,40,107,7,119,800,78,62,30,False,1,True,1,1,0,False,0,False,3,True,24,0,0,0,0,0,41,0,0,7,388.6974851133099,1351.3209596420002
EUW1_7297208094,Malrang,Rogue,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Graves,4,5,3,1.4,12,False,6697,6676,0,1001,3035,0,3363,8447,18049,17473,5701,447,22,19,124,143,14,1,8,0,1,23.45,8100,8000,8128,8143,8140,8135,9104,8017,5011,5008,5005,11,4,799,119,107,126,42,40,107,72,799,555,9,False,1,True,0,0,0,False,0,False,3,False,26,2,1,0,2,10,8,0,1,3,359.99801975555977,1407.8780242330001
EUW1_7295551162,Malrang,Rogue,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,JarvanIV,1,8,12,1.62,13,False,6692,3071,0,3111,3067,0,3364,8589,20651,28597,8471,393,40,15,128,143,31,4,8,4,4,26.066666666666666,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,11,4,555,99,42,72,799,-1,72,110,897,101,20,True,0,False,1,1,0,False,0,False,3,False,34,3,0,0,0,4,20,0,0,2,329.28528292257374,1565.08961466
