Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7297652458,Patrik,Rogue,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Draven,5,8,3,1.0,13,False,1055,3031,3072,3035,1018,1001,3363,10594,20681,21300,3380,629,7,207,8,215,10,0,5,2,0,25.366666666666667,8000,8200,8008,8009,9104,8017,8233,8236,5011,5008,5005,4,21,107,35,800,92,-1,126,234,60,72,800,11,False,2,True,0,0,0,False,0,False,3,False,29,1,1,0,1,6,33,0,2,84,417.3854827174645,1523.0350855430002
EUW1_7296481306,Patrik,Rogue,15.3.654.407,CLASSIC,100,NONE,TOP,Ryze,3,4,1,1.0,13,False,1056,2031,3009,3040,8010,0,3363,8003,10949,14020,628,579,26,175,0,175,10,1,7,0,1,19.433333333333334,8200,8000,8230,8226,8234,8237,9105,8017,5001,5008,5005,4,12,72,555,800,112,114,72,126,117,77,800,9,True,1,False,1,1,0,False,0,False,1,False,16,2,0,0,0,3,31,0,1,91,411.4715749169659,1167.0304646880002
EUW1_7295298521,Patrik,Rogue,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Jhin,1,11,5,0.55,11,False,3009,2031,6676,1037,1055,0,3363,6766,9456,18040,777,163,8,136,0,136,5,1,4,0,0,20.05,8100,8000,8112,8139,8140,8106,8017,8009,5001,5008,5008,4,1,800,72,26,62,117,42,800,72,28,126,13,True,1,True,0,0,0,False,0,False,1,False,26,2,1,0,1,8,96,1,1,59,337.427803252113,1203.116220325
EUW1_7295263824,Patrik,Rogue,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Nilah,4,8,7,1.38,13,False,1055,6673,6676,3047,1037,1018,3363,10142,20678,26005,6332,284,8,172,0,172,5,0,3,1,0,24.766666666666666,8000,8300,8010,9111,9103,8017,8313,8316,5001,5008,5005,4,6,555,72,799,800,893,119,62,893,72,555,23,False,2,True,1,1,0,False,0,False,4,False,29,1,0,0,1,8,40,0,0,60,409.39963775576746,1486.5029983870002
EUW1_7294276798,Patrik,Rogue,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Smolder,5,6,8,2.17,15,False,1055,3031,3009,3035,3094,3508,3363,12433,39225,21859,3898,696,14,263,4,267,15,2,11,2,2,30.8,8200,8300,8229,8226,8233,8237,8345,8304,5011,5008,5008,4,21,-1,800,897,166,72,54,77,119,-1,107,21,False,3,True,0,0,0,False,0,False,4,False,36,1,1,1,3,11,22,0,0,82,403.4553177308917,1849.116823694
EUW1_7294254554,Patrik,Rogue,15.2.652.1536,CLASSIC,200,TOP,TOP,Jayce,2,11,9,1.0,15,False,1055,3161,3047,3042,3044,3067,3364,10111,17714,38485,3448,269,22,190,0,190,27,2,6,2,1,27.966666666666665,8400,8300,8437,8446,8444,8451,8316,8345,5011,5008,5008,4,12,555,72,166,114,-1,897,72,68,60,30,24,False,1,True,0,0,0,False,0,False,2,False,34,2,1,1,1,10,27,0,1,71,361.4894839076762,1678.308190768
EUW1_7294224354,Patrik,Rogue,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Alistar,1,9,12,1.44,11,False,3009,3002,3190,3869,0,0,3364,7180,8230,28667,5069,409,62,18,0,18,85,6,43,7,6,28.983333333333334,8200,8300,8230,8275,8234,8232,8347,8306,5001,5001,5007,4,14,72,30,799,119,-1,166,22,107,897,72,20,True,1,False,0,0,0,False,0,False,3,False,33,3,1,1,1,10,15,0,0,6,247.68411764978805,1739.336535762
EUW1_7293175063,Patrik,Rogue,15.2.652.1536,CLASSIC,200,JUNGLE,JUNGLE,Sejuani,3,4,9,3.0,13,False,2502,3084,2055,3111,0,0,3364,8139,9804,38446,13421,1070,27,16,106,122,22,4,4,1,3,24.966666666666665,8400,8000,8439,8463,8429,8451,9104,9111,5001,5001,5005,4,11,53,126,11,555,800,86,777,800,517,72,17,False,0,False,0,0,0,False,0,False,3,False,30,3,1,0,3,11,24,0,0,4,325.78725041933615,1499.0571017670002
EUW1_7293042110,Patrik,Rogue,15.2.652.1536,CLASSIC,100,JUNGLE,JUNGLE,Maokai,4,0,11,15,16,True,2502,6653,3111,0,3107,0,3364,10852,18443,33224,26657,0,56,5,195,200,28,5,7,2,5,27.15,8200,8000,8230,8275,8210,8232,9105,8017,5011,5008,5007,4,11,58,53,74,800,893,103,72,42,107,90,27,False,2,True,1,1,1,True,1,True,7,False,22,1,0,0,0,2,21,0,0,3,399.6489217397813,1629.352389959
EUW1_7291893633,Patrik,Rogue,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Varus,13,6,3,2.67,15,False,3009,6695,6694,3042,3142,3134,3363,14319,43829,18909,1559,479,37,218,3,221,14,1,10,2,1,29.216666666666665,8200,8300,8229,8226,8233,8237,8313,8316,5011,5008,5005,4,1,893,800,24,72,126,800,107,35,119,526,24,True,2,True,1,1,0,False,0,False,6,False,36,2,0,1,1,9,34,0,1,65,489.87554199956435,1753.894660977
EUW1_7291719884,Patrik,Rogue,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Varus,14,7,14,4.0,16,True,6694,3042,3009,0,3142,3814,3363,15232,47200,23365,2891,644,44,193,4,197,26,4,13,5,4,32.43333333333333,8200,8300,8229,8226,8233,8237,8313,8316,5011,5008,5005,4,21,91,800,77,76,166,72,157,-1,555,800,47,False,4,True,1,1,1,True,2,True,9,False,28,1,0,0,0,5,10,0,2,64,469.4711891668366,1946.7624591420001
EUW1_7291681071,Patrik,Rogue,15.2.652.1536,CLASSIC,200,TOP,TOP,Ashe,9,4,9,4.5,17,True,3031,3006,3087,3072,3033,1018,3363,15534,33555,17811,5992,644,56,245,21,266,33,0,6,12,0,32.983333333333334,8000,8300,8008,8009,9104,8017,8410,8345,5011,5008,5005,4,1,117,72,60,23,800,107,555,72,77,799,33,True,5,True,1,1,1,True,1,True,9,True,27,0,0,0,0,3,47,1,1,71,470.92513273218594,1979.1809151250002
EUW1_7291202521,Patrik,Rogue,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Draven,3,8,6,1.12,15,False,1055,3072,3036,3031,1001,0,3363,11660,20472,25566,7052,486,14,227,10,237,26,0,9,5,0,30.3,8000,8200,8008,8009,9104,8299,8233,8236,5011,5008,5005,4,1,80,92,166,-1,555,799,110,777,54,555,19,False,1,False,0,0,0,False,0,False,3,True,36,3,1,1,2,9,41,0,1,59,384.7767434296729,1818.3044114460001
EUW1_7291138448,Patrik,Rogue,15.2.652.1536,CLASSIC,100,TOP,BOTTOM,Draven,11,4,6,4.25,16,True,3086,3072,3174,3031,3033,0,3363,16268,21464,16907,7326,440,6,225,14,239,19,0,5,6,0,25.983333333333334,8000,8200,8008,8009,9104,8017,8233,8236,5011,5008,5005,4,1,72,54,800,112,35,26,234,72,800,117,28,False,1,False,1,1,0,False,0,False,4,True,24,2,0,0,0,5,84,0,1,95,625.7029098848917,1560.0629973270002
EUW1_7290645869,Patrik,Rogue,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Ezreal,10,12,8,1.5,16,False,3072,6694,3078,3042,1036,3158,3363,14958,40587,41721,8711,470,8,241,0,241,32,2,11,6,2,33.81666666666667,8000,8300,8010,8009,9103,8017,8304,8316,5001,5008,5005,4,12,800,72,54,42,35,119,200,555,893,69,25,False,1,True,0,0,0,False,0,False,4,False,47,3,1,1,1,7,32,0,1,57,442.1990481097531,2029.7159851410001
EUW1_7290580289,Patrik,Rogue,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Nautilus,2,8,18,2.5,14,True,3111,2502,0,3869,3190,0,3364,8557,11539,23898,1582,335,68,21,0,21,94,9,42,10,8,30.666666666666668,8400,8300,8439,8401,8473,8451,8347,8306,5001,5001,5007,4,14,107,429,800,72,420,800,72,166,91,107,34,False,2,False,0,0,0,False,2,True,10,False,27,1,1,1,0,4,162,0,1,7,278.96362351525755,1840.5820900540002
EUW1_7290540435,Patrik,Rogue,15.2.652.1536,CLASSIC,100,NONE,BOTTOM,Varus,4,3,3,2.33,10,True,1055,2031,3009,3134,3142,3070,3363,6771,9886,9324,972,451,17,120,0,120,10,0,6,0,0,16.133333333333333,8200,8300,8229,8226,8210,8237,8345,8347,5011,5008,5005,4,21,800,126,134,81,234,119,555,72,126,26,20,True,1,False,0,0,0,False,0,False,3,True,10,1,0,0,0,0,10,0,1,64,419.45518803961727,968.559191348
EUW1_7289094140,Patrik,Rogue,15.2.652.1536,CLASSIC,200,NONE,BOTTOM,Varus,5,2,4,4.5,12,True,1055,3004,0,0,3142,3009,3363,8785,16324,9170,1237,533,18,184,4,188,11,1,8,1,1,19.383333333333333,8200,8300,8229,8226,8233,8237,8313,8316,5011,5008,5005,4,1,30,800,555,42,-1,62,112,72,800,42,14,False,2,True,0,0,0,False,0,False,3,True,6,0,0,0,0,0,7,0,0,76,453.073304146518,1163.491619045
