Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300910766,Isma,SK Gaming,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,XinZhao,2,5,10,2.4,13,True,3071,3111,1028,0,0,6610,3364,9073,16025,41175,24032,405,23,15,137,152,32,4,6,5,4,24.516666666666666,8000,8300,8010,9111,9104,8017,8304,8347,5011,5008,5005,4,11,24,234,893,800,72,555,800,119,126,85,22,False,1,False,0,0,0,False,1,True,9,True,16,2,1,0,0,2,17,0,0,1,369.93324571936694,1471.7184896360002
EUW1_7300834412,Isma,SK Gaming,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Diana,1,6,3,0.67,15,False,2055,3152,2421,4645,3020,1082,3364,9621,11642,29576,11416,652,10,19,182,201,18,3,5,2,2,28.133333333333333,8000,8300,8010,9111,9104,8017,8304,8347,5011,5008,5005,4,11,26,119,122,234,72,876,62,72,90,800,16,False,2,True,1,1,0,False,0,False,4,False,28,2,0,1,2,11,10,0,0,3,341.8437641920714,1688.7815255550001
EUW1_7299980369,Isma,SK Gaming,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Elise,17,4,11,7.0,16,True,3157,3152,1082,3020,4646,4645,3364,16277,30751,33617,13671,576,28,31,144,175,27,2,5,5,2,29.95,8100,8200,8112,8143,8137,8135,8233,8232,5011,5008,5005,4,11,84,234,254,24,126,84,5,54,35,555,40,False,0,False,1,1,0,False,1,True,10,True,32,3,0,0,0,5,33,0,5,3,543.1560316319982,1798.0474046000002
EUW1_7299970303,Isma,SK Gaming,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Pantheon,5,3,3,2.67,12,False,1038,2422,6610,3071,2055,0,3364,8673,11742,23247,12326,539,18,17,122,139,20,3,4,2,2,20.733333333333334,8000,8300,8010,9111,9105,8014,8304,8347,5011,5008,5005,4,11,799,111,234,777,107,800,497,72,799,126,11,True,1,False,0,0,0,False,0,False,2,False,25,1,1,0,0,5,16,0,0,1,418.1370521522306,1244.5344747230001
EUW1_7299963486,Isma,SK Gaming,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Pantheon,8,4,10,4.5,17,False,3071,0,3111,3053,1038,6610,3364,13524,29438,48525,22952,1261,30,29,188,217,38,7,9,8,7,36.21666666666667,8000,8300,8010,9111,9105,8014,8304,8347,5011,5008,5005,4,11,799,234,429,893,20,429,432,72,777,119,31,False,0,False,0,0,0,False,0,False,3,False,33,5,1,1,1,8,64,0,1,5,373.3413981436865,2173.5268124490003
EUW1_7299934396,Isma,SK Gaming,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Skarner,7,4,10,4.25,16,False,2502,0,3047,3067,3084,3075,3364,11623,23496,48041,16708,995,44,20,159,179,34,7,9,5,7,30.65,8400,8300,8439,8401,8429,8451,8304,8410,5001,5001,5007,4,11,234,429,122,555,893,89,35,-1,555,799,28,False,2,True,0,0,0,False,0,False,4,False,22,3,1,1,2,10,18,0,2,0,379.1702623567304,1839.2801368350001
EUW1_7299851672,Isma,SK Gaming,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Nidalee,1,1,4,5.0,10,False,1101,6653,3020,1082,1058,0,3364,6632,4819,18339,12723,614,4,10,113,123,16,2,4,1,2,15.5,8000,8200,8010,9111,9105,8017,8210,8232,5011,5008,5005,4,11,-1,201,62,163,122,58,117,39,91,72,10,True,0,False,0,0,0,False,0,False,1,True,20,1,0,0,0,1,12,0,0,5,427.823264856952,930.1877883980001
EUW1_7299819044,Isma,SK Gaming,15.3.654.407,CLASSIC,200,NONE,JUNGLE,Vi,6,2,14,10.0,11,True,3174,3071,6610,1036,1028,0,3364,9262,18059,20965,11354,614,32,16,106,122,20,1,5,4,1,19.45,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,234,555,60,893,84,555,7,72,119,134,24,False,1,False,1,1,0,False,1,True,9,True,16,1,0,0,0,2,19,0,1,1,476.1612431626523,1167.1884888900001
EUW1_7299762194,Isma,SK Gaming,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,XinZhao,3,2,13,8.0,16,True,3071,3053,2055,3047,0,6610,3364,12015,27808,57312,39207,784,42,26,163,189,27,4,7,4,3,28.083333333333332,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,4,11,122,526,234,72,555,107,126,-1,157,72,25,False,1,False,1,1,1,True,3,True,11,False,19,3,0,0,0,2,12,0,0,1,427.74263372203177,1685.378554496
EUW1_7299478917,Isma,SK Gaming,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Skarner,9,1,11,20.0,14,True,3076,2055,2502,3111,1011,3084,3364,11061,23176,37435,16739,1455,42,20,117,137,20,5,5,4,3,26.05,8400,8300,8437,8401,8429,8451,8304,8410,5001,5001,5007,4,11,119,27,234,799,105,80,-1,800,38,107,36,True,1,True,1,1,0,False,1,True,10,False,13,2,0,0,0,3,18,0,0,2,424.37540173040765,1563.8958409820002
