Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301080237,JNX,SK Gaming,15.3.654.407,CLASSIC,100,TOP,TOP,Aatrox,7,7,4,1.57,17,True,0,6631,6692,6610,1036,3158,3340,12146,16768,31736,13856,665,13,201,16,217,20,2,12,1,2,27.15,8000,8400,8010,9111,9105,8017,8473,8451,5011,5008,5008,12,4,119,11,-1,234,157,-1,166,72,555,107,37,False,4,True,1,1,1,True,1,True,8,False,19,0,0,0,0,3,15,0,2,55,447.29429275089063,1629.378446135
EUW1_7300988845,JNX,SK Gaming,15.3.654.407,CLASSIC,200,TOP,TOP,Syndra,18,3,15,11.0,18,True,3175,3102,3041,6655,3135,4629,3364,20180,60568,31294,6587,782,55,299,12,311,40,4,7,8,4,39.71666666666667,8100,8200,8112,8139,8140,8135,8226,8237,5011,5008,5008,12,4,7,117,234,20,110,799,84,110,60,166,50,False,5,False,1,1,1,False,2,True,9,True,29,1,0,1,0,5,29,0,5,80,508.03027223439364,2383.337074555
EUW1_7300925275,JNX,SK Gaming,15.3.654.407,CLASSIC,200,TOP,TOP,Pantheon,10,3,4,4.67,18,True,3071,1033,6333,3176,6610,1036,3363,13552,32174,33918,8739,801,36,214,12,226,16,1,12,1,1,30.083333333333332,8000,8300,8005,8009,9105,8017,8304,8345,5011,5008,5008,14,4,42,166,234,800,222,800,126,72,117,42,44,True,3,True,1,1,1,True,3,True,11,True,21,0,0,0,0,3,16,0,2,75,450.25289753406867,1805.938067494
EUW1_7300888599,JNX,SK Gaming,15.3.654.407,CLASSIC,200,TOP,TOP,Vi,2,5,1,0.6,13,False,3071,0,0,3078,1001,0,3340,7500,15825,21844,2312,579,22,157,0,157,12,0,6,1,0,20.266666666666666,8400,8300,8437,8446,8473,8451,8345,8316,5011,5008,5005,12,4,-1,117,110,800,517,42,799,72,24,800,10,True,0,False,0,0,0,False,0,False,0,False,27,2,1,0,1,7,6,0,1,91,369.985772106341,1216.377089948
EUW1_7300699722,JNX,SK Gaming,15.3.654.407,CLASSIC,200,TOP,TOP,Jayce,9,3,5,4.67,18,True,6694,3161,3047,6692,1036,3814,3363,16342,39793,24577,4264,687,18,286,4,290,32,2,14,8,2,32.2,8000,8300,8010,8009,9105,8014,8345,8316,5011,5008,5008,12,4,72,234,60,268,76,8,81,143,107,555,27,False,5,True,1,1,1,True,1,True,8,False,20,0,0,0,0,4,38,0,7,86,507.46710782874584,1932.2283338010002
EUW1_7300644711,JNX,SK Gaming,15.3.654.407,CLASSIC,200,TOP,TOP,Smolder,10,3,9,6.33,18,True,3508,3031,3814,3009,6673,1018,3363,15009,26866,14769,3363,649,5,246,15,261,24,1,11,1,1,28.666666666666668,8400,8000,8437,8446,8473,8451,8009,9105,5011,5008,5005,12,4,105,78,117,42,76,72,36,526,166,119,44,True,3,True,0,0,1,True,0,False,5,False,33,0,1,0,0,4,13,0,6,67,523.4817961417687,1720.289942052
EUW1_7300587112,JNX,SK Gaming,15.3.654.407,CLASSIC,100,TOP,TOP,Sion,2,8,7,1.12,15,False,3084,3068,2502,1033,3009,0,3340,10658,24224,65912,14056,351,57,210,2,212,19,1,10,0,1,27.9,8400,8200,8437,8446,8444,8451,8226,8234,5011,5008,5008,12,4,119,86,27,157,800,72,800,60,112,887,23,False,0,False,1,1,0,False,0,False,4,True,45,3,0,1,2,9,36,0,1,80,381.86352825374473,1674.6715744710002
EUW1_7300536441,JNX,SK Gaming,15.3.654.407,CLASSIC,200,TOP,TOP,Darius,2,4,3,1.25,13,False,2021,6631,1055,1028,3047,1037,3340,8010,8667,15439,2186,318,14,175,1,176,15,0,7,2,0,20.55,8000,8400,8010,8009,9104,8299,8451,8473,5011,5008,5005,14,4,107,81,24,800,42,799,800,77,126,78,14,True,2,True,0,0,0,False,0,False,2,True,21,1,1,0,0,3,23,0,2,71,389.61786104573815,1233.575447629
EUW1_7300490710,JNX,SK Gaming,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Aurora,9,5,5,2.8,16,True,3041,3020,4645,3113,3108,3118,3340,12495,22864,24051,5677,423,8,214,3,217,22,1,10,2,1,25.433333333333334,8100,8200,8112,8139,8141,8105,8226,8233,5011,5008,5008,12,4,800,62,119,76,887,526,115,800,72,7,43,True,2,True,1,1,0,False,2,True,9,True,20,1,0,0,0,2,11,0,1,90,491.0281399247854,1526.828387554
EUW1_7300447636,JNX,SK Gaming,15.3.654.407,CLASSIC,100,TOP,TOP,Quinn,5,5,1,1.2,12,False,3142,6698,3134,0,0,3013,3340,8568,16285,14914,1859,479,20,152,0,152,18,1,8,2,1,20.016666666666666,8100,8000,8112,8143,8137,8135,9104,8017,5011,5008,5005,14,4,119,7,117,60,76,800,119,893,77,38,11,True,0,False,0,0,0,False,0,False,1,False,24,3,1,0,0,6,3,0,1,73,427.81722498450694,1201.7042222730001
