Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301040563,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Ryze,3,8,10,1.62,18,True,6657,1058,2421,3173,3135,3040,3364,14828,38028,39012,6433,431,39,280,11,291,21,5,10,4,5,33.78333333333333,8200,8400,8230,8226,8234,8232,8444,8451,5011,5008,5005,12,4,119,91,799,76,555,-1,-1,31,143,154,31,False,2,False,1,1,2,True,4,True,11,False,33,3,0,0,0,3,91,0,0,88,438.70734885115684,2028.001096186
EUW1_7300975523,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Corki,6,3,12,6.0,18,True,1055,3078,3009,3155,3042,3031,3363,14548,39781,25419,4799,549,0,262,16,278,30,0,11,8,0,29.783333333333335,8000,8300,8010,8009,9104,8017,8316,8345,5011,5008,5005,12,4,12,234,58,91,126,78,72,234,77,112,33,False,2,False,1,1,1,True,2,True,9,True,18,2,0,0,0,2,33,0,2,75,488.21962253447083,1787.9731855480002
EUW1_7300896586,Reeker,SK Gaming,15.3.654.407,CLASSIC,200,TOP,UTILITY,Elise,1,10,10,1.1,13,False,3877,3020,1058,3145,4646,0,3364,8440,16928,28010,2349,442,44,23,0,23,110,13,53,13,13,34.8,8100,8300,8112,8143,8141,8105,8306,8347,5011,5008,5008,14,4,21,43,7,38,-1,-1,800,897,77,555,23,False,2,False,1,1,2,True,0,False,5,False,36,2,0,0,3,10,94,0,0,9,242.4805711002652,2088.522517555
EUW1_7300827286,Reeker,SK Gaming,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Ryze,2,2,8,5.0,16,True,6657,0,3040,3174,1056,0,3340,9559,19464,19744,4648,273,28,201,8,209,18,2,9,4,1,23.983333333333334,8200,8400,8230,8226,8234,8232,8444,8451,5011,5008,5005,12,4,555,800,-1,77,60,7,-1,-1,119,122,26,False,1,False,0,0,0,False,1,True,8,True,11,1,0,0,0,2,13,0,0,73,398.57324324724283,1439.129557426
EUW1_7300634437,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Tryndamere,4,9,4,0.89,15,False,1043,2055,3074,6675,3091,3172,3364,12248,22322,39859,12649,465,11,205,24,229,27,5,7,5,4,27.483333333333334,8400,8000,8437,8446,8444,8451,9104,8299,5001,5008,5005,6,4,107,897,203,800,555,800,110,517,42,26,20,True,2,True,1,1,0,False,0,False,7,True,37,2,0,1,1,6,41,0,1,81,445.4842464604423,1649.7403132700001
EUW1_7300560066,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Ryze,6,2,5,5.5,16,True,1056,0,3173,1058,6657,3040,3364,10964,13196,19926,4554,459,15,202,24,226,15,4,7,2,4,20.2,8200,8400,8230,8226,8234,8232,8444,8451,5011,5008,5005,12,4,77,42,200,2,117,234,200,119,24,526,34,True,2,False,1,1,0,False,1,True,9,True,14,1,0,0,0,2,9,0,2,80,542.6620974591259,1212.2669183530002
EUW1_7300507675,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,BOTTOM,JUNGLE,Ryze,7,5,6,2.6,17,True,1056,3173,3157,6657,3040,0,3364,13235,18865,31664,7128,545,18,195,29,224,21,4,7,1,3,29.366666666666667,8200,8400,8230,8226,8233,8237,8444,8451,5011,5008,5005,12,4,555,119,893,62,111,62,69,72,117,800,33,True,3,True,1,1,1,True,2,True,8,True,19,1,0,0,0,2,21,0,1,49,450.5286510178655,1762.6697455580002
EUW1_7300436482,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Tryndamere,7,3,5,4.0,17,True,6675,0,6631,3153,3066,3172,3340,14399,19522,44013,16879,681,17,231,38,269,18,1,11,3,1,28.55,8000,8400,8008,9101,9104,8299,8446,8444,5001,5008,5005,6,4,799,555,69,92,119,119,24,555,62,122,34,False,2,False,1,1,1,True,3,True,11,True,18,1,0,0,0,2,50,0,2,72,504.1799151575869,1713.58297925
EUW1_7300388464,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,NONE,MIDDLE,TwistedFate,7,0,4,11,12,True,3041,2031,2065,3013,3100,0,3364,8944,13899,9757,1687,0,26,156,0,156,9,2,4,1,2,15.65,8100,8400,8112,8139,8140,8106,8451,8473,5011,5008,5005,12,4,432,72,897,799,107,112,40,103,897,800,21,True,1,False,0,0,0,False,0,False,1,True,7,1,0,0,0,0,8,0,1,92,571.0872417275804,939.722747529
EUW1_7300324472,Reeker,SK Gaming,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Ryze,6,0,6,12,18,True,0,3040,3157,6657,3173,1056,3363,12808,24432,21045,6158,0,23,246,15,261,31,6,15,3,6,26.25,8200,8400,8230,8226,8234,8232,8444,8451,5011,5008,5005,12,4,72,32,555,234,126,107,200,35,72,26,22,True,4,True,1,1,1,True,0,False,5,True,14,0,0,0,0,3,29,0,0,92,487.619583308894,1576.00247052
EUW1_7299862009,Reeker,SK Gaming,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Corki,9,10,8,1.7,16,False,1038,3094,1018,3078,3042,3009,3363,14000,32484,30844,2082,340,7,209,12,221,30,3,12,6,3,31.416666666666668,8000,8300,8010,8009,9104,8017,8316,8345,5011,5008,5005,12,4,68,60,131,799,800,-1,72,800,119,799,30,True,1,True,1,1,0,False,0,False,3,False,43,3,0,1,1,11,52,0,2,80,445.60254613881835,1885.212364621
