Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301045126,113,Team BDS,15.3.654.407,CLASSIC,200,TOP,JUNGLE,Diana,12,10,13,2.5,17,True,6653,3157,2502,4633,0,3111,3364,15793,42391,51661,15172,324,22,44,141,185,27,3,4,4,2,33.333333333333336,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,119,555,117,58,85,81,10,72,7,126,37,True,2,True,0,0,1,True,1,True,9,True,46,3,1,0,0,5,24,0,1,6,473.56593173033747,2000.9816887590002
EUW1_7300964051,113,Team BDS,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Zyra,3,5,14,3.4,15,False,3020,6653,0,4630,3041,3116,3364,10405,22312,32005,10844,1283,63,24,162,186,25,3,6,8,3,29.816666666666666,8200,8000,8230,8224,8210,8232,9105,8017,5001,5010,5008,4,11,897,800,119,-1,157,-1,-1,77,800,38,27,False,1,True,0,0,0,False,0,False,3,False,21,2,1,1,3,11,51,0,0,1,348.871452240337,1789.6561538550002
EUW1_7300878473,113,Team BDS,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Vi,6,1,12,18.0,16,True,6610,0,3053,3111,3071,0,3364,13663,30127,45347,26713,1631,40,21,187,208,41,6,8,8,6,31.966666666666665,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,4,11,234,42,2,119,800,119,72,80,7,126,25,True,4,True,0,0,1,True,1,True,8,False,13,1,1,0,0,5,37,0,1,1,427.3674592817729,1918.2188960180001
EUW1_7300814745,113,Team BDS,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Zyra,7,3,10,5.67,14,True,3116,6653,0,4630,1052,3111,3364,11341,17619,20265,6428,750,36,29,143,172,35,4,7,5,4,24.733333333333334,8200,8000,8230,8224,8210,8232,9105,8017,5001,5010,5008,4,11,119,72,-1,777,77,72,800,68,429,164,35,True,1,False,1,1,0,False,1,True,9,True,20,2,0,0,0,4,7,0,1,3,458.257920955791,1484.9234428250002
EUW1_7300090954,113,Team BDS,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Nidalee,12,3,15,9.0,18,True,4628,3020,3089,6653,1058,3041,3364,17403,42012,54667,52833,1686,14,37,197,234,44,5,5,11,5,37.8,8000,8200,8010,9111,9104,8299,8210,8232,5001,5008,5005,4,11,429,119,800,40,893,800,166,60,62,7,45,False,3,True,1,1,2,True,2,False,9,False,38,3,0,0,1,7,16,0,1,3,460.35502640521645,2268.216619744
EUW1_7299843894,113,Team BDS,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Zyra,4,8,11,1.88,15,False,6653,2503,4645,2055,1026,3020,3364,11428,36824,23577,7058,364,65,27,170,197,20,3,7,3,2,29.583333333333332,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,163,42,800,92,58,121,24,268,119,78,22,False,1,False,0,0,0,False,0,False,5,False,34,3,1,1,1,7,48,0,0,3,386.20771475978785,1775.504903709
EUW1_7299801727,113,Team BDS,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Diana,10,7,9,2.71,15,False,4633,2421,2055,3111,6653,2502,3364,12593,32212,36758,13140,410,17,40,142,182,19,3,5,4,2,27.133333333333333,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,58,119,72,92,799,58,60,-1,800,112,30,True,2,False,0,0,0,False,0,False,3,False,44,1,1,0,1,8,28,0,2,7,463.9446458394007,1628.6223200220002
EUW1_7299733313,113,Team BDS,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,9,8,19,3.5,16,True,6610,3174,3053,3067,3071,2055,3364,13822,25077,43402,14399,361,45,25,132,157,38,7,8,5,6,34.35,8000,8300,8010,9111,9104,8299,8304,8347,5013,5008,5005,4,11,-1,119,60,19,-1,72,103,76,60,122,55,True,1,True,1,1,1,True,1,True,9,True,34,2,0,0,0,4,32,0,1,1,402.2006673302786,2062.033743408
EUW1_7299605280,113,Team BDS,15.3.654.407,CLASSIC,100,NONE,JUNGLE,Vi,6,2,8,7.0,11,True,1102,3071,6610,2422,0,0,3364,7775,11454,20085,9951,702,17,7,90,97,20,2,4,3,2,18.25,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,143,166,420,517,72,122,799,200,107,-1,26,False,2,True,0,0,0,False,0,False,4,True,9,0,0,0,0,0,14,0,3,2,425.71796572244483,1095.8134452030001
EUW1_7298806008,113,Team BDS,15.3.654.407,CLASSIC,200,JUNGLE,JUNGLE,Volibear,11,10,11,2.2,18,False,3053,3111,3065,3742,3067,6610,3364,16308,33713,85482,30862,815,46,37,166,203,66,11,12,11,10,43.083333333333336,8000,8300,8005,9111,9104,8299,8304,8347,5001,5008,5005,4,11,555,-1,200,86,126,62,-1,86,800,78,42,True,3,True,0,0,2,True,0,False,6,True,46,4,1,0,1,10,27,0,1,1,378.43391723300385,2585.671929688
EUW1_7298783639,113,Team BDS,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,3,10,7,1.0,14,False,6610,3111,1036,1028,6692,1028,3340,9435,17702,40510,16067,278,23,26,127,153,29,5,15,4,5,28.116666666666667,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,4,11,126,-1,27,555,77,72,126,429,26,77,21,False,0,False,0,0,0,False,0,False,2,False,37,4,1,1,3,10,14,0,2,2,335.5490904702172,1687.119710507
