Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_6749940254,Ice,Team BDS,13.24.547.9214,CLASSIC,100,JUNGLE,JUNGLE,LeeSin,4,5,3,1.4,13,False,6630,0,3044,1037,3071,3047,3340,10131,12298,32361,13653,734,18,28,136,164,37,4,13,6,4,27.683333333333334,8000,8300,8010,9111,9104,8014,8347,8304,5002,5008,5005,11,4,119,-1,910,517,200,110,555,526,200,107,19,True,1,False,1,1,0,False,0,False,4,False,31,2,1,1,2,9,30,0,0,1,365.7834157239831,1661.9083041
EUW1_6747309585,Ice,Team BDS,13.24.547.9214,CLASSIC,200,NONE,BOTTOM,Lucian,5,3,3,2.67,11,True,2031,3095,1055,6671,1001,0,3363,7376,9421,9180,1385,352,2,122,0,122,10,0,5,1,0,16.316666666666666,8000,8300,8005,8009,9103,8014,8347,8345,5002,5008,5005,1,4,777,897,517,29,200,555,81,777,107,114,19,True,2,True,1,1,0,False,0,False,3,True,7,0,0,0,0,0,38,0,3,63,451.72224580956276,979.7562538
EUW1_6747208998,Ice,Team BDS,13.24.547.9214,CLASSIC,100,BOTTOM,BOTTOM,Lucian,8,13,3,0.85,14,False,6671,3094,1018,1055,3095,3158,3363,13364,19575,28334,3752,279,0,226,4,230,27,3,11,5,3,29.55,8000,8300,8005,8009,9103,8014,8347,8345,5002,5008,5005,1,4,200,84,517,497,107,107,67,134,110,517,36,False,2,True,0,0,0,False,0,False,5,False,50,2,1,2,1,9,29,0,1,73,452.1372148568609,1773.4518369
EUW1_6744359480,Ice,Team BDS,13.24.547.9214,CLASSIC,100,BOTTOM,BOTTOM,Jhin,11,7,8,2.71,16,True,3155,3094,3095,1053,3031,3009,3363,15463,28534,26751,11569,500,36,222,10,232,17,3,12,3,3,31.05,8000,8300,8021,8009,9103,8014,8345,8347,5002,5008,5008,7,4,134,54,30,200,517,84,432,119,78,110,37,False,2,True,2,2,1,True,1,True,8,True,32,2,0,0,0,3,32,0,2,91,497.78819575028194,1863.8191029
EUW1_6744294749,Ice,Team BDS,13.24.547.9214,CLASSIC,100,NONE,BOTTOM,Lucian,3,2,7,5.0,9,True,6671,2055,1055,1001,3095,0,3363,7580,11418,10011,1338,485,0,145,0,145,6,1,5,0,0,15.516666666666667,8000,8300,8005,8009,9103,8014,8347,8345,5002,5008,5005,1,4,68,555,200,777,517,56,910,2,111,119,22,True,1,True,0,0,0,False,0,False,6,True,8,0,1,0,0,0,15,0,0,82,488.3771391542578,931.2836335999999
EUW1_6744252664,Ice,Team BDS,13.24.547.9214,CLASSIC,200,NONE,JUNGLE,LeeSin,0,2,2,1.0,9,False,6630,0,2422,1036,1102,0,3340,4917,2330,13463,8431,531,5,6,92,98,17,3,9,1,3,15.55,8000,8300,8010,9111,9104,8014,8347,8304,5001,5008,5005,11,4,63,235,517,61,114,110,40,81,84,-1,6,True,0,False,0,0,0,False,0,False,0,False,18,1,1,0,0,3,0,0,0,5,315.89808216024664,933.9548034999999
EUW1_6744174306,Ice,Team BDS,13.24.547.9214,CLASSIC,100,BOTTOM,BOTTOM,Lucian,9,3,10,6.33,13,True,6671,0,1055,3095,3158,3094,3363,11708,23105,16896,2789,888,2,162,14,176,13,1,9,1,1,22.9,8300,8200,8369,8304,8345,8347,8226,8237,5002,5008,5005,1,4,107,517,84,63,28,141,76,61,22,68,45,True,2,True,1,1,0,False,2,True,10,True,21,0,1,0,0,0,12,0,2,82,509.3110402524401,1379.3850125
EUW1_6744124660,Ice,Team BDS,13.24.547.9214,CLASSIC,100,BOTTOM,BOTTOM,Vayne,6,8,4,1.25,13,False,0,3006,6672,3153,0,3078,3363,12074,22683,22417,4832,608,9,205,4,209,21,5,10,3,4,27.55,8000,8100,8008,9101,9104,8014,8139,8135,5002,5008,5005,6,4,134,517,200,30,54,200,63,110,24,107,20,True,1,True,1,1,0,False,0,False,4,False,32,1,1,1,1,8,115,0,1,65,438.1685041801411,1653.4258708999998
EUW1_6741486262,Ice,Team BDS,13.24.547.9214,CLASSIC,200,BOTTOM,BOTTOM,Aphelios,4,10,6,1.0,12,False,6671,0,3095,1038,1036,3006,3363,10355,13287,20590,3052,293,12,176,4,180,17,1,10,3,1,26.916666666666668,8000,8200,8021,9101,9103,8014,8233,8236,5002,5008,5005,6,4,61,517,84,55,24,141,200,2,910,37,19,True,0,False,1,1,0,False,0,False,3,True,34,4,1,1,2,10,37,0,0,62,384.5998358969084,1615.5644447
EUW1_6741435858,Ice,Team BDS,13.24.547.9214,CLASSIC,100,BOTTOM,BOTTOM,Samira,13,8,6,2.38,14,True,6673,3036,6676,1018,3047,3031,3363,14709,25921,20612,4817,498,7,166,12,178,24,3,8,2,2,24.683333333333334,8000,8100,8010,9111,9103,8299,8139,8135,5002,5008,5005,1,4,114,517,7,-1,67,421,54,61,429,78,40,False,3,True,1,1,1,True,2,True,10,True,31,0,1,0,0,3,108,0,0,61,595.7346864753306,1481.491475
