Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301075254,Irrelevant,Team BDS,15.3.654.407,CLASSIC,200,JUNGLE,TOP,Ambessa,2,9,2,0.44,14,False,6692,6610,3044,1055,1001,1036,3340,9306,29978,33560,5498,525,15,193,0,193,18,0,10,2,0,27.983333333333334,8100,8400,8112,8143,8137,8106,8401,8473,5001,5008,5008,4,12,86,91,234,122,42,60,76,40,800,31,19,True,2,True,0,0,0,False,0,False,4,True,35,1,1,1,2,10,4,0,1,79,332.5452717307369,1679.2249003420002
EUW1_7301025491,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,NONE,TOP,Ambessa,1,8,2,0.38,11,False,1055,6692,1036,1001,1036,2020,3340,6104,13550,16418,1859,197,8,128,0,128,8,0,5,1,0,18.95,8100,8400,8112,8143,8137,8106,8401,8473,5001,5008,5008,4,12,107,72,246,12,17,119,35,555,126,-1,11,False,0,False,0,0,0,False,0,False,0,False,35,1,1,0,1,7,16,0,0,68,321.8959500643727,1137.812380654
EUW1_7300983909,Irrelevant,Team BDS,15.3.654.407,CLASSIC,200,NONE,TOP,Gragas,0,5,0,0.0,10,False,3802,2031,3158,3108,1052,2022,3340,4117,4585,12542,2394,317,14,100,0,100,8,0,5,0,0,15.166666666666666,8200,8000,8229,8226,8210,8237,8009,9105,5001,5008,5007,4,12,254,122,432,555,72,81,72,69,800,799,6,False,0,False,0,0,0,False,0,False,0,False,19,2,0,0,0,3,0,0,0,58,271.3730322042119,910.3596930980001
EUW1_7300906293,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,TOP,TOP,Garen,11,5,4,3.0,18,False,6631,3036,3009,3046,3742,1038,3364,16541,25642,42668,684,517,37,273,18,291,19,1,10,2,1,33.55,8200,8400,8230,8224,8234,8236,8444,8451,5001,5010,5008,4,12,-1,122,429,897,432,27,157,876,72,122,38,False,3,True,0,0,1,True,0,False,3,False,41,1,1,0,2,11,12,0,1,66,492.9745725950178,2013.301656134
EUW1_7300834412,Irrelevant,Team BDS,15.3.654.407,CLASSIC,200,TOP,TOP,Camille,5,4,4,2.25,16,False,3074,3078,3047,3053,0,0,3364,14122,23983,37727,10892,517,26,244,4,248,19,1,7,3,1,28.133333333333333,8400,8300,8437,8401,8444,8451,8345,8347,5001,5008,5008,4,12,26,119,122,234,72,876,62,72,90,800,16,False,2,True,1,1,0,False,0,False,4,False,28,2,0,1,2,11,3,0,2,80,501.75732222986903,1688.7815255550001
EUW1_7300112356,Irrelevant,Team BDS,15.3.654.407,CLASSIC,200,TOP,TOP,Garen,10,5,6,3.2,18,True,6631,3046,3009,3742,3066,3036,3364,16089,27970,38160,1237,713,49,266,6,272,24,0,6,5,0,33.36666666666667,8200,8400,8230,8224,8234,8236,8444,8451,5001,5010,5008,4,12,34,203,72,122,117,126,799,235,234,72,41,False,4,True,0,0,1,True,3,True,12,False,39,1,1,0,0,4,22,0,4,88,482.07324945774764,2002.5829700640002
EUW1_7300089697,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,TOP,TOP,Garen,6,2,3,4.5,17,True,6631,1054,3009,3046,3742,3035,3364,13315,24225,31419,149,1063,34,246,7,253,13,1,8,0,1,26.933333333333334,8200,8400,8230,8224,8234,8236,8444,8451,5001,5010,5008,4,12,60,122,800,203,72,119,72,122,526,234,37,True,2,False,1,1,0,False,1,True,10,True,13,1,0,0,0,0,1,0,2,96,494.35626236872145,1616.1372656570002
EUW1_7299704261,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,TOP,TOP,Garen,5,2,2,3.5,17,False,6631,3009,3036,3742,1028,0,3364,12001,20389,35153,2227,958,45,261,8,269,14,0,6,1,0,30.416666666666668,8200,8400,8230,8224,8234,8236,8444,8451,5001,5010,5008,4,12,555,64,-1,7,107,166,799,80,76,800,16,False,1,False,0,0,0,False,0,False,2,False,29,2,1,1,2,9,16,0,0,105,394.51523484646054,1825.2005752680002
EUW1_7299644804,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,JUNGLE,Garen,2,3,8,3.33,17,True,6631,4401,3009,3742,3086,0,3364,13240,17815,40400,1253,1133,43,227,4,231,22,1,11,3,1,32.93333333333333,8200,8400,8230,8224,8234,8236,8444,8451,5001,5010,5008,4,12,164,35,72,119,117,119,3,799,800,98,30,True,4,True,0,0,1,True,2,True,11,True,25,1,1,0,0,4,6,0,0,35,401.9717168654708,1976.4017325680002
EUW1_7299583011,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,TOP,TOP,Garen,4,3,4,2.67,16,True,6631,4401,3009,1054,3742,1018,3364,11902,17604,30974,1117,860,43,196,17,213,12,0,5,0,0,28.4,8200,8400,8230,8224,8234,8236,8473,8451,5001,5010,5008,4,12,893,157,131,164,62,10,38,119,40,-1,23,True,1,True,0,0,0,False,3,True,11,True,21,1,1,0,0,1,5,0,2,86,418.86494595793914,1704.9529363170002
EUW1_7298808201,Irrelevant,Team BDS,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Ambessa,8,10,3,1.1,16,False,6694,3814,3111,6699,3134,2055,3364,12773,26825,27834,3562,281,15,174,11,185,21,4,6,2,3,29.016666666666666,8100,8400,8112,8143,8137,8106,8401,8473,5001,5008,5008,4,12,800,122,72,233,107,40,-1,-1,429,2,24,False,1,False,1,1,0,False,0,False,5,False,36,3,0,1,2,9,16,0,5,54,440.0523544052143,1741.6765516990001
