Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301045126,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,13,7,11,3.43,17,False,4628,4629,3040,3135,3158,0,3364,14909,40408,26246,2270,470,62,235,4,239,29,1,5,6,1,33.333333333333336,8200,8000,8230,8226,8210,8237,8009,8017,5011,5008,5005,4,12,81,10,72,7,126,119,555,117,58,85,46,False,3,False,1,1,0,False,0,False,5,False,37,2,0,1,1,9,26,0,3,81,447.0769219931355,2000.9816887590002
EUW1_7301006585,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Ahri,7,2,7,7.0,14,True,0,6653,2503,3145,3041,3158,3364,10634,16651,12331,4387,684,13,175,0,175,13,3,5,2,3,21.15,8100,8200,8112,8139,8140,8106,8226,8237,5011,5008,5005,4,12,200,107,34,55,72,40,35,55,114,119,26,True,2,False,1,1,0,False,0,False,5,True,12,1,0,0,0,1,17,0,2,86,502.6945681689345,1269.343630988
EUW1_7300951480,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Zoe,6,4,3,2.25,13,False,1056,4645,6655,3111,1082,1052,3364,9483,14349,14335,1068,728,17,173,2,175,18,1,3,5,1,23.166666666666668,8100,8200,8112,8143,8140,8135,8275,8237,5011,5008,5005,4,14,11,119,34,72,143,72,-1,893,800,126,20,False,0,False,0,0,0,False,0,False,0,False,28,2,1,0,1,9,26,0,1,72,409.0881739423861,1390.8674893310001
EUW1_7300878473,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,TwistedFate,3,9,5,0.89,15,False,3094,2065,1082,3100,3170,3916,3363,12329,14968,27848,1557,639,42,232,4,236,27,3,9,6,3,31.966666666666665,8100,8400,8112,8139,8137,8106,8473,8451,5011,5008,5005,4,12,119,72,80,7,126,234,42,2,119,800,13,False,1,False,1,1,0,False,0,False,5,True,25,4,0,1,1,8,16,0,0,88,385.6552721925684,1918.2188960180001
EUW1_7300798040,Nuc,Team BDS,15.3.654.407,CLASSIC,200,TOP,TOP,Jayce,9,8,13,2.75,18,True,3042,3142,0,3161,3174,6694,3364,17449,55476,40053,7046,583,20,258,29,287,30,5,8,6,4,35.81666666666667,8400,8300,8437,8446,8473,8451,8345,8304,5011,5008,5008,4,12,28,62,526,84,17,117,200,67,35,800,43,True,4,True,1,1,0,False,1,True,10,True,42,1,0,2,0,6,14,0,5,90,487.02809948443127,2149.7547629610003
EUW1_7300112356,Nuc,Team BDS,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Tristana,6,10,5,1.1,18,True,1038,6675,3006,3031,1053,3032,3363,14703,29173,35906,10679,415,12,234,19,253,30,5,12,7,3,33.36666666666667,8000,8400,8008,8009,9103,8017,8444,8446,5011,5008,5005,4,12,34,203,72,122,117,126,799,235,234,72,41,False,4,True,0,0,1,True,3,True,12,False,39,1,1,0,0,4,20,0,3,77,440.5374879751202,2002.5829700640002
EUW1_7300090026,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Galio,6,3,8,4.67,13,True,4633,2055,6664,1056,1082,3020,3364,9212,13117,13297,2247,165,28,151,0,151,13,4,6,1,2,20.133333333333333,8100,8400,8112,8143,8137,8106,8451,8473,5011,5008,5008,4,12,799,-1,126,800,893,117,78,38,897,555,26,False,1,False,1,1,0,False,0,False,6,True,14,2,0,0,0,0,39,0,0,68,457.4729125091093,1208.2932358760002
EUW1_7299670928,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Tristana,10,7,4,2.0,18,False,3031,1053,6675,3172,6676,3032,3363,16957,35282,47121,13855,699,14,239,36,275,34,8,15,10,7,40.833333333333336,8000,8400,8008,9101,9103,8017,8473,8451,5011,5008,5005,4,12,800,34,119,420,78,107,119,517,112,77,30,True,2,False,1,1,1,True,1,True,9,True,43,3,0,1,1,8,21,0,4,71,415.17245064914505,2450.704234401
EUW1_7299597228,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Irelia,12,10,3,1.5,18,False,6665,6333,3091,3181,3111,3153,3364,20242,34559,55719,18932,392,22,300,20,320,22,5,7,4,4,36.06666666666667,8000,8300,8010,9111,9104,8299,8345,8347,5011,5008,5005,4,12,30,77,72,7,799,107,799,7,-1,-1,28,True,2,False,0,0,0,False,0,False,7,False,34,4,1,1,1,9,31,0,7,96,561.0456409726788,2164.7898312370003
EUW1_7299554710,Nuc,Team BDS,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Ahri,5,1,5,10.0,13,True,1056,6653,1052,1082,2503,3158,3364,9108,12984,13755,4123,842,15,178,0,178,21,4,6,5,4,20.05,8100,8200,8112,8139,8140,8106,8226,8237,5011,5008,5005,4,12,72,-1,555,54,800,84,117,432,166,555,28,True,1,False,1,1,0,False,0,False,6,True,9,2,0,0,0,0,5,0,0,92,453.99287456020693,1203.780508597
EUW1_7298808201,Nuc,Team BDS,15.3.654.407,CLASSIC,200,TOP,MIDDLE,Ahri,8,4,13,5.25,17,True,4628,0,2503,1082,6653,3171,3364,14033,29521,27592,8456,700,27,244,0,244,22,3,7,7,3,29.016666666666666,8100,8200,8112,8139,8140,8106,8226,8237,5011,5008,5005,4,12,40,-1,-1,429,2,800,122,72,233,107,36,True,3,True,0,0,1,True,2,True,9,True,24,1,1,0,0,5,4,0,0,89,483.4371747066872,1741.6765516990001
