Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7295902645,PARUS,Team BDS,15.3.654.407,CLASSIC,100,NONE,UTILITY,Pyke,9,2,8,8.5,10,True,0,1037,3877,3179,3013,3134,3364,7244,10173,13595,3540,704,23,13,0,13,52,3,25,5,3,18.833333333333332,8100,8400,9923,8126,8141,8106,8242,8444,5001,5008,5008,14,4,42,122,72,38,800,55,800,72,5,200,31,True,1,False,1,1,0,False,0,False,6,True,10,1,0,0,0,1,46,0,0,7,384.55688759080465,1130.291514064
EUW1_7294761471,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Rakan,3,3,19,7.33,12,True,0,3190,3876,3111,3050,3067,3364,8578,10076,22397,9940,908,60,24,0,24,92,9,43,8,9,26.35,8400,8100,8465,8401,8444,8242,8141,8106,5001,5001,5007,7,4,72,42,112,119,893,526,222,555,800,58,29,False,1,False,0,0,0,False,1,True,9,True,20,2,0,0,0,3,16,0,1,12,325.39807840364847,1581.870248244
EUW1_7293127725,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Nautilus,1,8,9,1.25,11,False,0,3190,3869,3111,3067,1029,3364,6002,6871,21032,920,435,51,33,0,33,58,5,27,4,5,24.516666666666666,8400,8100,8465,8401,8473,8242,8141,8106,5001,5001,5008,14,4,72,800,799,81,39,555,92,526,119,72,13,True,0,False,0,0,0,False,0,False,2,False,27,3,1,0,1,8,15,0,0,18,244.74757266753116,1471.5473684130002
EUW1_7292813081,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Poppy,4,6,17,3.5,11,True,3190,0,3869,3047,3002,0,3364,7733,16200,21315,678,356,42,13,0,13,65,7,31,5,7,22.8,8100,8300,9923,8143,8141,8135,8347,8306,5011,5008,5008,14,4,42,5,200,35,800,777,68,119,26,234,45,True,2,True,1,1,0,False,2,True,10,True,20,0,0,0,0,0,20,0,1,6,338.9610286238676,1368.913851688
EUW1_7292761205,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Camille,8,9,14,2.44,15,True,3053,6692,3877,2055,6610,3111,3364,12906,33411,43839,10293,382,35,26,0,26,115,9,52,10,7,36.13333333333333,8100,8400,9923,8143,8140,8135,8401,8444,5011,5008,5008,14,4,7,800,122,429,62,800,126,893,555,72,38,True,3,True,0,0,1,True,2,True,10,True,35,2,1,0,0,3,35,0,1,11,357.05379610489274,2168.77425889
EUW1_7292709594,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Leona,3,5,19,4.4,13,False,3190,3109,3877,2055,3111,1028,3364,8222,14685,26449,3454,873,58,23,0,23,93,12,41,10,10,31.15,8400,8100,8439,8463,8473,8242,8141,8106,5001,5001,5007,14,4,157,35,119,800,42,42,799,62,800,126,32,True,1,False,1,1,0,False,0,False,5,False,27,4,0,1,3,11,41,0,0,13,263.9226870610896,1869.2150614720001
EUW1_7292653732,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,MIDDLE,BOTTOM,Jhin,12,1,10,22.0,14,True,3031,3009,6676,3094,1055,0,3363,12646,27396,14469,5632,375,34,191,20,211,15,0,6,3,0,23.666666666666668,8000,8300,8021,8009,9103,8014,8345,8347,5011,5008,5008,1,4,234,799,72,800,893,72,40,38,126,800,34,True,3,True,1,1,0,False,0,False,6,True,17,0,0,0,0,2,28,0,1,68,534.1836084227635,1420.4257348360002
EUW1_7291778123,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,JUNGLE,JUNGLE,Nautilus,5,7,19,3.43,16,True,1057,3190,3877,3211,3111,3050,3364,10997,14642,28596,2334,406,87,30,0,30,105,12,53,12,12,34.61666666666667,8400,8300,8439,8401,8473,8242,8347,8306,5001,5001,5005,14,4,800,893,42,141,119,43,117,234,893,51,36,True,3,True,0,0,1,False,1,True,9,True,40,2,1,1,0,7,13,0,1,10,317.66489698650025,2077.244241919
EUW1_7290375744,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Nautilus,2,8,13,1.88,12,False,3190,0,3869,3111,3050,1028,3364,7511,10214,20474,616,450,66,20,0,20,78,7,31,7,6,27.2,8400,8300,8439,8401,8473,8242,8347,8306,5001,5001,5005,14,4,555,799,166,800,21,799,24,800,893,78,25,False,1,True,1,1,0,False,0,False,4,False,32,2,0,1,1,9,21,0,0,14,276.1297750191307,1632.1826167380002
EUW1_7289982095,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Nautilus,2,11,29,2.82,15,True,3107,3190,3877,0,3173,3067,3364,10374,17176,38465,9515,703,100,43,0,43,110,14,46,14,13,35.1,8400,8300,8439,8463,8444,8242,8347,8306,5001,5001,5007,14,4,119,114,107,800,84,7,266,555,800,897,48,True,3,True,1,1,2,True,4,True,11,True,34,2,0,0,0,1,37,0,0,22,295.4479639359866,2106.887113114
EUW1_7289916856,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Pyke,9,5,12,4.2,14,False,6701,0,3877,3179,3814,3111,3364,11333,12891,31524,11197,929,25,31,0,31,127,12,50,19,11,32.65,8100,8400,9923,8143,8141,8106,8444,8453,5001,5008,5008,14,4,62,112,800,51,72,51,69,119,72,84,37,False,3,True,1,1,0,False,0,False,3,False,41,2,0,1,2,10,24,0,0,7,347.0685020452103,1959.283546221
EUW1_7289846840,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Pyke,14,5,16,6.0,14,True,3814,1038,3877,3013,6701,3179,3364,13839,21676,24372,6823,549,38,38,0,38,118,9,50,18,9,32.31666666666667,8100,8400,9923,8143,8141,8106,8242,8444,5001,5008,5008,14,4,526,107,114,517,119,72,8,234,62,800,40,True,3,True,1,1,1,True,2,True,10,True,23,1,0,0,0,2,33,0,0,10,428.0715582345381,1939.774299549
EUW1_7289789086,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Pyke,6,10,8,1.4,10,False,2055,3134,3877,3179,6701,3009,3364,8696,10541,23300,4701,269,27,18,0,18,93,7,41,11,6,26.466666666666665,8100,8200,9923,8143,8141,8106,8234,8232,5011,5008,5008,14,4,112,62,119,800,72,126,119,800,72,429,23,True,1,False,0,0,0,False,0,False,2,True,40,2,1,0,1,8,23,0,1,8,328.4195417226185,1588.761882079
EUW1_7289747485,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Neeko,7,2,15,11.0,12,True,3152,3157,3871,2055,3158,1052,3364,8491,19154,12885,1825,659,53,22,2,24,55,4,22,9,2,21.65,8200,8100,8229,8226,8210,8237,8126,8106,5001,5008,5008,14,4,72,126,62,119,800,800,164,117,72,143,36,False,2,True,1,1,0,False,0,False,7,False,10,0,0,0,0,1,9,0,0,11,391.8616837012384,1300.187423277
EUW1_7288852691,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Nautilus,2,1,17,19.0,12,True,3190,2031,3877,0,3050,3047,3364,7814,9762,10108,1083,575,57,20,0,20,64,7,30,4,7,21.3,8400,8300,8439,8463,8444,8242,8347,8306,5001,5001,5005,14,4,201,7,-1,800,893,119,800,110,126,7,29,False,1,False,1,1,0,False,1,True,9,True,10,2,0,0,0,1,13,0,0,10,366.6250487909986,1278.806166117
EUW1_7288546291,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Poppy,1,6,7,1.33,11,False,3190,3002,3877,2055,3009,0,3364,6859,9937,15581,446,510,30,20,0,20,81,8,36,7,7,26.033333333333335,8100,8300,9923,8143,8137,8135,8347,8306,5011,5008,5008,14,4,799,157,62,119,72,35,799,3,72,555,13,True,2,True,0,0,0,False,0,False,2,False,34,1,1,0,3,11,7,0,0,9,263.43428214010225,1562.3951965840001
EUW1_7288470864,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,MIDDLE,JUNGLE,Pantheon,14,9,14,3.11,17,False,3142,6609,3877,2504,3179,3009,3364,15136,47370,52105,9550,434,40,58,0,58,145,7,50,25,6,38.166666666666664,8000,8100,8005,8009,9105,8014,8126,8105,5011,5008,5008,14,4,72,800,42,126,3,-1,84,555,30,126,43,True,2,True,0,0,0,False,0,False,4,True,51,3,1,1,2,11,113,0,5,4,396.3832943091769,2291.1194237550003
EUW1_7288414186,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Leona,2,10,9,1.1,9,False,3190,3067,3869,2031,2055,3111,3364,5721,7780,20507,525,249,41,17,0,17,60,7,26,7,6,20.383333333333333,8400,8300,8439,8463,8473,8242,8347,8306,5001,5001,5007,14,4,166,800,420,72,234,800,897,119,893,62,19,True,1,True,0,0,0,False,0,False,0,False,39,1,0,0,1,8,41,0,0,13,280.52858944517016,1223.68460307
EUW1_7288359829,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Leona,4,9,18,2.44,14,False,3109,3190,3877,0,3067,3009,3364,8772,16226,32097,2858,317,74,31,0,31,108,13,52,11,13,29.566666666666666,8400,8300,8439,8463,8473,8242,8347,8306,5001,5001,5007,14,4,893,42,119,39,72,84,897,110,555,200,36,False,1,True,0,0,0,False,0,False,1,False,43,3,1,1,2,10,74,0,0,19,296.5285585968411,1774.95979484
EUW1_7288273241,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Nautilus,3,6,11,2.33,11,False,2055,3190,3869,3050,0,3009,3364,7641,8431,22747,2409,772,50,25,0,25,95,11,43,13,10,27.616666666666667,8400,8300,8439,8463,8444,8451,8347,8306,5001,5001,5007,14,4,114,517,62,110,119,555,60,80,72,526,31,False,3,True,1,1,0,False,0,False,3,True,27,1,0,0,0,4,149,0,0,9,276.57813342663184,1657.7548079750002
EUW1_7288244976,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,NONE,UTILITY,Poppy,0,3,7,2.33,7,True,1029,0,3869,3009,3067,1033,3364,4346,4237,6241,348,441,16,22,0,22,38,6,23,3,6,15.333333333333334,8100,8300,9923,8143,8141,8135,8347,8306,5011,5008,5008,14,4,134,799,107,429,119,72,107,110,800,126,18,True,0,False,0,0,0,False,0,False,2,True,11,1,0,0,0,0,5,0,0,12,283.3256394936004,920.441469522
EUW1_7286462934,PARUS,Team BDS,15.2.652.1536,CLASSIC,100,MIDDLE,UTILITY,Nautilus,1,1,16,17.0,10,True,3190,0,3877,3009,1029,3067,3364,6501,9937,12698,1495,231,66,26,0,26,64,5,26,10,5,20.85,8400,8300,8439,8401,8444,8242,8347,8306,5001,5001,5005,14,4,72,78,119,122,163,897,84,72,555,40,24,True,2,True,1,1,0,False,1,True,10,False,10,0,0,0,0,1,14,0,0,13,311.76576001416373,1251.2670306680002
EUW1_7286416023,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Jhin,4,9,5,1.0,15,False,1036,3009,6676,3031,1055,3094,3363,12067,17165,27788,4822,383,24,231,0,231,18,0,5,7,0,30.65,8000,8300,8021,8009,9103,8014,8345,8347,5011,5008,5008,1,4,800,119,19,11,234,55,72,800,555,39,22,True,1,True,0,0,0,False,0,False,1,False,37,3,1,1,2,11,6,0,0,74,393.53609522286615,1839.829100673
EUW1_7286375639,PARUS,Team BDS,15.2.652.1536,CLASSIC,200,BOTTOM,UTILITY,Renata,2,4,16,4.5,13,True,3107,3190,3869,3170,2055,1028,3364,8489,9693,22706,7608,772,25,24,0,24,97,11,41,9,10,28.266666666666666,8400,8100,8465,8401,8444,8453,8105,8141,5011,5008,5005,7,4,72,62,799,119,800,234,107,78,55,7,33,True,4,True,1,1,1,True,2,True,10,True,22,0,0,0,0,4,3,0,0,9,300.14742420141295,1697.12928815
