Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7263195585,Carlsen,Team Heretics,15.1.648.3927,CLASSIC,200,TOP,TOP,Swain,4,9,1,0.56,14,False,3111,3116,3121,1052,1058,1052,3364,9398,22455,33174,5742,538,36,171,0,171,7,1,6,0,1,27.4,8000,8200,8010,8009,9105,8017,8226,8237,5011,5008,5005,12,4,42,893,85,112,234,31,72,893,897,117,25,True,1,False,1,1,0,False,0,False,4,False,38,3,0,1,0,6,46,0,0,92,342.8729718019374,1644.7275334180001
EUW1_7261819894,Carlsen,Team Heretics,15.1.648.3927,CLASSIC,200,TOP,TOP,Jax,3,2,7,5.0,18,True,0,6631,6333,3173,3078,0,3340,12932,20782,31307,6440,1103,26,244,12,256,20,2,13,3,2,31.283333333333335,8400,8300,8437,8446,8444,8451,8345,8347,5011,5008,5005,12,4,62,121,11,85,555,91,876,75,7,62,22,True,4,True,1,1,1,True,1,True,6,True,21,0,0,0,0,4,98,0,2,58,413.34927089765915,1877.236210106
EUW1_7261096614,Carlsen,Team Heretics,15.1.647.8644,CLASSIC,100,TOP,TOP,Rumble,7,6,2,1.5,15,False,6653,3157,3111,4645,0,0,3364,11535,21971,26529,1338,891,7,203,10,213,16,1,5,4,0,30.0,8200,8400,8229,8275,8233,8237,8444,8451,5011,5008,5008,12,4,799,555,60,98,22,24,30,238,-1,110,18,True,1,True,0,0,0,False,0,False,2,False,24,3,1,1,3,11,26,0,1,87,384.33860086218385,1800.7828761960002
EUW1_7261017050,Carlsen,Team Heretics,15.1.647.8644,CLASSIC,100,TOP,TOP,Gnar,2,5,5,1.4,15,False,3078,3047,3053,1057,1043,1043,3364,10687,18060,24031,2512,526,25,207,4,211,13,1,6,3,1,27.083333333333332,8400,8000,8437,8446,8473,8451,9104,8017,5011,5008,5005,12,4,42,98,555,72,-1,7,799,119,30,234,20,False,1,False,1,1,0,False,0,False,6,True,32,3,0,1,1,10,6,0,1,69,394.5962183987602,1625.1390676550002
EUW1_7260965085,Carlsen,Team Heretics,15.1.647.8644,CLASSIC,100,TOP,TOP,Gragas,2,3,2,1.33,13,False,3171,4629,3121,2055,0,1027,3364,8130,12439,16705,5097,834,34,186,4,190,11,1,5,1,0,23.216666666666665,8200,8000,8229,8226,8210,8237,8009,9105,5011,5008,5008,12,4,7,72,77,91,98,112,35,40,799,58,8,True,1,True,0,0,0,False,0,False,2,True,31,1,1,0,1,8,4,0,1,87,350.16845114128625,1393.13903995
EUW1_7260904574,Carlsen,Team Heretics,15.1.647.8644,CLASSIC,100,TOP,TOP,Ambessa,1,2,1,1.0,15,False,1054,3161,6692,2055,3111,3133,3364,9353,11196,15695,2360,900,6,232,0,232,7,1,4,0,0,24.2,8000,8400,8010,9111,9105,8299,8401,8444,5011,5008,5008,12,4,42,420,112,98,57,150,112,72,134,555,10,False,2,False,1,1,0,False,0,False,3,False,13,2,0,0,1,9,14,0,1,91,386.2493851152809,1452.985171067
EUW1_7260850016,Carlsen,Team Heretics,15.1.647.8644,CLASSIC,100,TOP,TOP,Ambessa,4,6,2,1.0,14,False,3161,3133,6692,2019,1001,1037,3364,10006,14875,23022,3428,337,11,183,2,185,5,1,3,1,1,26.483333333333334,8400,8100,8437,8401,8444,8451,8143,8106,5011,5008,5008,12,4,77,-1,131,58,555,62,53,92,555,112,9,False,0,False,1,1,1,True,0,False,3,False,23,4,0,0,1,6,48,0,0,60,377.63735358151365,1589.9051627990002
EUW1_7260812072,Carlsen,Team Heretics,15.1.647.8644,CLASSIC,200,MIDDLE,JUNGLE,Viego,11,2,16,13.5,16,True,6672,3748,2422,2055,6333,0,3364,12247,23377,30460,17408,948,15,33,144,177,16,9,2,3,1,24.433333333333334,8000,8300,8010,9111,9104,8299,8304,8347,5001,5008,5005,11,4,119,122,427,24,526,897,555,112,62,246,39,False,1,True,1,1,0,False,1,True,8,True,18,2,0,0,0,2,21,0,5,6,501.1218718897842,1466.429161815
EUW1_7259868718,Carlsen,Team Heretics,14.24.644.2327,CLASSIC,100,JUNGLE,TOP,Jax,12,3,9,7.0,16,True,2055,3157,3078,3047,6610,3091,3340,15501,30997,30187,7819,705,21,209,12,221,25,2,9,1,1,26.516666666666666,8400,8200,8437,8446,8444,8451,8226,8237,5011,5008,5005,12,4,799,51,119,777,134,30,112,119,-1,72,40,False,1,False,1,1,0,False,1,True,8,True,31,3,0,0,0,3,14,0,3,73,584.2858883767901,1591.837893865
EUW1_7257581484,Carlsen,Team Heretics,14.24.644.2327,CLASSIC,100,TOP,TOP,Renekton,6,7,2,1.14,15,False,1055,6631,6692,3047,3066,1031,3340,10584,19087,31039,5824,391,26,206,4,210,10,0,6,1,0,24.65,8000,8400,8010,9111,9104,8299,8473,8451,5011,5008,5008,12,4,81,112,799,72,84,799,84,119,112,72,18,True,1,False,0,0,0,False,0,False,3,True,30,2,1,1,2,9,43,0,3,94,429.2537271702296,1479.494288114
EUW1_7256152244,Carlsen,Team Heretics,14.24.644.2327,CLASSIC,100,JUNGLE,TOP,Rumble,10,3,9,6.33,17,True,3111,0,3135,1058,6653,4645,3364,13869,41561,18278,3708,538,21,209,13,222,22,3,8,2,3,26.683333333333334,8000,8300,8010,9111,9105,8017,8313,8347,5011,5008,5008,12,4,91,245,6,107,72,107,254,62,64,893,42,True,3,True,1,1,1,True,2,True,10,True,23,1,0,0,0,2,18,0,6,86,519.6356084652452,1601.4980808290002
EUW1_7255604927,Carlsen,Team Heretics,14.24.644.2327,CLASSIC,100,JUNGLE,TOP,Camille,10,4,6,4.0,16,True,1055,3074,3078,1001,6333,1036,3364,14043,30968,33931,15223,544,28,193,12,205,10,0,4,2,0,25.7,8400,8200,8437,8401,8444,8451,8226,8210,5011,5008,5005,12,4,35,5,119,897,893,119,166,200,9,103,39,True,3,True,1,1,1,True,2,True,10,True,21,0,0,0,0,5,21,0,3,72,546.338522049994,1542.3143851490001
EUW1_7254854569,Carlsen,Team Heretics,14.24.644.2327,CLASSIC,100,MIDDLE,TOP,Aatrox,6,2,7,6.5,14,True,1055,6631,3071,3111,3134,0,3364,10104,19533,24741,10410,455,22,186,2,188,8,0,4,0,0,21.816666666666666,8400,8100,8437,8446,8444,8451,8143,8120,5011,5008,5008,12,4,84,72,245,80,37,112,72,897,20,555,33,False,2,True,1,1,0,False,1,True,10,True,14,0,0,0,0,1,6,0,3,70,462.98272317405514,1309.459718942
EUW1_7254810737,Carlsen,Team Heretics,14.24.644.2327,CLASSIC,200,TOP,TOP,Rumble,9,4,4,3.25,12,True,1056,3157,3047,2055,6653,0,3364,9015,18944,16469,773,727,10,136,0,136,15,4,6,1,2,20.333333333333332,8200,8400,8229,8275,8233,8237,8444,8451,5011,5008,5008,12,4,26,166,55,799,91,893,555,30,234,91,37,True,2,True,1,1,0,False,0,False,3,False,18,0,0,0,0,1,26,0,1,78,443.2363324863931,1220.4327512690002
