Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300533160,Flakked,Team Heretics,15.3.654.407,CLASSIC,200,JUNGLE,BOTTOM,KogMaw,6,10,1,0.7,13,False,6675,3124,3170,1043,1042,0,3363,9750,20901,21766,1521,489,0,186,0,186,13,0,7,2,0,24.916666666666668,8000,8400,8008,8009,9104,8017,8451,8429,5001,5008,5005,4,21,7,800,58,893,72,799,27,60,26,112,22,True,0,False,0,0,0,False,0,False,1,True,37,4,1,0,2,10,69,0,0,78,391.1235687983758,1495.7913674440001
EUW1_7300436482,Flakked,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Mel,9,3,11,6.67,16,True,3089,1056,0,6655,4645,3175,3363,13326,29066,14381,1099,995,45,197,7,204,18,2,9,3,2,28.55,8200,8000,8229,8226,8210,8237,9105,8017,5001,5008,5005,4,12,799,555,69,92,119,119,24,555,62,122,34,False,2,False,1,1,1,True,3,True,11,True,18,1,0,0,0,2,73,0,1,73,466.6312953589638,1713.58297925
EUW1_7300328257,Flakked,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Viego,9,1,6,15.0,14,True,0,6610,3078,1028,3173,0,3364,10770,15063,32874,21974,804,21,22,154,176,18,0,5,2,0,20.8,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,4,11,126,107,246,555,85,62,8,517,126,77,22,True,2,True,1,1,0,False,0,False,4,True,9,0,0,0,0,1,25,0,0,6,517.3759620164847,1249.006571631
EUW1_7300274663,Flakked,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Draven,9,9,6,1.67,17,False,1018,3072,3036,3009,3031,6676,3363,16058,21019,28312,7703,467,12,285,14,299,32,4,16,6,4,35.25,8000,8300,8008,8009,9104,8017,8345,8347,5001,5008,5005,4,1,799,103,8,897,555,7,84,800,126,85,31,False,1,True,1,1,0,False,0,False,3,False,41,4,0,1,4,10,135,1,0,78,455.5143739666099,2115.248022836
EUW1_7300231569,Flakked,Team Heretics,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Jinx,13,2,6,9.5,15,True,0,3172,3032,3085,3031,3035,3363,15296,30458,13288,6497,725,17,248,12,260,24,3,10,6,3,24.5,8000,8200,8008,8009,9103,8017,8233,8236,5001,5008,5005,4,21,799,7,78,166,897,234,799,555,800,119,30,True,3,True,1,1,0,False,1,True,9,True,19,0,0,0,0,3,7,0,0,77,624.0949953469684,1470.6137096
EUW1_7299968621,Flakked,Team Heretics,15.3.654.407,CLASSIC,200,TOP,TOP,Yone,7,3,12,6.33,17,True,6673,1055,1018,3047,3153,6672,3364,15615,32762,27449,11669,615,26,243,20,263,16,2,7,1,2,29.966666666666665,8000,8400,8008,9101,9104,8299,8401,8444,5011,5008,5005,4,12,800,799,142,143,62,112,56,42,893,-1,25,False,2,False,0,0,1,True,2,True,10,False,17,2,1,0,0,5,13,0,1,84,520.8549545983194,1798.779177588
EUW1_7299953005,Flakked,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,TOP,Mel,5,4,6,2.75,16,False,2055,2503,3009,6653,4645,0,3363,11608,36524,17487,2116,959,68,237,0,237,15,3,10,0,2,28.966666666666665,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,4,12,60,950,799,42,119,350,117,902,910,16,35,True,3,False,1,1,0,False,0,False,1,False,34,1,0,1,3,13,15,0,0,83,400.59477618096935,1738.663636487
EUW1_7299936015,Flakked,Team Heretics,15.3.654.407,CLASSIC,200,TOP,BOTTOM,Aphelios,4,12,2,0.5,13,False,3032,3031,0,3006,0,0,3363,9118,15060,19116,919,210,13,159,12,171,25,1,8,8,1,24.55,8000,8200,8008,8009,9104,8017,8233,8236,5011,5008,5005,4,1,799,55,-1,800,-1,53,38,122,-1,29,13,False,0,False,1,1,0,False,0,False,0,False,42,3,0,0,2,11,13,1,1,57,371.17083440446504,1473.9449868220001
EUW1_7299913850,Flakked,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Draven,4,7,4,1.14,12,False,3072,3031,3006,0,1018,3123,3363,10943,16791,23729,8256,348,6,198,0,198,17,0,8,4,0,25.116666666666667,8000,8200,8008,8009,9104,8017,8233,8236,5011,5008,5005,4,21,58,800,555,107,-1,555,62,897,-1,526,10,False,1,True,0,0,0,False,0,False,3,False,18,2,1,0,0,3,27,0,0,69,435.39139153365704,1508.0539572100001
EUW1_7299884613,Flakked,Team Heretics,15.3.654.407,CLASSIC,100,NONE,TOP,Xayah,2,0,4,6,11,True,6675,0,0,1055,3508,3006,3363,7793,8307,6635,2380,0,12,149,10,159,12,3,7,1,3,15.233333333333333,8000,8200,8008,8009,9103,8017,8233,8236,5011,5008,5005,4,21,-1,99,80,58,60,84,117,72,800,122,15,False,1,False,0,0,0,False,0,False,4,True,3,1,0,0,0,0,7,0,0,102,511.1522651038206,914.7920287180001
