Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300436482,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Leona,0,6,19,3.17,13,True,3869,3009,3190,3066,1031,2055,3364,8240,8323,22676,2591,612,73,20,0,20,92,15,40,8,13,28.55,8400,8300,8439,8463,8473,8451,8306,8345,5011,5001,5007,4,14,799,555,69,92,119,119,24,555,62,122,34,False,2,False,1,1,1,True,3,True,11,True,18,1,0,0,0,2,54,0,0,6,288.5394036499502,1713.58297925
EUW1_7300401554,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Yone,7,3,1,2.67,12,True,1054,3006,3153,1037,6670,2055,3364,7585,11616,12638,2288,270,8,120,2,122,15,4,8,1,3,15.6,8000,8400,8008,9101,9104,8299,8444,8446,5011,5008,5005,4,12,799,555,80,800,35,62,60,799,800,42,16,True,0,False,0,0,0,False,0,False,1,True,8,1,0,0,0,0,5,0,4,64,485.88027121928934,936.7428763270001
EUW1_7299811999,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,BOTTOM,MIDDLE,Sylas,1,8,6,0.88,14,False,1054,6655,3020,4646,1058,2055,3364,9256,10369,22109,1823,343,11,215,0,215,20,5,7,2,4,24.883333333333333,8100,8400,8112,8143,8137,8135,8446,8444,5011,5008,5008,4,12,119,203,-1,126,166,72,117,39,107,51,22,False,3,True,0,0,0,False,0,False,4,True,38,0,1,0,1,9,36,0,1,78,371.74263708652524,1494.0439657470001
EUW1_7299766269,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Jax,7,7,5,1.71,13,False,1055,3078,6610,3111,1057,1033,3340,10817,16603,20206,2086,324,19,162,0,162,20,5,12,2,5,22.083333333333332,8000,8400,8008,8009,9104,8299,8473,8242,5011,5008,5005,4,12,78,166,20,77,58,78,166,60,39,72,14,False,0,False,0,0,0,False,0,False,2,False,28,2,1,0,0,6,13,0,1,71,489.6950988968288,1325.400898806
EUW1_7299704261,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Yone,9,5,6,3.0,17,True,3143,3006,3153,6673,3031,1011,3364,15954,30719,36235,13421,513,24,266,24,290,24,5,7,5,4,30.416666666666668,8000,8400,8008,9111,9104,8299,8444,8446,5001,5008,5005,4,12,166,799,80,76,800,555,64,-1,7,107,29,True,2,True,1,1,1,True,2,True,9,True,16,1,0,0,0,2,20,0,3,85,524.4581988527179,1825.2005752680002
EUW1_7299566553,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Aurora,9,4,11,5.0,18,True,3089,4646,6655,3020,3916,0,3364,15143,33787,25812,4556,961,10,280,1,281,30,4,7,5,4,30.333333333333332,8100,8000,8112,8143,8140,8106,8017,8009,5011,5008,5005,4,12,800,166,432,122,72,800,31,555,62,89,32,False,4,True,1,1,1,True,0,False,6,True,22,0,0,0,0,4,22,0,2,87,499.1610216791161,1820.329746889
EUW1_7299430342,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Yone,7,10,1,0.8,13,False,1038,3006,3153,6673,1037,1018,3364,10753,19082,27152,3926,409,16,171,8,179,14,3,8,0,3,24.183333333333334,8300,8000,8369,8321,8313,8347,9105,8017,5011,5008,5005,4,12,526,234,42,166,799,72,117,161,69,234,18,False,0,False,1,1,0,False,0,False,2,False,36,3,0,0,1,10,11,0,0,79,444.49518218156913,1451.621514466
EUW1_7298619439,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Mel,1,6,1,0.33,11,False,1056,3020,3040,1082,2022,2022,3363,6480,12312,11963,108,536,25,166,1,167,17,3,8,2,3,19.233333333333334,8200,8000,8229,8226,8210,8237,8009,8017,5011,5008,5005,4,12,136,42,555,166,68,60,35,799,119,72,9,False,0,False,0,0,0,False,0,False,1,False,22,1,1,0,0,6,9,0,0,96,336.8727972700625,1154.1842340350001
EUW1_7298603584,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Yone,4,7,1,0.71,16,False,3031,3006,3091,2055,6673,0,3364,11571,16586,27814,2253,555,11,248,0,248,29,6,10,3,5,26.4,8400,8000,8437,8446,8473,8451,9104,8299,5011,5008,5005,4,12,555,166,72,22,30,234,238,555,7,24,21,True,0,False,1,1,0,False,0,False,3,False,47,3,0,0,3,10,6,0,1,86,438.2056425944451,1584.4223910960002
EUW1_7298575532,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Aurora,23,3,6,9.67,17,True,3175,3118,3089,1026,4646,4630,3364,16183,43795,23049,6238,1056,12,199,4,203,34,7,9,3,7,27.233333333333334,8100,8000,8112,8143,8140,8106,8017,8009,5011,5008,5005,4,12,-1,60,166,89,555,800,110,7,234,897,52,True,3,True,1,1,1,True,3,True,11,False,22,0,0,0,0,2,7,0,5,86,594.162460656643,1634.2592676410002
EUW1_7298537749,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,BOTTOM,Kalista,9,7,5,2.0,14,True,1055,3153,3006,3124,1043,1042,3363,10934,28143,15876,4517,305,15,148,4,152,16,2,8,2,2,22.466666666666665,8000,8100,8008,9111,9104,8299,8143,8135,5011,5008,5005,4,21,84,143,119,150,-1,-1,555,234,22,-1,41,False,1,False,1,1,0,False,1,True,9,True,24,2,0,0,0,0,6,0,1,53,486.36379116317806,1348.904568481
EUW1_7298490701,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Smolder,6,5,4,2.0,16,False,3139,3031,3508,3094,3158,0,3363,14374,28501,25877,6561,536,11,300,11,311,29,4,12,7,4,29.883333333333333,8400,8300,8437,8446,8473,8451,8304,8345,5011,5008,5005,4,12,166,800,76,126,81,30,72,-1,555,60,16,True,2,True,0,0,0,False,0,False,2,False,31,2,1,1,3,10,4,0,2,88,480.9192281714414,1793.3655265210002
EUW1_7298401779,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Mel,16,4,3,4.75,18,False,4629,3040,3157,3041,4628,3089,3363,19683,38227,29801,8591,786,51,309,12,321,46,2,16,7,2,35.78333333333333,8200,8000,8229,8226,8210,8237,8009,8014,5001,5008,5007,4,12,103,555,119,58,166,234,799,117,114,72,25,False,1,True,1,1,0,False,0,False,2,False,30,4,0,1,1,9,20,0,6,77,549.8985130634825,2147.65225436
EUW1_7298358497,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Ezreal,3,4,3,1.5,13,False,1055,3158,3078,3042,0,0,3363,8407,15491,16066,4160,709,0,172,0,172,14,3,10,2,3,20.3,8000,8300,8005,8009,9103,8014,8345,8304,5011,5008,5005,4,12,60,234,-1,119,166,800,62,91,119,420,14,True,2,True,0,0,0,False,0,False,1,False,32,1,1,0,1,10,3,0,0,70,414.0362123330256,1218.3136680730001
EUW1_7298152028,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Yone,9,9,6,1.67,16,False,1057,3006,6673,3153,3031,1011,3364,14838,32115,30857,6063,322,25,222,9,231,25,5,9,2,4,28.916666666666668,8000,8400,8008,9111,9104,8299,8444,8446,5011,5008,5005,4,12,157,117,-1,-1,107,72,238,800,34,555,26,False,0,False,0,0,0,False,0,False,3,False,52,4,1,1,1,9,101,0,1,71,513.0418870088243,1735.3652042980002
EUW1_7298103836,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Yone,9,0,1,10,16,True,3031,3006,3153,6673,0,0,3364,13363,31775,17835,9161,0,25,235,11,246,23,6,11,2,6,22.316666666666666,8000,8400,8008,9101,9104,8299,8444,8446,5011,5008,5005,4,12,107,799,555,112,-1,84,234,42,266,800,20,False,0,False,1,1,0,False,2,True,10,True,7,2,0,0,0,1,12,0,6,93,598.7801091029153,1339.11256011
EUW1_7297596694,Kamiloo,Team Heretics,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Tristana,0,3,2,0.67,12,False,1055,1038,1042,1037,1001,6672,3340,7225,7421,11689,2315,420,3,162,2,164,11,0,7,1,0,19.483333333333334,8000,8400,8005,9111,9104,8017,8446,8473,5011,5008,5005,4,12,254,92,143,800,166,10,53,164,234,107,9,False,0,False,0,0,0,False,0,False,1,False,17,2,1,0,0,5,5,0,0,74,370.63133897541144,1169.7621388710002
