Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301063805,Sheo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Skarner,5,7,13,2.57,16,False,3065,2502,3084,3076,1031,3111,3364,11894,28735,58781,15204,583,58,27,168,195,39,3,5,9,3,31.633333333333333,8400,8300,8439,8401,8429,8451,8347,8304,5001,5001,5007,11,4,29,107,91,555,800,119,42,77,126,234,27,False,1,False,0,0,0,False,0,False,4,False,48,3,1,1,1,10,57,0,1,0,375.90977465180595,1898.4448729380001
EUW1_7300977404,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Viego,9,3,9,6.0,18,True,6672,3748,0,3091,3053,3173,3364,16960,25445,43110,28927,471,31,75,224,299,42,8,8,10,5,30.883333333333333,8000,8300,8010,9111,9104,8014,8347,8304,5001,5008,5005,11,4,254,112,107,35,-1,112,119,35,91,799,32,True,3,True,1,1,1,True,2,True,11,False,23,0,0,0,0,6,3,0,0,0,548.8935394089774,1854.015391415
EUW1_7300919438,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Belveth,4,5,2,1.2,17,True,6672,6631,1057,1043,1043,3174,3364,12318,8624,33480,17144,524,14,31,201,232,24,0,1,5,0,26.25,8000,8300,8010,9111,9104,8014,8347,8304,5001,5008,5005,11,4,51,800,114,107,72,429,119,112,35,126,22,True,3,False,1,1,1,True,4,True,11,True,18,1,0,0,0,1,9,0,2,2,469.1230937524373,1575.513496283
EUW1_7300710432,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,LeeSin,10,7,7,2.43,15,False,6333,3044,6692,6610,3067,3047,3340,13406,30922,42990,20907,420,30,43,144,187,36,5,15,4,5,29.016666666666666,8000,8300,8010,9111,9105,8299,8347,8304,5001,5008,5005,11,4,799,7,800,107,42,42,234,126,800,429,26,False,1,True,0,0,0,False,0,False,5,False,30,3,1,1,2,9,4,0,1,2,461.96272040166144,1741.2185255460001
EUW1_7300647398,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Azir,1,6,10,1.83,18,False,6653,3157,3089,3115,1011,3006,3363,15671,35478,32389,2184,644,19,302,8,310,26,3,16,2,3,35.55,8400,8000,8437,8446,8473,8451,8009,9104,5001,5008,5005,12,4,800,234,42,126,72,800,42,166,136,799,33,False,3,False,0,0,1,False,0,False,7,False,36,2,1,1,1,8,7,0,0,81,440.7985540446766,2133.197273016
EUW1_7300592535,Sheo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Viego,7,8,6,1.62,16,False,6610,3091,6672,1028,1028,3111,3364,11718,23626,44936,23509,388,21,23,165,188,19,4,5,0,3,29.016666666666666,8000,8300,8010,9111,9104,8014,8347,8304,5001,5008,5005,11,4,62,81,107,800,555,7,800,122,119,555,22,True,3,True,0,0,0,False,0,False,3,True,38,2,1,1,2,10,44,0,1,0,403.83033206503336,1741.1013374220001
EUW1_7300536441,Sheo,Team Heretics,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Diana,3,5,3,1.2,11,False,6653,0,3115,1028,1052,2422,3364,7667,13792,23075,9754,813,10,9,127,136,24,2,3,4,2,20.55,8000,8300,8010,9111,9104,8299,8347,8304,5001,5008,5005,11,4,107,81,24,800,42,799,800,77,126,78,14,True,2,True,0,0,0,False,0,False,2,True,21,1,1,0,0,3,49,0,1,4,372.9370483275739,1233.575447629
EUW1_7300479199,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,LeeSin,8,6,10,3.0,14,True,6610,3111,6692,1028,1029,1029,3340,10724,23625,32328,17115,457,21,5,152,157,27,5,11,2,4,24.133333333333333,8000,8300,8010,9111,9105,8299,8347,8304,5001,5008,5005,11,4,897,107,7,81,799,72,51,35,555,126,27,False,0,False,1,1,0,False,0,False,4,True,18,2,0,0,0,1,9,0,0,1,444.0691008405929,1449.0324278940002
EUW1_7300419737,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Kayn,5,8,3,1.0,14,False,3071,3140,3067,6697,3211,3111,3364,11766,13728,48437,21457,561,27,31,177,208,28,4,7,3,4,30.333333333333332,8000,8300,8010,9111,9105,8299,8347,8304,5001,5008,5008,11,4,54,107,126,58,7,42,112,555,897,32,19,False,1,False,1,1,0,False,0,False,6,True,35,4,0,1,1,7,43,1,0,2,387.8689717003356,1820.169583539
EUW1_7300204528,Sheo,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Viego,13,4,10,5.75,15,True,6672,3748,6333,1028,0,3173,3364,14055,28730,42619,27001,401,24,44,160,204,29,10,6,6,4,24.716666666666665,8000,8300,8010,9111,9104,8014,8347,8304,5001,5008,5005,11,4,107,119,517,910,126,27,893,62,122,119,39,True,4,True,1,1,0,False,2,True,10,True,21,0,0,0,0,2,24,0,1,7,568.4523373921583,1483.5310609990001
