Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301075254,Stend,Team Heretics,15.3.654.407,CLASSIC,100,MIDDLE,UTILITY,Rakan,2,4,19,5.25,13,True,3876,3107,3190,2055,3158,3067,3364,8758,9909,23405,10940,669,32,23,0,23,79,12,37,8,10,27.983333333333334,8400,8100,8465,8463,8444,8451,8141,8106,5011,5008,5008,4,14,60,76,40,800,31,86,91,234,122,42,35,False,1,False,1,1,1,True,2,True,10,False,19,2,0,0,0,4,62,0,0,12,312.9657165706128,1679.2249003420002
EUW1_7301009402,Stend,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Elise,6,8,20,3.25,15,True,3877,4646,3157,2055,3176,1058,3364,12855,26261,29508,7377,395,34,44,0,44,119,20,57,9,19,35.06666666666667,8100,8000,8112,8126,8141,8105,9111,8014,5011,5008,5008,4,14,104,119,897,40,7,107,200,21,53,126,38,True,3,False,1,1,1,True,3,True,11,True,36,2,0,0,0,2,59,0,0,11,366.41288154459056,2105.096761503
EUW1_7300938129,Stend,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Pyke,8,4,16,6.0,15,True,3877,3176,3142,2019,3179,3133,3364,12264,17031,25814,7352,1159,37,37,0,37,124,10,57,23,10,34.38333333333333,8100,8400,9923,8126,8141,8106,8444,8451,5011,5008,5008,4,14,254,234,40,112,799,800,119,80,78,35,44,True,2,False,1,1,1,True,1,True,11,True,25,2,0,0,0,5,49,0,0,9,356.59187629146237,2063.702292687
EUW1_7300451352,Stend,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Pantheon,9,13,13,1.69,16,True,3877,6692,3176,2055,3071,3156,3364,14375,29549,41428,4333,429,41,64,0,64,135,19,64,14,17,38.95,8000,8100,8005,9111,9105,8014,8126,8105,5001,5008,5008,4,14,799,34,800,40,134,119,72,143,117,114,41,False,4,False,0,0,1,False,3,True,10,False,51,2,1,1,1,9,27,0,1,15,368.965687444084,2337.6535397840003
EUW1_7300390693,Stend,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Rakan,3,2,28,15.5,14,True,3876,3107,3190,0,3171,3067,3364,10069,10861,27572,16604,798,51,21,0,21,84,9,39,11,9,27.933333333333334,8300,8100,8351,8321,8345,8347,8137,8106,5001,5008,5007,4,14,40,119,84,72,122,119,234,800,555,897,38,True,4,True,0,0,1,True,1,True,8,True,23,0,1,0,0,4,14,0,0,9,360.3900636233543,1676.484781397
EUW1_7300254102,Stend,Team Heretics,15.3.654.407,CLASSIC,100,JUNGLE,UTILITY,Pantheon,4,12,20,2.0,16,False,3877,3176,6692,2055,3071,3156,3364,12584,31122,43858,3744,457,43,33,12,45,144,14,68,13,13,41.05,8000,8100,8005,9111,9105,8014,8126,8105,5001,5008,5008,4,14,800,112,72,92,40,800,92,201,122,166,40,True,2,False,0,0,1,True,0,False,5,True,54,4,1,1,1,8,33,0,1,7,306.4885084856522,2463.5844774800003
EUW1_7300207634,Stend,Team Heretics,15.3.654.407,CLASSIC,200,NONE,UTILITY,Thresh,1,5,3,0.8,8,False,3866,0,2031,2055,3009,3067,3364,3690,2016,12416,527,272,14,17,0,17,10,4,7,1,3,15.3,8300,8400,8351,8306,8345,8347,8444,8451,5001,5008,5008,4,14,157,40,119,800,72,119,62,24,800,112,11,False,0,False,0,0,0,False,0,False,0,False,20,1,0,0,0,4,79,0,0,9,240.97700871565183,918.811639537
EUW1_7300119884,Stend,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Rakan,2,3,18,6.67,14,True,3876,3107,3190,2055,3158,3067,3364,8730,9975,21879,9550,693,33,23,4,27,99,10,45,13,8,29.0,8400,8100,8465,8463,8473,8451,8141,8106,5011,5008,5008,4,14,72,110,200,799,40,234,72,86,246,126,28,False,1,False,0,0,1,True,2,True,8,True,25,3,1,0,0,4,9,0,0,6,301.0207471593622,1740.1208568240002
EUW1_7299762014,Stend,Team Heretics,15.3.654.407,CLASSIC,200,BOTTOM,UTILITY,Pyke,10,10,12,2.2,13,True,3877,3176,3142,0,3814,1036,3364,10801,17276,26358,5457,397,24,16,0,16,80,12,37,8,11,27.533333333333335,8100,8400,9923,8126,8141,8106,8444,8451,5001,5008,5008,4,14,119,799,234,800,40,107,35,126,268,117,41,False,4,True,1,1,1,True,1,True,9,True,22,0,0,0,0,3,25,0,0,6,392.1083525277985,1652.910167902
EUW1_7299709153,Stend,Team Heretics,15.3.654.407,CLASSIC,100,BOTTOM,UTILITY,Pantheon,5,8,14,2.38,13,False,3877,3170,6692,2055,3071,0,3364,9174,22268,27017,2332,566,32,34,0,34,76,11,40,3,9,28.033333333333335,8000,8100,8005,9111,9105,8014,8126,8105,5001,5008,5008,4,14,60,40,84,143,266,107,42,24,78,555,30,True,1,False,1,1,0,False,0,False,1,False,39,3,0,1,2,8,42,0,0,10,327.1539554172295,1682.604634924
