Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301080237,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Kaisa,4,10,4,0.8,14,False,1055,3006,3124,6672,3108,1026,3363,10795,15935,24206,1796,330,3,223,0,223,18,1,10,5,1,27.15,8000,8300,8008,8009,9103,8017,8347,8345,5001,5008,5005,4,21,-1,166,72,555,107,119,11,-1,234,157,19,True,0,False,0,0,0,False,0,False,3,True,37,4,1,1,1,8,48,0,0,71,397.54759848319554,1629.378446135
EUW1_7299737029,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Varus,8,2,9,8.5,13,True,1055,3142,3158,3042,6695,1036,3363,11676,30177,12246,2658,1025,24,188,4,192,15,2,10,1,2,25.016666666666666,8200,8300,8229,8226,8210,8236,8304,8347,5001,5008,5005,4,21,107,555,238,432,799,111,76,84,893,555,31,True,3,True,1,1,0,False,1,True,8,True,12,1,0,0,0,2,25,0,0,71,466.5303988760841,1501.68532888
EUW1_7299680645,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Caitlyn,2,5,3,1.0,13,False,6676,3031,1042,1055,0,3006,3363,8981,8871,14172,1820,745,15,195,4,199,15,1,7,5,1,22.533333333333335,8000,8200,8008,8009,9103,8017,8236,8233,5001,5008,5005,4,1,72,117,166,800,893,-1,55,-1,555,777,13,True,2,True,0,0,0,False,0,False,3,True,29,1,1,0,0,4,26,0,0,75,398.4188081368913,1352.565217478
EUW1_7299595832,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Kaisa,17,8,9,3.25,18,False,3089,3157,6672,3115,3020,3124,3363,19376,58181,34215,6936,658,7,268,25,293,36,1,15,8,1,38.88333333333333,8000,8300,8008,8009,9103,8017,8347,8345,5011,5008,5005,4,21,-1,89,84,111,6,72,42,-1,157,122,50,True,2,True,1,1,2,True,1,True,6,False,43,4,0,0,1,8,26,0,6,71,498.21314337336366,2333.493690453
EUW1_7299554710,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Kaisa,6,4,2,2.0,12,False,1055,3124,6672,3006,3051,0,3363,9611,14995,14212,2752,540,1,182,0,182,21,2,8,6,1,20.05,8000,8300,8008,8009,9103,8017,8347,8345,5011,5008,5005,4,1,84,117,432,166,555,72,-1,555,54,800,9,False,2,True,0,0,0,False,0,False,0,False,28,1,1,0,0,6,20,2,0,74,479.0778112217036,1203.780508597
EUW1_7299507695,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Caitlyn,6,5,7,2.6,14,True,1055,3086,3031,3006,3144,6676,3363,10817,18000,13208,3463,506,19,185,5,190,17,2,10,4,2,22.216666666666665,8000,8200,8008,8009,9103,8017,8236,8233,5011,5008,5005,4,21,72,107,84,40,555,893,40,799,119,897,30,False,1,False,1,1,0,False,0,False,5,False,18,1,0,0,0,1,13,0,1,66,486.79035396191176,1333.314201699
EUW1_7298832444,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Mel,4,5,3,1.4,12,False,6655,3040,3108,1056,3020,0,3363,9132,25301,14258,1401,465,36,191,0,191,16,2,9,4,2,24.45,8200,8000,8229,8226,8210,8237,8009,8017,5001,5008,5005,4,12,-1,126,203,164,62,42,2,112,876,30,13,False,0,False,1,1,0,False,0,False,2,True,24,4,0,0,0,3,16,0,0,70,373.47534805216014,1467.184720696
EUW1_7298325924,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,15,12,20,2.92,18,True,6694,3072,3042,3078,3158,3161,3363,20486,71124,49875,12695,343,9,294,18,312,45,3,16,14,3,46.333333333333336,8000,8300,8008,8009,9103,8017,8316,8304,5011,5008,5005,4,21,122,119,117,800,60,163,800,429,200,893,54,True,2,False,0,0,1,True,3,False,10,False,43,4,1,1,4,8,9,0,1,64,442.03435847024207,2780.7922157430003
EUW1_7298228699,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Mel,14,2,5,9.5,17,True,1056,1058,3040,3020,4645,6655,3363,15123,35024,14839,2678,567,52,258,12,270,27,4,14,4,4,30.45,8200,8000,8229,8226,8210,8236,8009,8017,5011,5008,5005,4,12,102,799,91,7,72,555,799,84,60,126,37,False,2,True,0,0,1,True,3,True,11,False,20,1,1,0,0,4,12,0,3,68,496.5742902311589,1827.3862445060001
EUW1_7298167479,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,TOP,JUNGLE,Braum,1,3,30,10.33,14,True,2055,3869,3190,3009,1057,3075,3364,8769,12496,22387,4274,520,55,14,0,14,84,6,45,5,5,28.55,8400,8300,8465,8446,8444,8451,8410,8345,5011,5010,5005,4,7,800,161,72,157,114,62,42,119,7,897,35,True,1,False,1,1,1,True,1,True,8,True,25,2,0,0,0,3,21,0,0,7,307.00460535296656,1713.940532305
EUW1_7298125120,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,NONE,TOP,Mel,7,2,6,6.5,12,True,1056,3145,3040,3020,0,6655,3363,9554,16032,7038,279,674,25,162,6,168,13,2,9,1,2,19.183333333333334,8200,8000,8229,8226,8210,8236,8017,8009,5011,5008,5005,4,12,35,114,-1,62,7,119,7,81,-1,131,25,True,0,False,1,1,0,False,0,False,3,True,13,2,0,0,0,1,7,0,0,80,497.6974775372347,1151.818511931
EUW1_7298075177,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Syndra,9,9,4,1.44,15,False,1056,3089,2503,3020,4629,4630,3363,13752,29917,24453,1012,382,53,231,0,231,20,3,8,1,2,28.016666666666666,8200,8000,8229,8226,8210,8237,9105,8017,5011,5008,5005,4,12,555,55,234,80,897,62,72,119,8,58,24,False,1,False,0,0,0,False,0,False,5,True,49,2,1,1,2,10,19,0,1,67,490.82677918331655,1681.187639019
EUW1_7297554732,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Draven,12,8,8,2.5,17,True,3047,3094,3072,1036,3036,3031,3363,16301,32547,25344,9670,419,14,204,32,236,23,4,13,2,4,30.2,8000,8200,8008,8009,9104,8017,8236,8233,5011,5008,5005,4,1,234,120,58,40,-1,42,238,62,55,28,43,False,3,False,1,1,1,True,2,True,11,True,30,1,0,0,0,3,33,1,0,76,539.4870850754245,1812.952270768
EUW1_7297531941,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Lux,3,8,12,1.88,15,False,6655,4646,4630,3020,1026,1056,3363,10395,21440,19274,1367,373,52,218,0,218,35,3,12,5,3,29.733333333333334,8200,8100,8229,8224,8210,8236,8126,8106,5001,5008,5007,4,12,8,59,89,893,42,800,64,893,555,59,26,False,0,False,0,0,0,False,0,False,2,False,42,4,1,1,2,10,83,0,0,74,349.4844502147022,1784.70403536
EUW1_7297249907,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Samira,4,12,6,0.83,15,False,3031,6676,6673,3047,6670,1036,3363,13432,25981,29522,4834,403,4,212,4,216,34,1,10,9,0,34.333333333333336,8000,8100,8010,8009,9103,8017,8139,8135,5011,5008,5005,4,1,800,555,60,72,58,246,7,131,119,-1,30,True,2,False,1,1,0,False,0,False,8,True,33,3,0,2,2,10,12,1,0,61,391.0529054682843,2061.0039979050002
EUW1_7297188599,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,JUNGLE,BOTTOM,Caitlyn,3,4,5,2.0,15,False,1055,6670,3006,3031,3094,6676,3363,13303,33677,22568,8027,694,33,263,16,279,34,4,12,9,3,30.4,8000,8200,8008,8009,9103,8017,8233,8236,5011,5008,5005,4,21,800,799,110,10,55,32,42,69,555,166,22,True,2,True,0,0,0,False,0,False,6,True,25,1,1,1,1,9,25,0,0,100,437.48731116439257,1824.5315777
EUW1_7297144579,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,TOP,TOP,Jax,4,9,5,1.0,13,False,3047,3078,6610,1054,1052,1052,3340,9511,26509,34063,4727,403,25,139,4,143,17,1,10,0,1,24.366666666666667,8400,8300,8437,8446,8444,8451,8345,8347,5011,5008,5005,4,12,126,107,62,799,42,800,72,9,79,112,25,True,1,True,1,1,0,False,0,False,2,False,37,2,0,0,2,9,14,0,0,56,390.26028796709215,1462.3443365140001
EUW1_7296702814,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,4,7,3,1.0,12,False,3042,1036,3078,1055,1036,3158,3363,8362,19982,18426,2815,388,2,172,0,172,19,3,9,5,3,21.75,8000,8300,8005,8009,9103,8017,8316,8304,5001,5008,5005,4,21,72,799,143,-1,40,61,141,800,119,122,11,False,0,False,0,0,0,False,0,False,2,False,26,3,1,0,0,5,3,0,0,73,384.2598788393915,1305.681908271
EUW1_7296659225,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,BOTTOM,BOTTOM,Kaisa,12,6,7,3.17,17,True,6672,2421,3006,3124,3115,1055,3363,14942,33260,22750,4216,559,7,257,1,258,22,4,13,5,4,31.216666666666665,8000,8300,8008,8009,9103,8017,8304,8345,5001,5008,5005,4,1,35,119,427,32,555,800,35,7,126,119,38,True,1,False,1,1,1,True,3,True,11,True,22,3,0,0,0,4,32,1,0,70,478.42279157073705,1873.9422849720002
EUW1_7296062388,Carzzy,Team Vitality,15.3.654.407,CLASSIC,200,JUNGLE,MIDDLE,TwistedFate,4,3,7,3.67,14,True,3111,3100,3086,3144,1056,6657,3363,10094,14652,18190,3305,755,22,191,0,191,26,3,11,7,3,22.683333333333334,8100,8400,8112,8126,8140,8106,8444,8451,5011,5008,5005,4,12,53,234,72,799,800,91,35,234,39,72,26,True,3,True,0,0,0,False,0,False,4,True,14,0,1,0,0,3,10,0,0,77,444.6942327775808,1361.9743720410002
EUW1_7295689678,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Kaisa,7,4,1,2.0,13,False,1055,3124,6672,3006,3108,1026,3363,9420,15491,14169,3014,989,0,176,8,184,15,0,5,2,0,22.633333333333333,8000,8300,8008,8009,9103,8017,8304,8345,5011,5008,5005,4,1,8,799,-1,39,72,19,62,72,234,555,14,True,1,False,0,0,0,False,0,False,1,False,24,2,1,0,1,9,11,2,1,78,416.0329172070463,1358.6725391700002
EUW1_7295635073,Carzzy,Team Vitality,15.3.654.407,CLASSIC,100,BOTTOM,BOTTOM,Caitlyn,5,8,4,1.12,14,False,1055,3086,3006,3031,6676,1042,3363,10284,18301,20530,3649,393,16,189,0,189,15,1,8,3,1,25.55,8000,8200,8008,9111,9103,8017,8236,8233,5011,5008,5005,4,21,92,131,60,799,43,126,800,107,143,111,22,False,0,False,0,0,0,False,0,False,2,True,36,4,1,1,0,6,45,0,1,68,402.3807949675281,1533.581856879
