Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300084981,Czajek,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Zoe,5,1,4,9.0,15,False,3009,6655,4628,4630,3041,1056,3363,10555,22452,12708,1991,585,40,213,2,215,22,1,8,5,1,24.816666666666666,8100,8200,8112,8139,8140,8105,8237,8275,5011,5008,5005,14,4,350,77,119,429,114,777,800,72,799,103,16,True,0,False,0,0,0,False,0,False,1,False,31,3,1,0,2,10,4,0,3,76,425.17352727795657,1489.532082182
EUW1_7299688264,Czajek,Team Vitality,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Katarina,9,8,12,2.62,18,True,3157,3100,4645,3020,0,3135,3364,15775,34944,34041,3112,588,0,226,4,230,26,2,7,4,2,35.93333333333333,8100,8400,8112,8143,8140,8105,8473,8451,5011,5008,5008,12,4,800,89,119,19,51,799,800,412,84,429,31,False,3,False,0,0,2,True,1,True,9,False,30,3,0,0,0,3,14,0,2,77,438.9191380541725,2156.504538575
EUW1_7299652988,Czajek,Team Vitality,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Yone,0,11,1,0.09,10,False,3006,1053,2031,1042,3091,1055,3340,5846,8275,22530,1329,215,14,129,0,129,8,0,5,1,0,19.8,8100,8400,8112,8139,8140,8106,8444,8451,5011,5008,5005,12,4,24,72,800,16,35,799,-1,35,555,429,9,False,1,True,0,0,0,False,0,False,1,False,36,1,1,0,2,10,17,0,0,80,295.0742714398692,1188.8401880380002
EUW1_7299507695,Czajek,Team Vitality,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Mel,1,4,2,0.75,13,False,3013,2503,3040,1052,0,0,3363,7601,11329,16581,1675,813,26,188,0,188,13,3,10,1,3,22.216666666666665,8000,8400,8010,8009,9105,8017,8444,8451,5001,5008,5005,12,4,893,40,799,119,897,72,107,84,40,555,18,True,1,True,0,0,0,False,0,False,1,True,30,1,1,0,0,5,36,0,1,90,342.05225908827657,1333.314201699
EUW1_7297565352,Czajek,Team Vitality,15.3.654.407,CLASSIC,100,NONE,MIDDLE,Mel,1,0,0,1,7,True,3020,1052,1027,2022,0,1056,3340,2964,3079,1395,53,0,9,67,0,67,3,0,3,0,0,7.933333333333334,8200,8000,8229,8226,8210,8237,8017,8009,5011,5008,5005,12,4,799,62,234,-1,526,7,126,39,72,103,3,False,0,False,0,0,0,False,0,False,0,False,2,1,0,0,0,0,1,0,1,67,372.9286140371222,476.92379608000005
EUW1_7284293962,Czajek,Team Vitality,15.2.652.1536,CLASSIC,200,NONE,MIDDLE,Smolder,4,9,1,0.56,12,False,3009,6697,3042,0,0,0,3363,7422,23313,17402,1644,216,9,162,0,162,8,0,5,1,0,19.283333333333335,8200,8000,8229,8226,8210,8237,9105,8017,5011,5008,5005,12,4,800,119,55,72,39,-1,42,166,119,800,15,False,0,False,0,0,0,False,0,False,0,False,32,0,0,0,3,9,10,0,1,72,384.53764639921724,1158.074752924
EUW1_7283680668,Czajek,Team Vitality,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Nautilus,4,7,19,3.29,14,False,3877,2055,3190,3109,2502,3047,3364,11248,13203,36539,3343,701,78,27,0,27,116,13,60,6,11,38.0,8400,8300,8439,8446,8473,8451,8345,8347,5011,5001,5005,14,4,119,800,897,201,72,21,800,62,72,39,40,False,1,False,1,1,2,True,2,True,10,False,35,4,0,0,1,9,90,0,2,12,295.8577486302455,2281.1162495940002
EUW1_7283510533,Czajek,Team Vitality,15.2.652.1536,CLASSIC,100,MIDDLE,MIDDLE,Ahri,5,4,10,3.75,18,True,3171,3118,4628,1058,3100,0,3363,14475,43707,28509,8172,1440,62,250,0,250,29,9,13,5,8,37.1,8200,8000,8230,8226,8210,8237,9105,8017,5011,5008,5005,12,4,777,72,234,85,77,51,234,24,-1,800,31,True,2,True,1,1,1,True,5,True,12,True,26,1,0,1,1,4,29,0,0,84,390.09291599120724,2226.486675567
EUW1_7282931902,Czajek,Team Vitality,15.2.652.1536,CLASSIC,100,BOTTOM,BOTTOM,Smolder,9,3,13,7.33,15,True,3009,6697,3042,3094,6695,1055,3363,13660,38532,16393,5014,631,14,217,7,224,14,3,9,1,3,25.083333333333332,8200,8000,8229,8226,8210,8236,9105,8017,5001,5008,5005,12,4,39,84,143,119,800,799,800,107,81,55,27,False,2,True,1,1,0,False,1,True,8,False,17,1,0,0,0,3,3,0,2,86,544.4463133903051,1505.4635183330001
EUW1_7281311408,Czajek,Team Vitality,15.2.652.1536,CLASSIC,200,MIDDLE,MIDDLE,Sylas,1,11,1,0.18,13,False,0,4629,3057,3111,1082,3113,3363,7064,12243,28529,5346,311,12,147,0,147,12,1,4,2,1,25.5,8100,8000,8112,8143,8140,8106,8009,8017,5011,5008,5008,12,4,429,72,112,555,85,107,893,72,555,800,18,False,1,True,0,0,0,False,0,False,1,False,26,2,1,0,1,9,23,0,0,55,276.84372245558524,1531.03575172
EUW1_7281202760,Czajek,Team Vitality,15.2.652.1536,CLASSIC,100,BOTTOM,UTILITY,Leona,2,2,13,7.5,11,True,2055,3877,2502,3047,1011,1031,3364,7782,11966,15372,2791,968,46,23,0,23,59,2,26,8,1,23.183333333333334,8400,8300,8439,8446,8473,8451,8306,8347,5011,5001,5005,14,4,40,234,201,800,72,800,893,72,8,61,32,False,2,False,1,1,0,False,2,True,10,True,14,1,0,0,0,2,18,0,0,10,335.40891150168613,1392.1433484450001
EUW1_7280473745,Czajek,Team Vitality,15.2.652.1536,CLASSIC,200,BOTTOM,BOTTOM,Lux,13,2,15,14.0,17,True,2420,6655,4646,3089,3135,3020,3363,17465,43495,11869,2564,956,58,259,2,261,23,5,12,3,5,29.883333333333333,8200,8000,8229,8226,8210,8237,8009,8017,5011,5008,5008,12,4,234,150,526,72,893,800,799,126,203,72,39,True,2,False,1,1,1,True,3,True,11,True,9,2,0,0,0,2,49,0,2,76,584.2763319336113,1793.5227448920002
EUW1_7280398852,Czajek,Team Vitality,15.2.652.1536,CLASSIC,100,MIDDLE,MIDDLE,Orianna,5,4,11,4.0,15,True,0,6655,4646,3175,1058,1056,3363,11036,19677,16166,1129,852,18,197,4,201,26,7,15,1,7,24.55,8200,8000,8229,8226,8210,8237,8009,8017,5011,5008,5005,12,4,119,555,62,55,72,800,24,119,266,7,35,True,3,True,1,1,0,False,1,True,9,True,21,0,0,0,0,0,30,0,2,87,449.3806695731123,1473.612753674
EUW1_7279468672,Czajek,Team Vitality,15.2.652.1536,CLASSIC,100,MIDDLE,MIDDLE,Taliyah,9,5,9,3.6,15,True,3157,2055,2065,3176,3040,1056,3364,11054,18912,18096,1789,681,36,175,28,203,25,2,5,2,1,24.783333333333335,8200,8000,8230,8226,8210,8237,8009,8017,5011,5008,5005,12,4,35,107,72,800,55,126,72,800,42,89,38,False,2,False,1,1,0,False,1,True,9,True,20,1,0,0,0,1,11,0,2,91,445.8982326551068,1487.553245797
EUW1_7276993790,Czajek,Team Vitality,15.1.649.4112,CLASSIC,100,MIDDLE,MIDDLE,Sylas,11,5,19,6.0,17,True,4633,2502,3121,3173,3147,1082,3364,12561,35463,42921,21162,572,39,204,4,208,8,1,4,2,1,27.0,8000,8400,8010,8009,9105,8299,8451,8473,5011,5008,5008,12,4,51,7,11,-1,107,799,78,157,42,126,42,True,2,True,1,1,0,False,1,True,9,True,25,0,0,0,0,4,15,0,5,80,464.9618574693437,1620.937774086
EUW1_7276513520,Czajek,Team Vitality,15.1.649.4112,CLASSIC,200,MIDDLE,MIDDLE,Smolder,16,8,10,3.25,18,False,3157,3078,3042,3072,3094,3009,3363,19440,54435,41625,12480,953,16,299,40,339,32,3,11,8,3,40.78333333333333,8000,8300,8021,9101,9105,8017,8345,8316,5011,5008,5005,12,4,112,799,55,107,234,8,799,112,72,117,39,False,3,False,1,1,0,False,0,False,3,False,50,2,0,1,2,7,47,0,2,89,476.5336084074646,2447.777084964
EUW1_7276432517,Czajek,Team Vitality,15.1.649.4112,CLASSIC,100,MIDDLE,MIDDLE,Akali,13,8,7,2.5,18,True,3020,4646,4645,3089,3041,4630,3364,16409,42724,37444,4704,429,2,254,16,270,28,3,6,5,3,37.35,8100,8400,8112,8143,8140,8106,8444,8451,5011,5008,5008,12,4,42,555,234,8,55,72,42,119,62,7,36,True,2,True,1,1,1,False,1,True,7,False,27,3,0,1,0,5,22,0,3,70,439.3006295340576,2241.1654444230003
EUW1_7276365456,Czajek,Team Vitality,15.1.649.4112,CLASSIC,200,MIDDLE,MIDDLE,Corki,13,2,7,10.0,17,True,2421,3078,3042,3031,3094,3009,3363,17283,48281,23989,4543,712,5,252,27,279,13,2,8,1,2,28.066666666666666,8000,8300,8010,8009,9104,8017,8345,8316,5011,5008,5005,12,4,555,75,55,111,234,238,81,799,234,-1,32,True,1,False,1,1,1,True,2,True,10,False,15,3,0,0,1,6,41,0,3,78,615.4281552544785,1684.9829955110001
EUW1_7276285377,Czajek,Team Vitality,15.1.649.4112,CLASSIC,200,BOTTOM,BOTTOM,Varus,8,6,12,3.33,17,True,3170,3142,3042,6694,3814,1036,3363,14911,45586,22621,3891,651,38,242,0,242,17,2,11,3,2,31.95,8200,8000,8229,8226,8210,8237,8017,8009,5011,5008,5005,12,4,22,112,555,54,234,40,134,72,893,119,36,False,4,True,1,1,1,True,3,True,10,True,22,1,0,0,0,3,13,0,1,65,466.5007319715727,1917.9097217730002
EUW1_7276212874,Czajek,Team Vitality,15.1.649.4112,CLASSIC,100,NONE,BOTTOM,Hwei,5,1,6,11.0,12,True,0,2503,6653,3010,0,1056,3363,8332,16079,7604,633,738,13,163,0,163,10,1,6,2,1,17.716666666666665,8200,8000,8229,8226,8210,8237,8017,8009,5011,5008,5005,12,4,22,234,-1,555,54,38,555,72,104,119,22,True,1,False,1,1,0,False,1,True,9,True,6,1,0,0,0,0,7,0,0,73,469.85178541188856,1064.0376305700001
EUW1_7276158089,Czajek,Team Vitality,15.1.649.4112,CLASSIC,100,BOTTOM,BOTTOM,Ezreal,2,3,8,3.33,15,False,3158,3078,3042,3133,0,0,3363,9298,32201,18650,3724,446,0,211,4,215,6,0,6,0,0,25.7,8000,8200,8005,8009,9105,8017,8226,8210,5011,5008,5005,1,4,62,893,28,22,238,555,62,55,910,69,24,False,0,False,0,0,0,False,0,False,1,False,40,4,1,0,3,11,20,1,2,76,361.607494555405,1542.851971648
EUW1_7276042548,Czajek,Team Vitality,15.1.649.4112,CLASSIC,100,TOP,TOP,Corki,7,11,6,1.18,16,False,3009,3078,3042,1037,6673,1055,3363,11867,37692,33196,2773,425,0,214,12,226,15,0,6,3,0,26.65,8000,8300,8010,8009,9104,8017,8345,8316,5011,5008,5005,12,4,7,112,517,126,234,201,112,62,72,238,26,True,0,False,0,0,0,False,0,False,1,False,46,4,1,0,2,10,55,0,4,79,445.0281206119012,1599.957532506
EUW1_7276006642,Czajek,Team Vitality,15.1.649.4112,CLASSIC,200,MIDDLE,MIDDLE,Yone,6,4,4,2.5,16,True,2055,6673,6631,3006,3153,1054,3363,11908,17397,28496,10323,457,16,201,24,225,13,3,4,1,2,25.1,8000,8400,8021,9101,9104,8017,8444,8451,5011,5008,5005,12,4,254,112,420,799,-1,54,72,62,-1,119,35,True,3,True,1,1,0,False,2,True,10,True,21,0,0,0,0,2,16,0,1,78,474.18057165439865,1506.768753214
