Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7197636732,Hylissang,Team Vitality,14.23.636.9832,CLASSIC,100,NONE,UTILITY,Renata,1,1,12,13.0,10,True,3869,3158,3067,3190,0,0,3364,6214,6801,8928,154,849,22,23,0,23,53,6,22,9,6,19.85,8400,8100,8465,8401,8473,8242,8105,8126,5011,5010,5005,4,14,51,86,104,28,40,517,910,799,201,203,20,True,2,False,1,1,0,False,2,True,11,True,5,1,0,0,0,0,5,0,0,9,312.7439875751459,1192.158709879
EUW1_7053660156,Hylissang,Team Vitality,14.15.604.8769,CLASSIC,200,TOP,UTILITY,Nautilus,0,16,12,0.75,11,False,3869,3111,3067,3190,2055,1029,3364,6227,5566,31244,1393,231,47,20,0,20,61,8,30,6,6,27.016666666666666,8400,8300,8439,8401,8473,8242,8306,8347,5011,5010,5005,4,14,200,119,893,89,86,201,64,-1,555,-1,26,True,0,False,0,0,0,False,0,False,2,False,51,4,1,1,1,9,8,0,0,10,230.35719375905555,1622.071589246
EUW1_7053598598,Hylissang,Team Vitality,14.15.604.8769,CLASSIC,200,BOTTOM,UTILITY,Rakan,4,4,23,6.75,14,True,3869,3222,3111,3190,0,3067,3364,9773,11221,21256,10236,400,44,27,0,27,120,15,56,13,15,30.533333333333335,8400,8100,8465,8401,8473,8453,8136,8106,5011,5008,5008,4,14,51,893,40,63,76,84,143,427,119,893,43,True,4,True,1,1,1,False,2,True,9,False,26,1,0,1,0,3,18,0,1,16,319.89407269458826,1833.1371447170002
EUW1_7051827002,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,100,BOTTOM,UTILITY,Renata,0,1,16,16.0,11,True,3869,3158,3067,3190,2055,1004,3364,6529,7913,12656,934,1201,21,22,4,26,77,10,46,8,9,22.05,8400,8100,8465,8401,8473,8242,8105,8136,5011,5010,5005,4,14,893,114,555,30,238,107,26,-1,893,555,28,False,2,True,1,1,1,True,0,False,3,False,10,0,0,0,0,3,7,0,0,11,295.9193735640757,1323.858905649
EUW1_7051774117,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,100,MIDDLE,UTILITY,Thresh,0,5,3,0.6,10,False,3869,0,3009,3190,2055,0,3364,4693,4607,12117,391,310,21,24,0,24,51,10,28,3,8,21.183333333333334,8300,8400,8351,8306,8345,8347,8473,8463,5011,5010,5005,4,14,203,107,555,119,42,-1,77,555,63,893,10,True,0,False,0,0,0,False,0,False,1,True,26,3,1,0,0,6,13,0,0,11,221.43279118279744,1271.787866671
EUW1_7051705365,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,200,BOTTOM,UTILITY,Thresh,6,8,12,2.25,11,False,3869,3009,3107,3190,2055,1028,3364,8260,11206,23918,1938,500,42,22,0,22,74,11,34,8,9,25.85,8400,8300,8439,8463,8473,8451,8347,8306,5011,5010,5007,4,14,120,555,876,893,427,81,114,89,893,77,29,True,0,False,0,0,0,False,0,False,1,True,38,3,1,1,2,10,21,0,2,14,319.49253422113134,1551.2823976920001
EUW1_7051652359,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,200,MIDDLE,UTILITY,Braum,0,8,27,3.38,12,True,3869,3083,3047,3190,2055,0,3364,8153,7173,28782,1304,381,36,19,4,23,67,10,32,5,9,28.633333333333333,8400,8300,8465,8463,8473,8451,8347,8304,5011,5010,5005,4,14,7,234,497,77,893,77,22,58,78,893,41,True,2,False,1,1,1,True,1,True,8,False,30,2,0,0,0,5,2,0,0,13,284.6967105610839,1718.3744955890002
EUW1_7051606619,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,200,BOTTOM,UTILITY,Thresh,1,9,3,0.44,10,False,3869,3158,3083,2055,0,0,3364,5670,4690,22064,386,248,31,24,0,24,72,12,36,6,11,25.033333333333335,8400,8300,8439,8463,8473,8451,8347,8306,5011,5010,5005,4,14,22,427,58,89,-1,876,222,893,81,76,8,False,0,False,0,0,0,False,0,False,3,True,27,4,1,1,1,10,7,0,0,17,226.45648791038298,1502.4666911410002
EUW1_7051565814,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,100,BOTTOM,UTILITY,Pyke,3,7,6,1.29,9,False,3877,3111,3179,3134,2055,1036,3364,6491,8656,19038,4466,356,26,24,0,24,79,5,38,10,4,23.5,8100,8400,9923,8143,8136,8106,8242,8444,5013,5010,5008,4,14,893,4,85,236,76,427,221,67,107,119,15,False,0,False,0,0,0,False,0,False,2,False,43,3,1,1,2,11,38,0,0,13,276.1656161410961,1410.286452004
EUW1_7051505073,Hylissang,Team Vitality,14.14.603.4237,CLASSIC,200,BOTTOM,UTILITY,Camille,1,15,18,1.27,15,False,3877,6610,3047,3053,0,1036,3364,9496,21372,37300,2264,240,26,31,0,31,118,9,61,10,9,33.483333333333334,8100,8400,9923,8143,8136,8135,8473,8401,5011,5008,5008,4,14,114,143,876,893,81,76,107,114,119,526,34,False,3,True,0,0,1,True,1,True,6,False,45,2,0,0,2,11,146,0,1,13,283.52176704181596,2009.7406993480001
