Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7301097552,Lyncas,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,MonkeyKing,6,4,10,4.0,15,True,3047,3133,3071,1037,1036,3078,3364,11416,20511,31019,13856,764,19,29,139,168,43,8,11,12,8,26.966666666666665,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,11,4,72,234,429,799,134,117,72,266,-1,35,41,False,1,False,1,1,1,True,1,True,9,False,27,2,0,0,0,5,40,0,0,5,423.1013620009898,1619.044104196
EUW1_7301044707,Lyncas,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,9,1,7,16.0,13,True,3111,2055,6610,3156,1037,3067,3340,10368,13432,23204,17040,418,15,7,120,127,22,6,11,1,4,20.766666666666666,8000,8300,8010,9111,9104,8017,8304,8347,5013,5008,5008,11,4,42,777,526,234,126,555,-1,799,107,800,30,True,3,True,1,1,0,False,0,False,6,True,15,0,0,0,0,1,5,0,1,4,499.2272533678962,1246.193327143
EUW1_7300975523,Lyncas,Team Vitality,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Lillia,10,1,8,18.0,17,True,3111,0,3157,6653,3916,4633,3364,14329,26125,39714,30801,1114,15,29,191,220,33,5,8,2,5,29.783333333333335,8000,8300,8010,9111,9105,8017,8304,8347,5001,5008,5008,11,4,12,234,58,91,126,78,72,234,77,112,33,False,2,False,1,1,1,True,2,True,9,True,18,2,0,0,0,2,24,0,0,7,480.8726163790212,1787.9731855480002
EUW1_7300904147,Lyncas,Team Vitality,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Vi,3,5,9,2.4,15,False,3071,0,1001,3078,2019,3133,3364,10382,16536,29305,10823,726,32,18,138,156,25,5,8,1,5,30.4,8100,8000,9923,8143,8140,8106,9111,9104,5001,5008,5005,11,4,119,34,61,72,51,107,555,30,77,35,21,False,1,False,1,1,0,False,0,False,1,False,37,3,0,1,3,11,13,0,1,3,341.3495177548776,1825.0410858310001
EUW1_7300101523,Lyncas,Team Vitality,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Pantheon,1,3,4,1.67,13,False,3071,0,6610,0,0,2422,3364,7882,8734,25000,14018,702,18,18,144,162,21,2,4,3,2,22.983333333333334,8000,8300,8010,9111,9105,8017,8304,8347,5001,5008,5005,11,4,-1,234,53,110,157,77,555,517,42,799,8,False,1,False,0,0,0,False,0,False,2,False,25,2,1,0,1,7,9,0,0,5,342.75137090038936,1379.818742614
EUW1_7299682990,Lyncas,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,LeeSin,6,5,12,3.6,15,True,3071,2019,6692,3111,2055,3133,3340,10382,17099,26928,13215,655,21,2,143,145,28,10,19,0,9,29.2,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5008,11,4,78,893,234,42,150,60,254,429,203,42,30,True,2,True,0,0,1,True,1,True,9,True,16,2,1,0,0,6,17,0,0,0,355.36928838629524,1752.9413043400002
EUW1_7299599025,Lyncas,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Brand,5,7,11,2.29,13,False,1058,6653,3157,3020,3145,0,3364,10794,22989,27559,8743,534,17,20,96,116,25,5,5,5,3,26.55,8100,8000,8112,8126,8140,8135,9105,8017,5001,5008,5007,11,4,119,800,72,234,897,79,-1,526,107,799,23,False,1,True,0,0,0,False,0,False,1,False,43,2,1,1,3,10,63,0,0,2,406.4988334150916,1593.311768102
EUW1_7299510369,Lyncas,Team Vitality,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Lillia,4,5,22,5.2,16,True,3116,3916,2421,6653,3158,1082,3364,12177,30366,45961,25623,678,42,38,136,174,27,2,4,7,1,28.016666666666666,8000,8300,8010,9111,9105,8017,8304,8347,5001,5008,5008,11,4,78,112,234,40,60,555,51,517,76,92,39,True,0,False,1,1,1,True,1,True,7,False,22,1,0,0,0,6,14,0,1,4,434.50046741777777,1681.55062201
EUW1_7299440285,Lyncas,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,JUNGLE,Pantheon,8,7,4,1.71,13,False,3071,2055,6692,6610,0,2422,3364,10240,18436,28272,9595,389,28,26,96,122,22,4,5,2,3,26.416666666666668,8000,8300,8010,9111,9105,8017,8304,8347,5001,5008,5005,11,4,112,234,62,893,92,62,526,-1,84,112,20,True,1,True,0,0,0,False,0,False,0,False,31,3,1,0,2,10,56,0,0,0,387.43685798732525,1585.8751476740001
EUW1_7298826358,Lyncas,Team Vitality,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,Viego,4,1,6,10.0,16,True,3748,3133,1037,6672,3047,1029,3364,12438,18631,32739,19663,739,14,36,171,207,41,8,10,9,6,29.266666666666666,8000,8300,8010,9111,9104,8017,8304,8347,5001,5008,5005,11,4,72,800,555,-1,92,72,60,800,117,42,19,False,1,False,1,1,1,True,2,True,10,True,17,3,0,0,0,1,12,0,0,0,424.9393406102538,1756.248827605
