Gameid,Player,Team,Game number,Game Version,TeamId,Lane,Poste,Champion,Kills,Deaths,Assists,KDA,ChampLevel,Win,item0,item1,item2,item3,item4,item5,item6,Gold Earn,TotalDmgDealtoChamp,TotalDmgTaken,TotalHeal,LongestTimeAlive,Ennemy_CC,CS Kill,Jungle Minions Kills,Minions Kill,visionScore,visionWardsBoughtInGame,wardsplaced,wardskilled,detectorWardsPlaced,timePlayed,Branch1,Branch2,perk0,perk1,perk2,perk3,perk4,perk5,defense,flex,offense,summoner1Id,summoner2Id,Ban 1 ally,Ban 2 ally,Ban 3 ally,Ban 4 ally,Ban 5 ally,Ban 1 ennemy,Ban 2 ennemy,Ban 3 ennemy,Ban 4 ennemy,Ban 5 ennemy,Nb Kill Team,First blood,Nb Drake Team,First Drake,Nb Herald Team,First Herald,Nb Baron Team,First Baron,Nb Inib Team,First Inib,Nb Tower Team,First Tower,Nb Kill oposing Team,Nb drake Oposing Team,Nb Herald Oposing team,Nb Baron oposing team,Nb Inib Oposing team,Nb Tower Oposing Team,skillshotsDodged,quickCleanse,soloKills,laneMinionsFirst10Minutes,goldPerMinute,gameLength
EUW1_7300964051,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,TOP,TOP,Kayle,4,5,4,1.6,18,True,3170,3089,3115,0,3100,0,3363,14120,27942,24116,8147,466,12,265,26,291,20,0,9,4,0,29.816666666666666,8000,8400,8005,9101,9104,8299,8473,8451,5011,5008,5005,4,12,-1,-1,77,800,38,897,800,119,-1,157,21,True,2,False,1,1,1,True,3,True,11,True,27,1,0,0,0,3,9,0,2,60,473.3975332461503,1789.6561538550002
EUW1_7300896586,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,TOP,TOP,Kayle,10,4,5,3.75,18,False,3157,6672,3091,3124,3302,3009,3363,19247,41329,29384,8909,1229,11,342,28,370,20,2,8,1,1,34.8,8000,8400,8005,9101,9104,8299,8473,8451,5011,5008,5005,4,12,21,43,7,38,-1,-1,800,897,77,555,23,False,2,False,1,1,2,True,0,False,5,False,36,2,0,0,3,10,68,0,3,90,552.9469463367124,2088.522517555
EUW1_7300855588,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,NONE,TOP,Kayle,3,0,1,4,12,True,1054,3009,2055,1043,1037,6672,3363,7476,13389,8208,2261,0,4,157,0,157,5,1,4,0,0,15.916666666666666,8000,8400,8005,9101,9104,8299,8473,8451,5011,5008,5005,4,12,107,555,-1,72,38,42,897,117,910,77,16,True,1,True,0,0,0,False,0,False,3,True,13,0,0,0,0,0,2,0,1,91,469.6962446022552,955.1161373890001
EUW1_7300116799,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,TOP,TOP,Akali,10,4,3,3.25,18,True,2421,4633,0,3020,6653,8010,3364,13577,45273,33218,4616,1204,5,230,0,230,22,2,9,1,2,30.9,8000,8100,8010,8009,9105,8014,8106,8143,5001,5008,5008,4,12,62,119,38,234,555,122,800,-1,72,59,30,True,4,False,1,1,1,True,3,True,11,False,13,1,0,0,0,2,4,0,4,90,439.2254129678273,1854.7426745710002
EUW1_7300090026,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Yasuo,5,10,1,0.6,11,False,1055,3153,3006,6670,0,0,3340,6830,13312,20809,2522,311,21,126,0,126,9,0,6,1,0,20.133333333333333,8000,8400,8008,9101,9104,8299,8451,8444,5011,5008,5005,4,12,117,78,38,897,555,799,-1,126,800,893,14,True,2,True,0,0,0,False,0,False,0,False,26,1,1,0,0,6,7,0,1,58,339.1652958442585,1208.2932358760002
EUW1_7299583011,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,JUNGLE,MIDDLE,Akali,14,4,2,4.0,15,False,2421,4645,4646,1082,1056,3175,3364,12462,37502,32894,2587,842,2,180,0,180,17,0,7,0,0,28.4,8100,8400,8112,8143,8140,8106,8451,8444,5001,5008,5008,4,12,10,38,119,40,-1,893,157,131,164,62,21,False,1,False,1,1,0,False,0,False,1,False,23,1,0,0,3,11,22,0,2,69,438.56608315842357,1704.9529363170002
EUW1_7299528840,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Yasuo,7,6,2,1.5,15,False,1055,2031,3153,3006,6673,1018,3340,10270,22289,25127,5554,468,22,191,0,191,15,0,7,3,0,21.95,8400,8000,8437,8446,8444,8451,8017,9104,5001,5008,5005,4,12,245,38,800,107,126,555,-1,800,27,107,20,True,1,True,0,0,0,False,0,False,2,False,38,1,1,0,0,6,17,0,4,84,467.53277216349466,1318.013304631
EUW1_7299478917,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,MIDDLE,MIDDLE,Yasuo,4,10,3,0.7,14,False,6631,1018,3086,1055,3153,3006,3340,10352,24254,32690,5406,263,29,180,4,184,24,1,10,5,1,26.05,8400,8000,8437,8446,8444,8451,8017,9104,5011,5008,5005,4,12,80,-1,800,38,107,119,27,234,799,105,13,False,2,False,0,0,0,False,0,False,3,True,36,1,1,0,1,10,49,0,2,78,397.1705423712736,1563.8958409820002
EUW1_7299428963,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,JUNGLE,JUNGLE,LeeSin,15,3,6,7.0,14,True,3044,6610,0,3047,3053,0,3340,12097,24847,32480,18625,263,21,22,108,130,31,7,15,4,7,21.833333333333332,8000,8300,8010,9111,9104,8014,8347,8304,5001,5008,5005,4,11,-1,51,112,38,555,55,62,60,800,119,30,False,2,True,1,1,0,False,3,True,11,True,13,0,0,0,0,5,12,0,2,4,553.8806657784995,1310.477771888
EUW1_7298145667,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,MIDDLE,MIDDLE,Zed,9,2,9,9.0,18,True,6699,3814,1037,6697,0,3158,3364,14676,29037,18930,3251,1006,6,228,5,233,27,4,9,5,4,28.133333333333333,8100,8200,8112,8143,8140,8106,8237,8210,5011,5008,5008,4,12,799,77,99,38,62,555,800,72,58,62,37,False,2,True,0,0,1,True,3,True,11,True,23,0,1,0,0,6,14,0,2,96,521.3624820349937,1689.06716602
EUW1_7298085510,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,TOP,TOP,Yone,2,13,7,0.69,17,False,1054,3153,3006,6673,1037,1018,3340,10326,28354,47572,11659,521,24,207,12,219,19,0,10,1,0,34.416666666666664,8000,8300,8021,9101,9104,8299,8345,8304,5011,5008,5005,4,12,110,555,86,38,62,62,800,72,69,-1,41,True,0,False,0,0,0,False,0,False,3,False,47,4,1,1,1,9,21,0,1,74,299.9953432024187,2065.2801055130003
EUW1_7298051135,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,200,NONE,TOP,Yasuo,5,0,1,6,12,True,1055,2031,0,3006,3153,3046,3340,7851,10413,8998,3579,0,13,140,0,140,5,2,6,0,2,15.216666666666667,8000,8400,8008,9101,9104,8299,8451,8473,5011,5008,5005,4,12,555,203,7,-1,38,143,86,119,117,897,17,True,1,False,0,0,0,False,0,False,4,True,4,1,0,0,0,0,19,0,3,88,515.4330413195712,914.018740006
EUW1_7296774329,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,TOP,TOP,Yasuo,8,5,7,3.0,18,True,3157,3153,6333,6673,3031,3172,3364,20069,41174,39092,15954,1204,36,331,13,344,19,1,5,6,1,36.68333333333333,8000,8300,8008,9101,9104,8299,8345,8304,5011,5008,5005,4,12,81,38,136,91,555,-1,126,143,54,107,26,False,3,False,0,0,0,False,1,False,8,True,39,2,1,2,4,11,12,0,3,100,546.8413654653905,2202.06643402
EUW1_7296653688,Naak-Nako,Team Vitality,15.3.654.407,CLASSIC,100,NONE,TOP,Kayle,4,0,5,9,12,True,1054,3009,1053,6672,1043,2055,3363,7122,9848,7872,3322,0,8,155,0,155,10,2,5,2,1,15.266666666666667,8000,8400,8021,8009,9104,8014,8473,8451,5011,5008,5005,4,12,555,72,7,-1,107,28,42,157,92,72,21,False,1,True,0,0,0,False,0,False,3,True,8,0,0,0,0,0,20,0,1,100,466.0906835179543,916.923649035
EUW1_7285081790,Naak-Nako,Team Vitality,15.2.652.1536,CLASSIC,100,NONE,TOP,Irelia,5,5,1,1.2,10,False,1055,3153,2021,2422,1037,0,3340,7266,10851,18102,5961,438,10,129,0,129,9,0,5,0,0,15.966666666666667,8000,8300,8010,9111,9104,8299,8304,8345,5011,5008,5005,4,12,72,119,800,-1,-1,72,55,62,119,126,9,False,0,False,0,0,0,False,0,False,0,False,20,1,0,0,0,4,10,0,0,75,454.6727080608929,958.9166981510001
