Player,Team,Role,Country,Summoner_name,gameName,tagLine,puuid
Oscarinin,Fnatic,Top,Spain,Isagi Yoichi#BLGOD,Isagi Yoichi,BLGOD,bezkJASfBlRNjDFh7LxuRNGs6XWmEKdZ_kJzPYXoaLdu69Gj2IcIZh8xZvAM7FOT0Y_K3JeKk1riwQ
Razork,Fnatic,Jungle,Spain,Razørk Activoo#razzz,Razørk Activoo,razzz,fOPcsWBFRsVDKbmuEbmyUha7Bsjw1A0T9nNAc2OED12FQpcqXNEyCO47IqU__ax6ZfgALp64iu7kzA
Humanoid,Fnatic,Mid,Czech-Republic,Wesley Warren Jr#EUW,Wesley Warren Jr,EUW,VZSQqa6v7BbTw6oxJGp536VWF-FWr-b3e9XUfxzFu9nk0EZqG2XxAOhKbHljtPWGzSg3gq4e-HADTw
Upset,Fnatic,Bot,Germany,FNC Upset22#EUW,FNC Upset22,EUW,2j66T0DM-Pyg6o-Pz--ttkqDOfvM4aB10HXrqjqqrtOUSI3ELQIALjO3ebg66wqtRhNl42i_MILYkw
Mikyx,Fnatic,Support,Slovenia,FNC Mikyx#1998,FNC Mikyx,1998,GpqJcj6QU7UalYNYZWPK-QBSsdYOVoxZuXmXAWDkfvbxYWHMkl-3ZtPaPteAXKAwq50Q2vXnjTDcIA
Broken-Blade,G2 Esports,Top,Germany,G2 BrokenBlade#1918,G2 BrokenBlade,1918,RVEqCsROHmfAA1hCgjoKKAV0VL2rES9_twlGWmgZOgX7b_j7BrA5zpuuaDe6cITjYbPUhsQzw8shIQ
SkewMond,G2 Esports,Lebanon,France,G2 SkewMond#3327,G2 SkewMond,3327,wGUx12axNDPZFxHG5yyTPGIAZVQUwkhLRvZcQ7tVrC3h8yQ2guPhEQZco9x85D0xxdgmGCv7D4L2-A
Caps,G2 Esports,Mid,Denmark,G2 Caps#1323,G2 Caps,1323,QKb_U8Q0kzUUhGTK_q5RPsGxdSgcePqmDjxfYUVLR3ab1qIOEoeY1b_QbrPiMrH_Dlk4YPdtPnZyoA
Hans-sama,G2 Esports,Bot,France,G2 Hans Sama#12838,G2 Hans Sama,12838,zGF2pcZP1SKdBe7J5HW4X8RVmkeQ38nStisecyCrWWDEu54FjPKDs0zQTqK7Bh8FAjY-TQ7CjYDnZA
Labrov,G2 Esports,Support,Greece,G2 Labrov#8085,G2 Labrov,8085,u_CF3LbgL60t88rAeMPhAUOqleqJ383wthDUlG-Oe7crHoagE9D6mRRAe50C6f3xBzXDj8jgUT9YHQ
Lot,GIANTX,Top,Türkiye,choilot#LOT,choilot,LOT,ts1frg8TR28wjwB7oeVpftsw0pFUk3G05e6nDQaAk5QKCRHRlRr08cxV1oxoQ7gkdMGtBzWJgEUUMA
Closer,GIANTX,Jungle,Türkiye,Closer#kral,Closer,kral,JL938Vd1kJrjToNKweTDSi9GPmTrWHuQMv9fHRaxs28felHwiCT-2Jl0aLmklKCsyGeEBZ4QoKoNTg
Jackies,GIANTX,Mid,Czech-Republic,King Julien XIII#MGDSK,King Julien XIII,MGDSK,z1gxDYhd4B42XLJPKuDkV9bZoTFRWV0nO_QnINP1-LdeDt-obYY-JgnvOUuu96FswXdDhmFFUTJaGA
Noah,GIANTX,Bot,Denmark,Nóąh#EUW,Nóąh,EUW,uStID2VjuISwZUHTWz4p4rroM_oAWpP0IUl-ZmbLb4JOSiCR8PusICRE24KToQdEwBlt-JganQOsXQ
